# composition,0.417NaCl-0.058KCl-0.525CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.417NaCl-0.058KCl-0.525CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,K-Cl,K-K,Na-Cl,Na-Na
0.42488630705852926,0.027598878485244935,0.04113982749594254,0.04055397360130582,0.007967548226982436,0.02260132160670125,0.03409687297936062
0.43234045279639816,0.027570326191928993,0.04110750601834926,0.04054738325104469,0.007945331878262067,0.022566532708505574,0.03407478277306471
0.4397945985342671,0.027541773898613047,0.041075184540755975,0.040540792900783565,0.007923115529541698,0.022531743810309902,0.03405269256676879
0.44724874427213607,0.02751811177564455,0.041042863063162696,0.040534202550522445,0.00790089918082133,0.022496954912114227,0.034030602360472874
0.45470289001000497,0.027524238020237023,0.04101054158556942,0.04052761220026132,0.00787868283210096,0.022462166013918556,0.03400851215417696
0.4621570357478739,0.027530364264829493,0.04097822010797614,0.04052102185000019,0.007856466483380592,0.02242737711572288,0.03404120830781715
0.4696111814857428,0.027536490509421967,0.04094589863038286,0.04051443149973907,0.007907862976888566,0.022392588217527206,0.03407748657430079
0.4770653272236118,0.02754261675401444,0.04091357715278958,0.04050784114947795,0.008044448122244158,0.022359798593667914,0.03411376484078444
0.48451947296148073,0.027548742998606914,0.0408812556751963,0.04050125079921682,0.00818103326759975,0.02232943447577061,0.03415004310726808
0.49197361869934964,0.027554869243199387,0.04084893419760302,0.040496675796875346,0.008317618412955342,0.022299070357873305,0.03418632137375172
0.4994277644372186,0.027560995487791857,0.040816612699679504,0.04050145477320772,0.008454203558310934,0.022268706239976,0.03422259964023537
0.5068819101750875,0.02756712173238433,0.04078429118809818,0.04050623374954009,0.008590788703666526,0.022238342122078696,0.03425887790671901
0.5143360559129565,0.027573247976976804,0.04075196967651686,0.040511012725872465,0.008727373849022118,0.02220797800418139,0.034295156173202654
0.5217902016508253,0.027579374221569277,0.04071964816493554,0.04051579170220484,0.008863958994377709,0.022177613886284087,0.0343314344396863
0.5292443473886943,0.02758550046616175,0.040687326653354214,0.04052057067853721,0.0090005441397333,0.022147249768386782,0.034367712706169944
0.5366984931265633,0.02759162671075422,0.04065500514177289,0.040525349654869584,0.009137129285088893,0.022116885650489478,0.034403990972653585
0.5441526388644322,0.0275709653124753,0.04062268363019157,0.04053012863120196,0.009273714430444484,0.022086521532592173,0.03444026923913723
0.5516067846023012,0.027527907913911794,0.04059036211861025,0.04053490760753433,0.009410299575800076,0.02205615741469487,0.034476547505620875
0.55906093034017,0.027484850515348293,0.040558040607028924,0.0405396865838667,0.009546884721155665,0.022025793296797564,0.034512825772104516
0.566515076078039,0.02744179311678479,0.0405257190954476,0.040544465560199076,0.009663155939004167,0.02199542917890026,0.0344911286103123
0.5739692218159079,0.027398735718221285,0.04049339758386628,0.04054924453653145,0.009775772188183807,0.021965065061002955,0.034446190410278375
0.5814233675537769,0.02735567831965778,0.04046107607228496,0.04055402351286382,0.009888388437363449,0.021935001140595368,0.034401252210244454
0.5888775132916458,0.027312620921094276,0.040428754560703634,0.04053375384229857,0.01000100468654309,0.02190596027902423,0.03435631401021053
0.5963316590295147,0.027269563522530772,0.040396433037921196,0.04049516545052156,0.01011362093572273,0.02187691941745309,0.03431137581017661
0.6037858047673836,0.02722650612396727,0.04036411151501053,0.04045657705874454,0.01022623718490237,0.021847878555881953,0.03426643761014269
0.6112399505052526,0.027183448725403767,0.040331789992099853,0.040417988666967525,0.010338853434082012,0.02181883769431081,0.03422149941010877
0.6186940962431215,0.027140391326840263,0.040299468469189186,0.040379400275190505,0.010451469683261654,0.021789796832739673,0.03417656121007485
0.6261482419809905,0.02709733392827676,0.04026714694627852,0.04034081188341349,0.010564085932441295,0.021760755971168534,0.034131623010040926
0.6336023877188594,0.027054276529713255,0.04023482542336785,0.04030222349163648,0.010676702181620933,0.021731715109597396,0.034086684810007005
0.6410565334567283,0.02702497105912116,0.04020250390045718,0.04026363509985946,0.010789318430800575,0.021702674248026257,0.034041746609973084
0.6485106791945973,0.02699641568552333,0.040170182377546514,0.04022504670808245,0.010901934679980217,0.021673633386455116,0.03399680840993916
0.6559648249324662,0.026967860311925492,0.040137860854635846,0.04018645831630543,0.011007170093553354,0.021644592524883977,0.03395187020990524
0.6634189706703352,0.02693930493832766,0.04010553933172518,0.040147869924528415,0.011087899751260562,0.02161555166331284,0.03390693200987132
0.670873116408204,0.026910749564729823,0.0400732178088145,0.040109281532751395,0.011168629408967769,0.0215865108017417,0.0337768424274347
0.678327262146073,0.02688219419113199,0.040040896285903835,0.04007069314097438,0.011249359066674975,0.02155746994017056,0.03355778738984375
0.6857814078839419,0.026853638817534154,0.03999535108366476,0.03991475790652322,0.011330088724382183,0.021528612774639175,0.0333387323522528
0.6932355536218109,0.02682508344393632,0.03992815747994896,0.03975617341057079,0.011410818382089391,0.021596789402216553,0.03311967731466185
0.7006896993596798,0.026796528070338485,0.03986096387623316,0.039597588914618356,0.011491548039796597,0.021664966029793935,0.0329006222770709
0.7081438450975487,0.026767972696740652,0.03979377027251736,0.03943900441866593,0.011572277697503804,0.021733142657371314,0.03268156723947995
0.7155979908354176,0.02673941732314282,0.03972657666880156,0.0392804199227135,0.011653007355211012,0.021801319284948696,0.032462512201889
0.7230521365732866,0.026710861949544983,0.03965938306508577,0.039121835426761065,0.01173373701291822,0.021869495912526078,0.03224345716429805
0.7305062823111556,0.02666761369304273,0.03959218946136997,0.038963250930808636,0.011814466670625426,0.021937672540103457,0.0320244021267071
0.7379604280490245,0.026597306195396627,0.03952499585765417,0.03880466643485621,0.011895196328332634,0.02200584916768084,0.03180534708911614
0.7454145737868934,0.026526998697750524,0.03945780225393837,0.03864608193890378,0.01197592598603984,0.022074025795258218,0.031586292051525196
0.7528687195247623,0.02645669120010442,0.03939060865022257,0.038487497442951345,0.012037769458472201,0.0221422024228356,0.03136723701393425
0.7603228652626313,0.026386383702458317,0.03932341504650677,0.038328912946998916,0.012087811372571313,0.022210379050412978,0.031148181976343295
0.7677770110005002,0.026316076204812213,0.03925622144279097,0.03817032845104649,0.012137853286670422,0.02227855567799036,0.030929126938752344
0.7752311567383692,0.02624576870716611,0.03918902783907518,0.038015592922622396,0.012187895200769534,0.022346732305567742,0.030727137413725382
0.782685302476238,0.026175461209520006,0.03933559406884521,0.037867184088711855,0.012237937114868643,0.02241490893314512,0.030572661748234715
0.790139448214107,0.026105153711873903,0.039546108457999496,0.03771877525480131,0.012287979028967753,0.022483085560722503,0.030418186082744044
0.7975935939519759,0.026034846214227796,0.03975662284715378,0.03757036642089076,0.012338020943066864,0.022511433720499564,0.030263710417253377
0.8050477396898449,0.025964538716581692,0.03996713723630807,0.03742195758698021,0.012388062857165975,0.022528360453427577,0.030109234751762706
0.8125018854277138,0.02589423121893559,0.04017765162546236,0.037273548753069666,0.012438104771265085,0.02254528718635559,0.029954759086272036
0.8199560311655828,0.025823923721289485,0.04038816601461664,0.03712513991915912,0.012488146685364196,0.022562213919283605,0.029800283420781365
0.8274101769034516,0.02577061244302528,0.040598680403770925,0.03697673108524857,0.012538188599463306,0.02257914065221162,0.029645807755290698
0.8348643226413206,0.025722800454160574,0.04080919479292521,0.03682832225133802,0.012588230513562417,0.022596067385139636,0.02949133208980003
0.8423184683791896,0.025674988465295864,0.0410197091820795,0.036679913417427476,0.012638272427661527,0.02261299411806765,0.02933685642430936
0.8497726141170585,0.025627176476431156,0.04123022357123378,0.03653150458351693,0.012656447201333102,0.022629920850995664,0.02918238075881869
0.8572267598549275,0.02557936448756645,0.041440737960388066,0.03638309574960638,0.012674602534491382,0.022646847583923678,0.02902790509332802
0.8646809055927963,0.02553155249870174,0.04165125234954235,0.03623468691569584,0.012692757867649661,0.022663774316851695,0.02887342942783735
0.8721350513306653,0.02548374050983703,0.041780053594611365,0.036133528327528405,0.01271091320080794,0.02268070104977971,0.02871895376234668
0.8795891970685342,0.025435928520972324,0.04148066502824124,0.03614210842671161,0.012729068533966222,0.022697627782707723,0.028567026749872135
0.8870433428064032,0.025388116532107614,0.04118127646187113,0.036150688525894814,0.012747223867124501,0.022714554515635737,0.02847713046439428
0.8944974885442721,0.025340304543242907,0.04088188789550101,0.03615926862507802,0.01276537920028278,0.022731481248563754,0.02838723417891642
0.901951634282141,0.025292492554378196,0.0405824993291309,0.03616784872426123,0.012783534533441061,0.022728029774271113,0.028297337893438565
0.9094057800200099,0.02524468056551349,0.04028311076276078,0.036176428823444434,0.01280168986659934,0.02270808098424397,0.02820744160796071
0.9168599257578789,0.02519686857664878,0.03998372219639067,0.03618500892262764,0.01281984519975762,0.022688132194216826,0.02811754532248285
0.9243140714957478,0.025154322594820897,0.03968433363002055,0.03619358902181084,0.0128380005329159,0.022668183404189683,0.028027649037004995
0.9317682172336168,0.025120883251129166,0.03938494506365043,0.03620216912099405,0.01285615586607418,0.022648234614162543,0.02793775275152714
0.9392223629714856,0.025087443907437435,0.03908555649728032,0.03621074922017726,0.012862087482079069,0.0226282858241354,0.027847856466049283
0.9466765087093546,0.025054004563745704,0.0387861679309102,0.03621932931936046,0.012848356223764915,0.022608337034108257,0.027757960180571424
