# composition,0.7LiCl-0.3CaCl2
# source,Liang, 2024
# temperature_K,1073
# raw_file,0.7LiCl-0.3CaCl2_Liang_2024_1073.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Li,Cl-Cl,Li-Cl,Li-Li
0.3364319522398562,0.006929700598354957,0.003807358003775855,0.003917118350822347,0.01847324546604126,0.00691036508351771,0.0
0.3413794809492659,0.006924009336551545,0.003800019271450387,0.003952824778220111,0.018465684347887763,0.006894771893531508,0.0
0.3463270096586755,0.0069183180747481345,0.0037926805391249193,0.003988531205617876,0.01845812322973427,0.00686499011959444,0.0
0.3512745383680852,0.006912626812944723,0.0037853418067994513,0.004024237633015641,0.018450191580850105,0.006835208345657371,0.0
0.3562220670774948,0.006906935551141311,0.0037780030744739832,0.004059944060413405,0.018442185691040516,0.006805426571720303,0.0
0.3611695957869045,0.006901244289337899,0.0037706643421485156,0.00409565048781117,0.018434179801230927,0.006775644797783234,0.0
0.3661171244963141,0.006895553027534487,0.0037633256098230476,0.004131356915208935,0.01842617391142134,0.006745863023846166,0.0
0.3710646532057238,0.0068898617657310755,0.0037559868774975796,0.0041670633426066995,0.018418168021611753,0.006716081249909097,0.0
0.3760121819151334,0.006884170503927665,0.003748648145172112,0.004202769770004464,0.018410162131802164,0.006686299475972029,0.0
0.3809597106245431,0.006878479242124253,0.003741309412846644,0.004238476197402229,0.018402156241992578,0.00665651770203496,0.0
0.3859072393339527,0.006872787980320841,0.0037339706805211764,0.0042741826247999935,0.01839415035218299,0.006626735928097892,0.0
0.3908547680433624,0.006867096718517429,0.003726631948195721,0.004334825562586797,0.0183861444623734,0.006596954154160823,0.0
0.395802296752772,0.006861405456714017,0.0037192932158702672,0.004469677151772294,0.018378138572563815,0.006567172380223755,0.0
0.4007498254621817,0.006855714194910606,0.003711954483544814,0.004604528740957793,0.018370132682754226,0.006537390606286686,0.0
0.40569735417159136,0.006850022933107195,0.0037046157512193607,0.004739380330143292,0.018362126792944636,0.006507608832349618,0.0
0.410644882881001,0.006844331671303783,0.0036972770188939074,0.004874231919328788,0.01835412090313505,0.006477827058412549,0.0
0.41559241159041066,0.006838640409500371,0.003689938286568454,0.005009083508514287,0.018346115013325462,0.006448045284475481,0.0
0.4205399402998203,0.006832949147696959,0.003682599554243001,0.0051439350976997845,0.018338109123515873,0.006418263510538412,0.0
0.42548746900922996,0.0068272578858935475,0.003675260821917547,0.005278786686885283,0.018330103233706284,0.006388481736601344,0.0
0.4304349977186396,0.006820820723868932,0.003667922089592094,0.00541363827607078,0.0183220973438967,0.006358699962664275,0.0
0.43538252642804925,0.006810861015712964,0.0036605833572666406,0.005548489865256278,0.018314277683196826,0.006328918188727207,0.0
0.4403300551374589,0.006800901307556995,0.0036532446249411873,0.005683341454441776,0.018306938950871376,0.006299136414790138,0.0
0.44527758384686855,0.006790941599401027,0.003645905892615734,0.005818193043627275,0.018299600218545924,0.00626935464085307,0.0
0.4502251125562782,0.006780981891245059,0.0036385671602902807,0.005953044632812771,0.01829226148622047,0.006239572866916001,0.0
0.45517264126568785,0.006771022183089091,0.0036312284279648274,0.00608789622199827,0.018284922753895018,0.006209791092978933,0.0
0.46012016997509747,0.006761062474933122,0.003623889695639374,0.006222747811183767,0.018277584021569565,0.006180009319041864,0.0
0.46506769868450715,0.006751102766777154,0.0036165509633139204,0.006357599400369266,0.018270245289244116,0.006150227545104796,0.0
0.47001522739391677,0.006741143058621186,0.003609212230988467,0.006492450989554763,0.018262906556918663,0.006120445771167727,0.0
0.47496275610332644,0.006731183350465218,0.003601873498663016,0.006627302578740261,0.01825556782459321,0.006090663997230659,0.0
0.4799102848127361,0.006721223642309249,0.0035945347663375697,0.0067621541679257595,0.018248229092267757,0.006068190199810312,0.0
0.48485781352214574,0.006711263934153281,0.003587196034012124,0.006897005757111257,0.018240890359942304,0.006131163512431602,0.0
0.4898053422315554,0.006701304225997312,0.0035798573016866775,0.007031857346296756,0.018233551627616855,0.0061941368250528935,0.0
0.49475287094096504,0.006691344517841344,0.0035725185693612316,0.007166708935482253,0.018226212895291402,0.006257110137674184,0.0
0.4997003996503747,0.0066813848096853755,0.0035651798370357852,0.0072950131778231906,0.01821887416296595,0.006320083450295475,0.0
0.5046479283597843,0.006671425101529407,0.0035578411047103393,0.007267817932605729,0.018211535430640496,0.006383056762916766,0.0
0.509595457069194,0.006661465393373439,0.003550502372384893,0.0072406226873882665,0.018204196698315047,0.006446030075538057,0.0
0.5145429857786037,0.006651505685217471,0.0035431636400594466,0.007213427442170803,0.018196857965989594,0.006509003388159349,0.0
0.5194905144880133,0.0066415459770615025,0.0035358249077340007,0.007186232196953341,0.01818951923366414,0.0065719767007806395,0.0
0.5244380431974229,0.006631586268905534,0.0035284861754085544,0.007159036951735878,0.018188184262832585,0.00663495001340193,0.0
