# composition,0.637LiCl-0.363KCl
# source,Jiang, 2016
# temperature_K,750
# raw_file,0.637LiCl-0.363KCl_Jiang_2016_750.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),K-Cl,Li-Cl
1.8877497395297647,0.0,1.3810452480759703
1.8917323339169583,0.0,1.451051731234982
1.895714928304152,0.0,1.5185565693164391
1.8996975226913455,0.0,1.5611067066590125
1.9036801170785391,0.0,1.6036568440015861
1.9076627114657327,0.0,1.6462069813441595
1.9116453058529264,0.0,1.6887571186867332
1.91562790024012,0.0,1.8035856720258316
1.9196104946273136,0.0,1.8218138638100725
1.9235930890145072,0.0,1.8400420555943136
1.9275756834017008,0.0,2.025989845035607
1.9315582777888942,0.0,2.1311062594299877
1.9355408721760878,0.0,2.2050348610668657
1.9395234665632815,0.0,2.250497705022145
1.943506060950475,0.0,2.2959605489774235
1.9474886553376687,0.0,2.3414233929327026
1.9514712497248623,0.0,2.423486279061731
1.955453844112056,0.0,2.5211411384210565
1.9594364384992495,0.0,2.607479108914099
1.9634190328864431,0.0,2.688667468761028
1.9674016272736368,0.0,2.7721906382576953
1.9713842216608304,0.0,2.8557138077543627
1.9753668160480238,0.0,2.922499033114815
1.9793494104352174,0.0,2.987788421844746
1.983332004822411,0.0,3.0530778105746768
1.9873145992096046,0.0,3.118367199304607
1.9912971935967982,0.0,3.156245509805575
1.9952797879839919,0.0,3.289217060629979
1.9992623823711855,0.0,3.349794286427419
2.003244976758379,0.0,3.410371512224859
2.0072275711455725,0.0,3.470948738022295
2.0112101655327663,0.0,3.5291893991303893
2.0151927599199597,0.0,3.5837853061442786
2.0191753543071536,0.0,3.638381213158174
2.023157948694347,0.0,3.692977120172064
2.027140543081541,0.0,3.7476939149408723
2.031123137468734,0.0,3.802480183903269
2.035105731855928,0.0,3.8531804275241397
2.0390883262431214,0.0,3.9188107476834997
2.043070920630315,0.0,4.031952057404576
2.0470535150175087,0.0,4.113156307149616
2.051036109404702,0.0,4.189002865896212
2.055018703791896,0.0,4.23003024540099
2.0590012981790893,0.0,4.271057624905765
2.062983892566283,0.0,4.312085004410544
2.0669664869534765,0.0,4.3531123839153185
2.0709490813406704,0.0,4.400962988720761
2.0749316757278637,0.0,4.4520819568451575
2.0789142701150576,0.0,4.496659585673524
2.082896864502251,0.0,4.529202271548447
2.0868794588894444,0.0,4.571876738250873
2.090862053276638,0.0,4.629522332102986
2.0948446476638316,0.0,4.675720295833153
2.0988272420510254,0.0,4.695760429819392
2.102809836438219,0.0,4.715800563805628
2.1067924308254127,0.0,4.735840697791867
2.110775025212606,0.0,4.755880831778103
2.1147576195998,0.0,4.775920965764341
2.1187402139869933,0.0,4.795961099750577
2.122722808374187,0.0,4.816001233736816
2.1267054027613805,0.0,4.823049662586134
2.130687997148574,0.0,4.827075432809875
2.1346705915357678,0.00040718057220486285,4.831101203033617
2.138653185922961,0.001113580983669362,4.835126973257358
2.142635780310155,0.0018199813951339397,4.839152743481099
2.1466183746973484,0.002526381806598439,4.84317851370484
2.1506009690845422,0.003232782218063017,4.8472042839285825
2.1545835634717356,0.0039391826295275155,4.851230054152324
2.1585661578589295,0.004645583040992093,4.855255824376066
2.162548752246123,0.005351983452456592,4.859281594599807
2.1665313466333167,0.00605838386392117,4.863307364823548
2.17051394102051,0.006764784275385669,4.867333135047289
2.1744965354077035,0.007471184686850168,4.87135890527103
2.1784791297948973,0.008177585098314746,4.8753846754947725
2.1824617241820907,0.008883985509779245,4.879410445718514
2.1864443185692846,0.009590385921243824,4.883436215942256
2.190426912956478,0.010296786332708323,4.887461986165997
2.194409507343672,0.0110031867441729,4.891487756389738
2.198392101730865,0.0117095871556374,4.895513526613479
2.202374696118059,0.012415987567101978,4.899539296837221
2.2063572905052524,0.013122387978566477,4.895413304416296
2.2103398848924463,0.013828788390031054,4.881213841277303
2.2143224792796397,0.014535188801495553,4.867014378138311
2.218305073666833,0.015241589212960052,4.8476935127362575
2.222287668054027,0.01594798962442463,4.824236366891255
2.2262702624412203,0.01665439003588913,4.800779221046255
2.230252856828414,0.017360790447353707,4.775954924638016
2.2342354512156075,0.018067190858818208,4.750782083147767
2.2382180456028014,0.018773591270282785,4.7293479088727794
2.2422006399899947,0.019479991681747282,4.712433366863105
2.2461832343771886,0.02018639209321186,4.689259346170661
2.250165828764382,0.02089279250467636,4.641173248479732
2.254148423151576,0.021599192916140937,4.60644742073208
2.258131017538769,0.022305593327605438,4.580902411639612
2.2621136119259626,0.023011993739069935,4.555357402547145
2.2660962063131564,0.023718394150534512,4.529812393454675
2.27007880070035,0.0264251708272806,4.504267384362207
2.2740613950875437,0.02938718947202396,4.478722375269737
2.278043989474737,0.03234920811676699,4.45317736617727
2.282026583861931,0.035311226761510356,4.423832759978311
2.2860091782491243,0.03827324540625338,4.394036859624798
2.289991772636318,0.04123526405099674,4.364240959271281
2.2939743670235115,0.044197282695739776,4.334445058917766
2.2979569614107054,0.04715930134048314,4.304649158564249
2.3019395557978988,0.05012131998522617,4.274853258210736
2.305922150185092,0.053083338629969196,4.191992123191261
2.309904744572286,0.05604535727471256,4.153993672032358
2.3138873389594794,0.05900737591945559,4.127638206772803
2.3178699333466732,0.061969394564198955,4.093245858120579
2.3218525277338666,0.06493141320894198,4.061735414260347
2.3258351221210605,0.06789343185368535,4.035644617545039
2.329817716508254,0.07085545049842837,3.920816780635162
2.3338003108954477,0.07381746914317174,3.888163732034961
2.337782905282641,0.07677948778791477,3.855510683434763
2.341765499669835,0.07974150643265812,3.822857634834562
2.3457480940570283,0.08270352507740117,3.7902045862343647
2.3497306884442217,0.08566554372214419,3.756107637051247
2.3537132828314156,0.08862756236688756,3.720201339477269
2.357695877218609,0.09158958101163059,3.6842950419032943
2.361678471605803,0.09455159965637394,3.648388744329316
2.365661065992996,0.09751361830111697,3.612482446755342
2.36964366038019,0.10047563694586034,3.57795902165783
2.3736262547673834,0.10343765559060338,3.5512108408524887
2.3776088491545773,0.10639967423534673,3.5244626600471443
2.3815914435417707,0.10936169288008976,3.497714479241803
2.3855740379289645,0.11232371152483313,3.4510216895556445
2.389556632316158,0.11528573016957615,3.401352578720854
2.3935392267033517,0.11824774881431951,3.3568589803709465
2.397521821090545,0.12120976745906255,3.312036661080518
2.4015044154777385,0.1259773878372894,3.2538461885348076
2.4054870098649324,0.1380924800550086,3.195655715989091
2.4094696042521258,0.15020757227272644,3.137465243443381
2.4134521986393196,0.16232266449044563,3.100224381073575
2.417434793026513,0.17443775670816347,3.0789177583148315
2.421417387413707,0.18655284892588264,3.0576111355560855
2.4253999818009,0.19866794114360048,3.0363045127973423
