# composition,0.64NaCl-0.36UCl3
# source,Andersson, 2022
# temperature_K,1250
# raw_file,0.64NaCl-0.36UCl3_Andersson_2022_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,Na-Cl,Na-Na,Na-U,U-Cl,U-U
0.5087153702761381,0.0,0.0,0.0,0.0,0.0,0.0
0.5121760190535267,0.0,0.0,0.0,0.0,0.0,0.0
0.5156366678309154,0.0,0.0,0.0,0.0,0.0,0.0
0.5190973166083042,0.0,0.0,0.0,0.0,0.0,0.0
0.5225579653856929,0.0,0.0,0.0,0.0,0.0,0.0
0.5260186141630816,0.0,0.0,0.0,0.0,0.0,0.0
0.5294792629404702,0.0,0.0,0.0,0.0,0.0,0.0
0.5329399117178589,0.0,0.0,0.0,0.0,0.0,0.0
0.5364005604952476,0.0,0.0,0.0,0.0,0.0,0.0
0.5398612092726364,0.0,0.0,0.0,0.0,0.0,0.0
0.543321858050025,0.0,0.0,0.0,0.0,0.0,0.0
0.5467825068274137,0.0,0.0,0.0,0.0,0.0,0.0
0.5502431556048024,0.0,0.0,0.0,0.0,0.0,0.0
0.5537038043821911,0.0,0.0,0.0,0.0,0.0,0.0
0.5571644531595799,0.0,0.0,0.0,0.0,0.0,0.0
0.5606251019369685,0.0,0.0,0.0,0.0,0.0,0.0
0.5640857507143572,0.0,0.0,0.0,0.0,0.0,0.0
0.5675463994917459,0.0,0.0,0.0,0.0,0.0,0.0
0.5710070482691346,0.0,0.0,0.0,0.0,0.0,0.0
0.5744676970465232,0.0,0.0,0.0,0.0,0.0,0.0
0.577928345823912,0.0,0.0,0.0,0.0,0.0,0.0
0.5813889946013007,0.0,0.0,0.0,0.0,0.0,0.0
0.5848496433786894,0.0,0.0,0.0,0.0,0.0,0.0
0.588310292156078,0.0,0.0,0.0,0.0,0.0,0.0
0.5917709409334667,0.0,0.0,0.0,0.0,0.0,0.0
0.5952315897108554,0.0,0.0,0.0,0.0,0.0,0.0
0.5986922384882442,0.0,0.0,0.0,0.0,0.0,0.0
0.6021528872656329,0.0,0.0,0.0,0.0,0.0,0.0
0.6056135360430215,0.0,0.0,0.0,0.0,0.0,0.0
0.6090741848204102,0.0,0.0,0.0,0.0,0.0,0.0
0.6125348335977989,0.0,0.0,0.0,0.0,0.0,0.0
0.6159954823751876,0.0,0.0,0.0,0.0,0.0,0.0
0.6194561311525763,0.0,0.0,0.0,0.0,0.0,0.0
0.622916779929965,0.0,0.0,0.0,0.0,0.0,0.0
0.6263774287073537,0.0,0.0,0.0,0.0,0.0,0.0
0.6298380774847424,0.0,0.0,0.0,0.0,0.0,0.0
0.6332987262621311,0.0,0.0,0.0,0.0,0.0,0.0
0.6367593750395197,0.0,0.0,0.0,0.0,0.0,0.0
0.6402200238169085,0.0,0.0,0.0,0.0,0.0,0.0
0.6436806725942972,0.0,0.0,0.0,0.0,0.0,0.0
0.6471413213716859,0.0,0.0,0.0,0.0,0.0,0.0
0.6506019701490745,0.0,0.0,0.0,0.0,0.0,0.0
0.6540626189264632,0.0,0.0,0.0,0.0,0.0,0.0
0.6575232677038519,0.0,0.0,0.0,0.0,0.0,0.0
0.6609839164812407,0.0,0.0,0.0,0.0,0.0,0.0
0.6644445652586293,0.0,0.0,0.0,0.0,0.0,0.0
0.667905214036018,0.0,0.0,0.0,0.0,0.0,0.0
0.6713658628134067,0.0,0.0,0.0,0.0,0.0,0.0
0.6748265115907954,0.0,0.0,0.0,0.0,0.0,0.0
0.6782871603681841,0.0,0.0,0.0,0.0,0.0,0.0
0.6817478091455728,0.0,0.0,0.0,0.0,0.0,0.0
0.6852084579229615,0.0,0.0,0.0,0.0,0.0,0.0
0.6886691067003502,0.0,0.0,0.0,0.0,0.0,0.0
0.6921297554777389,0.0,0.0,0.0,0.0,0.0,0.0
0.6955904042551275,0.0,0.0,0.0,0.0,0.0,0.0
0.6990510530325162,0.0,0.0,0.0,0.0,0.0,0.0
0.702511701809905,0.0,0.0,0.0,0.0,0.0,0.0
0.7059723505872937,0.0,0.0,0.0,0.0,0.0,0.0
0.7094329993646824,0.0,0.0,0.0,0.0,0.0,0.0
0.712893648142071,0.0,0.0,0.0,0.0,0.0,0.0
0.7163542969194597,0.0,0.0,0.0,0.0,0.0,0.0
0.7198149456968485,0.0,0.0,0.0,0.0,0.0,0.0
