# composition,1.0NaF
# source,Walz, 2019
# temperature_K,1266
# raw_file,NaF_Walz_2019_1266.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Na-F,Na-Na
2.273996396273199,0.14053619947471185,3.5023117357726954,0.055600272169890275
2.280366134077886,0.14333106741536128,3.4656880872853812,0.058362889399949484
2.286735871882573,0.14659694054815597,3.40962444957473,0.061125506630008694
2.2931056096872595,0.14986281368095045,3.3489312453040427,0.0638881238600677
2.2994753474919465,0.15312868681374514,3.3183177614660035,0.06665074109012692
2.3058450852966335,0.15639455994653986,3.2877042776279644,0.06941335832018612
2.31221482310132,0.15966043307933434,3.241795746781773,0.07217597555024513
2.318584560906007,0.16292630621212903,3.1711269036127145,0.07493859278030435
2.324954298710694,0.16619217934492372,3.1118563179650383,0.07770121001036355
2.3313240365153804,0.1694580524777182,3.0564313554144995,0.08046382724042257
2.3376937743200674,0.1727239256105129,3.0098996345401092,0.08322644447048178
2.3440635121247544,0.1759897987433076,2.964246234588465,0.08598906170054099
2.350433249929441,0.17925567187610209,2.9133966416114254,0.0887516789306
2.356802987734128,0.18252154500889678,2.862547048634383,0.0915142961606592
2.363172725538815,0.18578741814169147,2.814474638144142,0.09427691339071842
2.3695424633435014,0.18905329127448595,2.7696956494329195,0.09703953062077744
2.3759122011481884,0.19231916440728064,2.724916660721694,0.09980214785083663
2.3822819389528753,0.19558503754007533,2.6801376720104684,0.10256476508089585
2.3886516767575623,0.19885091067287006,2.616553545221577,0.1079324103698883
2.395021414562249,0.20257395396784608,2.5551527744097453,0.11411624922766664
2.401391152366936,0.20845867984827235,2.51020242878473,0.12030008808544543
2.4077608901716228,0.21434340572869864,2.4652520831597142,0.12648392694322422
2.4141306279763093,0.2202281316091245,2.421822758588479,0.13266776580100256
2.4205003657809963,0.22611285748955076,2.379725505578042,0.13885160465878135
2.4268701035856832,0.23199758336997703,2.337628252567606,0.14503544351656014
2.4332398413903698,0.2378823092504029,2.2951755504952778,0.1512192823743385
2.4396095791950567,0.24376703513082917,2.221262459301722,0.15740312123211728
2.4459793169997437,0.24965176101125544,2.156674412751378,0.16358696008989607
2.45234905480443,0.2555364868916813,2.120031450306835,0.1697707989476744
2.458718792609117,0.26142121277210756,2.083388487862289,0.17815451678736208
2.465088530413804,0.2673059386525338,2.0492600480900376,0.18670515636180401
2.471458268218491,0.27365616736898424,2.0167477468665123,0.19525579593624592
2.4778280060231777,0.2811571219919044,1.9842354456429894,0.20380643551068725
2.4841977438278646,0.28865807661482507,1.9517231444194643,0.2123570750851292
2.4905674816325516,0.29615903123774573,1.9173881322542812,0.2209077146595711
2.496937219437238,0.30365998586066584,1.8760414225262416,0.22945835423401242
2.503306957241925,0.3111609404835865,1.8346947127981992,0.23800899380845436
2.509676695046612,0.31866189510650716,1.7933480030701567,0.24655963338289627
2.5160464328512986,0.32616284972942733,1.753426160140575,0.25734526308097544
2.5224161706559856,0.333663804352348,1.714161436915065,0.26916162495012197
2.5287859084606725,0.34116475897526866,1.6748967136895552,0.28097798681926855
2.535155646265359,0.34866571359818876,1.6376952160440992,0.29279434868841425
2.541525384070046,0.3566483720022465,1.611132152696251,0.3046107105575608
