# composition,1.0KF
# source,Walz, 2019
# temperature_K,1131
# raw_file,KF_Walz_2019_1131.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,K-F,K-K
2.153637894946565,0.0,0.5737122455962123,0.0
2.1610899291851347,0.0,0.7000805569768004,0.0
2.168541963423704,0.0,0.7485473080868638,0.0
2.1759939976622733,0.0,0.7970140591969243,0.0
2.183446031900843,0.0,0.8879601331952452,0.0
2.1908980661394124,0.0,1.0484696665053836,0.0
2.1983501003779815,0.0,1.1028858489582807,0.0
2.205802134616551,0.0,1.1674202871251702,0.0
2.2132541688551206,0.0,1.3235537558051331,0.0
2.22070620309369,0.0,1.4285908859818945,0.0
2.2281582373322593,0.0,1.537309277807073,0.0
2.235610271570829,0.0,1.6468237158838916,0.0
2.2430623058093984,0.0,1.743703610888746,0.0
2.250514340047968,0.0,1.8397879579743301,0.0
2.257966374286537,0.0,1.945519984318326,0.0
2.2654184085251066,0.0,2.073055907416919,0.0
2.272870442763676,0.0,2.2025096854279957,0.0
2.2803224770022457,0.0,2.369170736802207,0.0
2.2877745112408148,0.0,2.5232924185442545,0.0
2.2952265454793843,0.0,2.615126408184807,0.0
2.302678579717954,0.0,2.70696039782536,0.0
2.310130613956523,0.0,2.798794387465907,0.0
2.3175826481950925,0.0,2.8841812513746174,0.0
2.325034682433662,0.0,2.967760121200855,0.0
2.3324867166722316,0.0,3.0513389910270923,0.0
2.3399387509108007,0.0,3.140550643425198,0.0
2.3473907851493703,0.0,3.2384116975296195,0.0
2.35484281938794,0.0,3.3362727516340414,0.0
2.3622948536265094,0.0,3.433380004618771,0.0
2.3697468878650785,0.0,3.5302497050123502,0.0
2.377198922103648,0.0,3.6232030212855086,0.0
2.3846509563422176,0.0,3.7122812010752644,0.0
2.3921029905807867,0.0,3.7856762166462175,0.0
2.3995550248193562,0.0,3.8107201453262736,0.0
2.407007059057926,0.0,3.8357640740063297,0.0
2.4144590932964953,0.004423419651221197,3.8608080026863862,0.0
2.4219111275350644,0.017147263360420006,3.885851931366441,0.0
2.429363161773634,0.02987110706961957,3.910895860046497,0.0
2.4368151960122035,0.04259495077881914,3.9187512323891016,0.0
2.444267230250773,0.055318794488018706,3.9244099759837767,0.0
2.451719264489342,0.06804263819721751,3.9300687195784514,0.0
2.4591712987279117,0.08076648190641708,3.9357274631731265,0.0
2.4666233329664813,0.08846087243812176,3.941386206767801,0.0
2.474075367205051,0.09028495446989057,3.9470449503624763,0.0
2.48152740144362,0.09210903650165927,3.952703693957151,0.0
2.4889794356821895,0.09393311853342809,3.943572113309402,0.0
2.496431469920759,0.0957572005651969,3.933563689904621,0.0
2.503883504159328,0.09758128259696561,3.9235552664998408,0.0
2.5113355383978977,0.09940536462873441,3.9135468430950597,0.0
2.5187875726364672,0.10122944666050322,3.9035384196902787,0.0
2.526239606875037,0.10305352869227204,3.8935299962854977,0.0
2.533691641113606,0.10487761072404074,3.8835215728807175,0.0
