# composition,0.535NaCl-0.315MgCl2-0.15CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.535NaCl-0.315MgCl2-0.15CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Mg-Cl,Mg-Mg,Na-Cl,Na-Na
1.287772469629815,0.029943158268770125,0.06664759774528244,0.08750715440894656,0.01891435250041725,0.018225964873679477,0.016101020562820693
1.2952162411305652,0.029912924740649712,0.06626891651614582,0.08849289272187251,0.018969691157063717,0.018241214632051278,0.01607602128262801
1.3026600126313157,0.029882691212529296,0.0658902352870092,0.08947863103479849,0.01902502981371018,0.018256464390423083,0.01605102200243533
1.310103784132066,0.029852457684408883,0.06551155405787258,0.0905339262983108,0.019080368470356646,0.018235162784654674,0.01602602272224265
1.3175475556328164,0.029822224156288466,0.06520636339504157,0.09163670334844587,0.019135707127003115,0.01820276588544481,0.01600102344204997
1.3249913271335667,0.029791990628168053,0.06526080260661607,0.09273948039858092,0.01919104578364958,0.018170368986234947,0.015959658834395693
1.3324350986343172,0.029761757100047637,0.06531524181819058,0.09384225744871601,0.019246384440296044,0.018137972087025084,0.01589417699501952
1.3398788701350675,0.029731523571927224,0.06536968102976509,0.09494503449885106,0.01930172309694251,0.01810557518781522,0.015828695155643346
1.347322641635818,0.02971763385342696,0.06542412024133959,0.09604781154898613,0.019357061753588978,0.018073178288605357,0.015763213316267174
1.3547664131365682,0.02970594726977158,0.0654785594529141,0.09715058859912118,0.019406346144728928,0.018040781389395497,0.015697731476891002
1.3622101846373187,0.0296942606861162,0.06553299866448861,0.09825336564925627,0.019394347811556214,0.018008384490185634,0.015632249637514826
1.369653956138069,0.029682574102460817,0.06558743787606311,0.0993561426993913,0.019382349478383503,0.01797598759097577,0.015566767798138655
1.3770977276388194,0.029670887518805433,0.06564187708763762,0.10045891974952639,0.01937035114521079,0.017943590691765907,0.015501285958762481
1.3845414991395697,0.02965920093515005,0.06569631629921212,0.10156169679966144,0.019358352812038078,0.017911193792556044,0.015435804119386307
1.3919852706403202,0.02964751435149467,0.06575075551078663,0.10266447384979652,0.019346354478865364,0.01787879689334618,0.015370322280010134
1.3994290421410704,0.02963582776783929,0.06580519472236114,0.10376725089993157,0.019334356145692653,0.017846399994136317,0.015304840440633962
1.406872813641821,0.029624141184183904,0.06585963393393564,0.10487002795006664,0.01932235781251994,0.017814003094926454,0.015239358601257786
1.4143165851425712,0.029612454600528523,0.06591407314551015,0.1059728050002017,0.019310359479347228,0.017812847916911477,0.015173876761881614
1.4217603566433217,0.02960076801687314,0.06596851235708466,0.10728763839052208,0.019298361146174517,0.017843591494201352,0.01510839492250544
1.4292041281440722,0.029589081433217757,0.06594483031044965,0.1086703110079771,0.019286362813001803,0.017874335071491228,0.015042913083129265
1.4366478996448224,0.029577394849562375,0.06591259068594427,0.11005298362543206,0.019274364479829092,0.0179050786487811,0.014977431243753093
1.444091671145573,0.029565708265906994,0.0658803510614389,0.11143565624288708,0.019262366146656378,0.017935822226070975,0.01491194940437692
1.4515354426463232,0.029565312103997193,0.06584811143693352,0.11281832886034206,0.019250367813483667,0.017966565803360847,0.014846467565000748
1.4589792141470737,0.029572290234639625,0.06581587181242815,0.11420100147779706,0.019238369480310952,0.017997309380650722,0.014780985725624573
1.466422985647824,0.029579268365282057,0.06578363218792277,0.11558367409525204,0.019226371155363627,0.018028052957940594,0.0147155038862484
1.4738667571485744,0.029586246495924486,0.0657513925634174,0.11696634671270706,0.01921437283220307,0.01805879653523047,0.014650022046872227
1.4813105286493247,0.029593224626566918,0.06571915293891202,0.11834901933016204,0.019202374509042514,0.018089540112520345,0.014645314217102459
1.4887543001500751,0.02960020275720935,0.06568691331440665,0.11973169194761704,0.019190376185881954,0.018120283689810217,0.014659015451918658
1.4961980716508254,0.029607180887851782,0.06565467368990127,0.12111436456507202,0.019178377862721398,0.018151027267100092,0.014672716686734855
1.503641843151576,0.029614159018494214,0.06562243406539589,0.12249703718252702,0.01916637953956084,0.018181770844389964,0.014686417921551053
1.5110856146523262,0.029621137149136643,0.06559019444089052,0.123879709799982,0.019154381216400285,0.01821251442167984,0.01470011915636725
1.5185293861530766,0.029628115279779075,0.06555795481638514,0.125262382417437,0.019142382893239728,0.018267242317397618,0.014713820391183447
1.525973157653827,0.029635093410421507,0.06552571519187977,0.12664505503489198,0.01913038457007917,0.018405799787835315,0.014727521625999645
1.5334169291545774,0.02964207154106394,0.0654934755671823,0.13012008241642228,0.01911838624691861,0.018544357258273015,0.014741222860815842
1.5408607006553277,0.02964904967170637,0.06546123594237338,0.1373056388754128,0.019106387923758055,0.01868291472871071,0.01475492409563204
1.5483044721560781,0.029656027802348803,0.06542899631756446,0.14449119533440355,0.0190943896005975,0.018821472199148412,0.014768625330448239
1.5557482436568284,0.02966917788844643,0.06539675669275555,0.15167675179339407,0.019082391277436942,0.01896002966958611,0.014782326565264436
1.5631920151575789,0.02969493850330696,0.06536451706794663,0.1588623082523848,0.019070392954276386,0.01909858714002381,0.014796027800080633
