# composition,1.0LiF
# source,Walz, 2019
# temperature_K,1121
# raw_file,LiF_Walz_2019_1121.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,Li-F,Li-Li
1.8962066800850426,0.0,3.642732049083462,0.04831609471851163
1.901345451575788,0.0,3.624960868982233,0.050053412126234334
1.9064842230665333,0.0,3.607189688881004,0.051790729533957025
1.9116229945572787,0.0,3.5894185087797754,0.05352804694167972
1.916761766048024,0.0,3.5716473286785466,0.05526536434940242
1.9219005375387694,0.0,3.553876148577318,0.05700268175712512
1.9270393090295148,0.0,3.536104968476089,0.05873999916484782
1.9321780805202602,0.0,3.51833378837486,0.060477316572570515
1.9373168520110056,0.0,3.5003176728256467,0.06221463398029321
1.942455623501751,0.0,3.468605603286963,0.0639519513880159
1.9475943949924963,0.0,3.4368935337482798,0.06568926879573861
1.9527331664832417,0.0,3.4051814642095963,0.0674265862034613
1.957871937973987,0.0,3.373469394670913,0.069163903611184
1.9630107094647324,0.011264502287216484,3.3417573251322295,0.0709012210189067
1.9681494809554778,0.028596212019072777,3.310045255593546,0.07285403306616454
1.9732882524462232,0.04592792175092907,3.2783331860548626,0.07506767987268192
1.9784270239369683,0.06325963148278461,3.2466211165161805,0.07728132667919922
1.9835657954277137,0.08059134121464091,3.214909046977497,0.07949497348571662
1.988704566918459,0.09792305094649721,3.183043952292918,0.08170862029223401
1.9938433384092045,0.11525476067835351,3.148016070195064,0.0839222670987514
1.9989821098999498,0.1325864704102098,3.112988188097211,0.0861359139052688
2.0041208813906954,0.14991818014206684,3.0779603059993557,0.08834956071178629
2.0092596528814406,0.1672498898739224,3.0429324239015036,0.09056320751830357
2.014398424372186,0.17595562840614362,3.007904541803649,0.09277685432482106
2.0195371958629313,0.17924785453605852,2.972876659705797,0.09499050113133836
2.024675967353677,0.1825400806659737,2.937848777607942,0.09720414793785585
2.029814738844422,0.18583230679588858,2.90282089551009,0.09941779474437315
2.0349535103351677,0.18912453292580375,2.8677930134122347,0.10163144155089063
