# composition,1.0KCl
# source,Walz, 2019
# temperature_K,1043
# raw_file,KCl_Walz_2019_1043.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K
2.3379202252526263,0.0,0.0,0.0
2.3453658310655325,0.0,0.0,0.0
2.352811436878439,0.0,0.0,0.0
2.360257042691346,0.0,0.0,0.0
2.367702648504252,0.0,0.0,0.0
2.3751482543171587,0.0,0.0,0.0
2.382593860130065,0.0,0.0,0.0
2.3900394659429716,0.0,0.0,0.0
2.3974850717558778,0.0,0.0,0.0
2.4049306775687844,0.0,0.0,0.0
2.4123762833816906,0.0,0.0,0.0
2.4198218891945973,0.0,0.0,0.0
2.427267495007504,0.0,0.0,0.0
2.43471310082041,0.0,0.0,0.0
2.442158706633317,0.0,0.005417916349809882,0.0
2.449604312446223,0.0,0.015381416818791264,0.0
2.4570499182591297,0.0,0.02534491728777324,0.0
2.464495524072036,0.0,0.035308417756754626,0.0
2.4719411298849425,0.0,0.0452719182257366,0.0
2.4793867356978487,0.0,0.05523541869471798,0.0
2.4868323415107554,0.0,0.06519891916369996,0.0
2.494277947323662,0.0,0.0722670112138526,0.0
2.5017235531365682,0.0,0.07720918938479969,0.0
2.509169158949475,0.0,0.08215136755574708,0.0
2.516614764762381,0.0,0.08709354572669417,0.0
2.5240603705752878,0.0,0.09203572389764157,0.0
2.531505976388194,0.0,0.09697790206858867,0.0
2.5389515822011006,0.0,0.10192008023953605,0.0
2.546397188014007,0.0,0.10686225841048316,0.0
2.5538427938269135,0.0,0.11180443658143055,0.0
2.5612883996398197,0.0,0.132827548857247,0.0
2.5687340054527263,0.0,0.17774794055693227,0.0
2.576179611265633,0.0,0.22411317524807317,0.0
2.583625217078539,0.0,0.2823320332753889,0.0
2.591070822891446,0.0,0.3405508913027081,0.0
2.598516428704352,0.0,0.3764397384892719,0.0
2.6059620345172587,0.0,0.4072615663459892,0.0
2.613407640330165,0.0,0.4380833942027046,0.0
2.6208532461430716,0.0,0.4689052220594218,0.0
2.628298851955978,0.0,0.5098662696011879,0.0
2.6357444577688844,0.0,0.5851852570150722,0.0
2.643190063581791,0.0,0.6605042444289566,0.0
2.6506356693946973,0.0,0.7472356396636481,0.0
2.658081275207604,0.0,0.8387063882764145,0.0
2.66552688102051,0.0,0.9177752063369268,0.0
2.672972486833417,0.0,0.989888263441312,0.0
2.680418092646323,0.0,1.094879754664965,0.0
2.6878636984592297,0.0,1.2454417439571452,0.0
2.695309304272136,0.0,1.3309948539898218,0.0
2.7027549100850425,0.0,1.4165479640225034,0.0
2.7102005158979487,0.0,1.5137201789901058,0.0
2.7176461217108554,0.0,1.6120882290510619,0.0
2.725091727523762,0.0,1.7858589635970217,0.0
2.7325373333366683,0.0,1.9374988910042148,0.0
2.739982939149575,0.0,2.0093430237628405,0.0
2.747428544962481,0.0,2.0811871565214615,0.0
2.7548741507753878,0.0,2.1543584340734796,0.0
2.762319756588294,0.0,2.277445383219261,0.0
2.7697653624012006,0.0,2.4005323323650503,0.0
2.777210968214107,0.0,2.5140333532863326,0.0
2.7846565740270135,0.0,2.6240302091019596,0.0020847306402992914
2.79210217983992,0.0,2.726339662762434,0.005645289636735722
2.7995477856528264,0.0,2.818813734244465,0.00920584863317194
2.806993391465733,0.0,2.911287805726501,0.01276640762960837
2.814438997278639,0.0,3.0244929386177626,0.01632696662604459
2.821884603091546,0.0,3.1441428807566116,0.019887525622481018
2.829330208904452,0.0,3.258380068728331,0.023448084618917238
2.8367758147173587,0.0,3.3693532973075913,0.027008643615353666
2.844221420530265,0.0,3.452452321386056,0.030569202611789886
2.8516670263431716,0.0,3.513464953980436,0.03412976160822632
2.8591126321560782,0.0,3.5744775865748153,0.03769032060466274
2.8665582379689845,0.0,3.6354902191691916,0.041250879601098966
2.874003843781891,0.0,3.732044799878704,0.04481143859753539
2.8814494495947973,0.0,3.8329994892694765,0.048371997593971615
2.888895055407704,0.0,3.8836988246200908,0.05193255659040804
2.89634066122061,0.0,3.92365927658755,0.05549311558684426
2.903786267033517,0.0,3.9636197285550114,0.05905367458328069
2.911231872846423,0.0,4.0243035125671485,0.0626142335797169
2.9186774786593297,0.0039178634066875835,4.106279934643022,0.06617479257615334
2.926123084472236,0.021016444645048326,4.141161305534519,0.06973535157258956
2.9335686902851426,0.038115025883410085,4.160913845913246,0.07329591056902598
2.941014296098049,0.05521360712177185,4.154235032387197,0.07685646956546242
2.9484599019109554,0.07231218836013259,4.147556218861149,0.08041702856189864
2.955905507723862,0.08941076959849435,4.1408774053351,0.08397758755833507
2.9633511135367683,0.10650935083685509,4.134198591809051,0.08753814655477128
2.970796719349675,0.11820936178395962,4.127519778283003,0.09054553122850992
2.978242325162581,0.12014174716060409,4.120840964756955,0.09255205838483214
2.985687930975488,0.12207413253724866,4.114070189974129,0.09455858554115451
2.993133536788394,0.12400651791389312,4.105916826422963,0.09656511269747674
3.0005791426013007,0.1259389032905377,4.097763462871796,0.0985716398537991
3.0080247484142073,0.12787128866718228,4.089610099320628,0.10057816701012146
3.0154703542271135,0.12980367404382676,4.0814567357694616,0.1025846941664437
3.02291596004002,0.13173605942047134,4.0733033722182945,0.10459122132276605
3.0303615658529264,0.1336684447971158,4.0651500086671275,0.10659774847908829
3.037807171665833,0.13560083017376037,4.0569966451159605,0.10860427563541064
