# composition,1.0UF4
# source,OcadizFlores, 2021
# temperature_K,1357
# raw_file,UF4_OcadizFlores_2021_1357.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),F-F,U-F,U-U
1.3749057151005504,0.0,8.88e-16,0.0
1.3798692736388194,0.0,8.88e-16,0.0
1.3848328321770886,0.0,8.88e-16,0.0
1.3897963907153577,0.0,8.88e-16,0.0
1.394759949253627,0.0,8.88e-16,0.0
1.3997235077918961,0.0,8.88e-16,0.0
1.4046870663301652,0.0,8.88e-16,0.0
1.4096506248684344,0.0,8.88e-16,0.0
1.4146141834067034,0.0,8.88e-16,0.0
1.4195777419449727,0.0,8.88e-16,0.0
1.4245413004832417,0.0,8.88e-16,0.0
1.429504859021511,0.0,8.88e-16,0.0
1.43446841755978,0.0,8.88e-16,0.0
1.4394319760980492,0.0,8.88e-16,0.0
1.4443955346363182,0.0,8.88e-16,0.0
1.4493590931745874,0.0,8.88e-16,0.0
1.4543226517128565,0.0,8.88e-16,0.0
1.4592862102511257,0.0,8.88e-16,0.0
1.4642497687893947,0.0,8.88e-16,0.0
1.469213327327664,0.0,8.88e-16,0.0
1.474176885865933,0.0,8.88e-16,0.0
1.4791404444042022,0.0,8.88e-16,0.0
1.4841040029424712,0.0,8.88e-16,0.0
1.4890675614807405,0.0,8.88e-16,0.0
1.4940311200190095,0.0,8.88e-16,0.0
1.4989946785572787,0.0,8.88e-16,0.0
1.5039582370955478,0.0,8.88e-16,0.0
1.508921795633817,0.0,8.88e-16,0.0
1.513885354172086,0.0,8.88e-16,0.0
1.5188489127103553,0.0,8.88e-16,0.0
1.5238124712486243,0.0,8.88e-16,0.0
1.5287760297868935,0.0,8.88e-16,0.0
1.5337395883251628,0.0,8.88e-16,0.0
1.5387031468634318,0.0,8.88e-16,0.0
1.543666705401701,0.0,8.88e-16,0.0
1.54863026393997,0.0,8.88e-16,0.0
1.5535938224782393,0.0,8.88e-16,0.0
1.5585573810165083,0.0,8.88e-16,0.0
1.5635209395547776,0.0,8.88e-16,0.0
1.5684844980930466,0.0,8.88e-16,0.0
1.5734480566313158,0.0,8.88e-16,0.0
1.5784116151695848,0.0,8.88e-16,0.0
1.583375173707854,0.0,8.88e-16,0.0
1.588338732246123,0.0,8.88e-16,0.0
1.5933022907843923,0.0,8.88e-16,0.0
1.5982658493226614,0.0,8.88e-16,0.0
1.6032294078609306,0.0,8.88e-16,0.0
1.6081929663991996,0.0,8.88e-16,0.0
1.6131565249374689,0.0,8.88e-16,0.0
1.6181200834757379,0.0,8.88e-16,0.0
1.6230836420140071,0.0,0.00015554663116816694,0.0
1.6280472005522761,0.0,0.002123347700282526,0.0
1.6330107590905454,0.0,0.0040911487693969725,0.0
1.6379743176288144,0.0,0.006058949838511331,0.0
1.6429378761670836,0.0,0.008026750907625778,0.0
1.6479014347053527,0.0,0.009994551976740136,0.0
1.652864993243622,0.0,0.011962353045854583,0.0
1.6578285517818911,0.0,0.01393015411496903,0.0
1.6627921103201602,0.0,0.01589795518408339,0.0
1.6677556688584294,0.0,0.017865756253197834,0.0
1.6727192273966984,0.0,0.019833557322312192,0.0
1.6776827859349677,0.0,0.02180135839142664,0.0
1.6826463444732367,0.0,0.023769159460541,0.0
1.687609903011506,0.0,0.025736960529655448,0.0
1.692573461549775,0.0,0.027704761598769806,0.0
1.6975370200880442,0.0,0.02967256266788425,0.0
1.7025005786263132,0.0,0.03164036373699861,0.0
1.7074641371645825,0.0,0.033608164806113054,0.0
1.7124276957028515,0.0,0.03557596587522741,0.0
1.7173912542411207,0.0,0.03754376694434186,0.0
1.7223548127793897,0.0,0.03951156801345622,0.0
1.727318371317659,0.0,0.04147936908257067,0.0
1.732281929855928,0.0,0.043447170151685026,0.0
1.7372454883941972,0.0,0.045414971220799474,0.0
1.7422090469324663,0.0,0.04738277228991383,0.0
1.7471726054707355,0.0,0.04935057335902828,0.0
1.7521361640090045,0.0,0.05131837442814264,0.0
1.7570997225472738,0.0,0.05328617549725708,0.0
1.7620632810855428,0.0,0.055253976566371446,0.0
1.767026839623812,0.0,0.05722177763548589,0.0
1.771990398162081,0.0,0.059189578704600246,0.0
1.7769539567003503,0.0,0.061157379773714694,0.0
1.7819175152386195,0.0,0.06312518084282914,0.0
1.7868810737768885,0.0,0.0650929819119435,0.0
1.7918446323151578,0.0,0.06706078298105794,0.0
1.7968081908534268,0.0,0.0690285840501723,0.0
1.801771749391696,0.0,0.07099638511928676,0.0
1.806735307929965,0.0,0.07296418618840111,0.0
1.8116988664682343,0.0,0.07493198725751556,0.0
1.8166624250065033,0.0,0.07689978832662991,0.0
1.8216259835447726,0.0,0.07886758939574437,0.0
1.8265895420830416,1.9127321790213736e-05,0.08083539046485873,0.0
1.8315531006213108,0.00025346262577729764,0.08280319153397317,0.0
1.8365166591595798,0.000487797929764371,0.08477099260308753,0.0
1.841480217697849,0.0007221332337514548,0.08673879367220197,0.0
1.846443776236118,0.0009564685377385283,0.08870659474131633,0.0
1.8514073347743873,0.0011908038417256122,0.09067439581043078,0.0
1.8563708933126564,0.0014251391457126856,0.09264219687954514,0.0
1.8613344518509256,0.0016594744496997694,0.09460999794865958,0.0
1.8662980103891946,0.0018938097536868427,0.10033129995815732,0.0
1.8712615689274639,0.0021281450576739265,0.11750537831189385,0.0
1.876225127465733,0.002362480361661,0.1346794566656296,0.0
1.8811886860040021,0.003301588240659837,0.15185353501936616,0.0
1.8861522445422712,0.004773082641307708,0.1690276133731019,0.0
1.8911158030805404,0.006244577041955646,0.18620169172683845,0.0
1.8960793616188094,0.007716071442603518,0.20337577008057423,0.0
1.9010429201570787,0.009187565843251455,0.22054984843431075,0.0
1.906006478695348,0.010659060243899392,0.23772392678804727,0.0
1.910970037233617,0.012130554644547265,0.25489800514178307,0.0
1.9159335957718862,0.013602049045195201,0.2720720834955196,0.0
1.9208971543101552,0.015073543445843073,0.28924616184925533,0.0
1.9258607128484244,0.016545037846491008,0.3301998899176186,0.0
1.9308242713866934,0.01801653224713888,0.380659235661711,0.0
1.9357878299249627,0.019488026647786816,0.4311185814058056,0.0
1.9407513884632317,0.02095952104843469,0.481577927149898,0.0
1.945714947001501,0.02243101544908263,0.5320372728939926,0.0
1.95067850553977,0.023902509849730497,0.5824966186380849,0.0
1.9556420640780392,0.02537400425037844,0.6634698043015174,0.0
1.9606056226163082,0.026845498651026305,0.7651976772301895,0.0
1.9655691811545775,0.028316993051674247,0.8669255501588662,0.0
1.9705327396928465,0.02978848745232212,0.9546107063241742,0.0
1.9754962982311157,0.031259981852970055,1.0381228352349248,0.0
1.9804598567693847,0.03273147625361793,1.1216349641456715,0.0
1.985423415307654,0.03420297065426586,1.2491213798937875,0.0
1.990386973845923,0.035674465054913736,1.3828457772819678,0.0
1.9953505323841922,0.03714595945556167,1.4749730799132268,0.0
2.0003140909224615,0.038617453856209606,1.5671003825444856,0.0
2.0052776494607305,0.04118127572690551,1.6671790392123509,0.0
2.0102412079989995,0.04477743918555059,1.7925012858741076,0.0
2.0152047665372685,0.048373602644195664,1.9178235325358646,0.0
2.020168325075538,0.05196976610284106,2.0832550465449744,0.0
2.025131883613807,0.055565929561486135,2.2606224560316686,0.0
2.030095442152076,0.059162093020131215,2.3871679659298044,0.0
2.0350590006903455,0.06275825647877661,2.5137134758279522,0.0
2.0400225592286145,0.0663544199374217,2.6443958181703477,0.0
2.0449861177668835,0.06995058339606676,2.794068881012333,0.0
2.0499496763051526,0.07354674685471184,2.9437419438543184,0.0
2.054913234843422,0.07714291031335724,3.0927191873044144,0.0
2.059876793381691,0.08073907377200232,3.236557232352131,0.0
2.06484035191996,0.0843352372306474,3.380395277399848,0.0
2.069803910458229,0.08793140068929246,3.524233322447565,0.0
2.0747674689964986,0.09152756414793786,3.664405636546903,0.0
2.0797310275347676,0.09512372760658294,3.802019148314901,0.0
2.0846945860730366,0.09871989106522802,3.9396326600828986,0.0
2.0896581446113056,0.10231605452387309,4.108032884244606,0.0
2.094621703149575,0.10591221798251849,4.285908857931355,0.0
2.099585261687844,0.11290378715243995,4.439043857062794,0.0
2.104548820226113,0.12035046126053163,4.556736829205051,0.0
2.109512378764382,0.1277971353686233,4.674429801347309,0.0
2.1144759373026516,0.13524380947671566,4.792122773489577,0.0
2.1194394958409206,0.14269048358480732,4.912450413419983,0.0
2.1244030543791896,0.15013715769289898,5.045224758794604,0.0
2.1293666129174587,0.15758383180099067,5.177999104169225,0.0
2.134330171455728,0.16503050590908303,5.310773449543857,0.0
2.139293729993997,0.17247718001717469,5.443547794918478,0.0
2.144257288532266,0.17992385412526635,5.483507207193933,0.0
2.149220847070535,0.18737052823335804,5.513202486941475,0.0
2.1541844056088046,0.1948172023414504,5.54289776668902,0.0
2.1591479641470737,0.20226387644954205,5.5725930464365625,0.0
2.1641115226853427,0.2129805505352246,5.602288326184104,0.0
2.169075081223612,0.22391613816759234,5.631983605931649,0.0
2.174038639761881,0.2348517257999591,5.6616788856791915,0.0
2.17900219830015,0.24578731343232585,5.691374165426733,0.0
2.183965756838419,0.25672290106469264,5.7011653442328685,0.0
2.1889293153766887,0.2676584886970603,5.693620754646133,0.0
2.1938928739149577,0.2785940763294271,5.686076165059399,0.0
2.1988564324532267,0.28952966396179386,5.678531575472665,0.0
2.2038199909914957,0.3004652515941606,5.67098698588593,0.0
2.208783549529765,0.3114008392265284,5.663442396299196,0.0
2.213747108068034,0.3228805182988677,5.655897806712462,0.0
2.2187106666063032,0.346795904596091,5.648353217125727,0.0
2.2236742251445722,0.37071129089331434,5.640808627538993,0.0
2.2286377836828417,0.3946266771905398,5.633264037952258,0.0
2.2336013422211107,0.41854206348776307,5.597223866216063,0.0
2.2385649007593797,0.4424574497849864,5.548226707839823,0.0
2.2435284592976488,0.46610663170215433,5.499229549463583,0.0
2.2484920178359182,0.48944627906596777,5.450232391087339,0.0
2.2534555763741873,0.5127859264297792,5.401235232711099,0.0
2.2584191349124563,0.5361255737935905,5.352238074334859,0.0
2.2633826934507253,0.5594652211574018,5.22603985052672,0.0
2.2683462519889948,0.5828048685212153,5.094212277327365,0.0
2.2733098105272638,0.6122113514770104,4.988472927450991,0.0
2.278273369065533,0.6460384966547938,4.9017430301193725,0.0
2.283236927603802,0.6798656418325772,4.815013132787753,0.0
2.2882004861420713,0.7136927870103638,4.728283235456126,0.0
2.2931640446803403,0.7433503349637953,4.641553338124507,0.0
2.2981276032186093,0.7708203311168051,4.541212496868654,0.0
2.303091161756879,0.7982903272698174,4.438862481404898,0.0
2.308054720295148,0.8257603234228272,4.33651246594115,0.0
2.313018278833417,0.8532303195758371,4.2341624504774025,0.0
2.317981837371686,0.8799717238660978,4.133081941663495,0.0
2.3229453959099553,0.9065953675955329,4.038460432639631,0.0
