# composition,0.6LiCl-0.4MgCl2
# source,Numbers, 2026
# temperature_K,870
# raw_file,0.60LiCl-0.40MgCl2_Numbers_2026_870.0_AP.csv
# savgol,False
# grid_points,2000
r (A),Cl-Cl,Li-Cl,Li-Li,Li-Mg,Mg-Cl,Mg-Mg
0.2619747373686843,0.0,0.0,0.0,0.0,0.0,0.0
0.267214232116058,0.0,0.0,0.0,0.0,0.0,0.0
0.27245372686343167,0.0,0.0,0.0,0.0,0.0,0.0
0.2776932216108054,0.0,0.0,0.0,0.0,0.0,0.0
0.28293271635817907,0.0,0.0,0.0,0.0,0.0,0.0
0.28817221110555274,0.0,0.0,0.0,0.0,0.0,0.0
0.2934117058529264,0.0,0.0,0.0,0.0,0.0,0.0
0.2986512006003001,0.0,0.0,0.0,0.0,0.0,0.0
0.3038906953476738,0.0,0.0,0.0,0.0,0.0,0.0
0.3091301900950475,0.0,0.0,0.0,0.0,0.0,0.0
0.31436968484242117,0.0,0.0,0.0,0.0,0.0,0.0
0.31960917958979485,0.0,0.0,0.0,0.0,0.0,0.0
0.3248486743371686,0.0,0.0,0.0,0.0,0.0,0.0
0.33008816908454225,0.0,0.0,0.0,0.0,0.0,0.0
0.3353276638319159,0.0,0.0,0.0,0.0,0.0,0.0
0.3405671585792896,0.0,0.0,0.0,0.0,0.0,0.0
0.34580665332666327,0.0,0.0,0.0,0.0,0.0,0.0
0.351046148074037,0.0,0.0,0.0,0.0,0.0,0.0
0.3562856428214107,0.0,0.0,0.0,0.0,0.0,0.0
0.36152513756878435,0.0,0.0,0.0,0.0,0.0,0.0
0.366764632316158,0.0,0.0,0.0,0.0,0.0,0.0
0.37200412706353175,0.0,0.0,0.0,0.0,0.0,0.0
0.3772436218109054,0.0,0.0,0.0,0.0,0.0,0.0
0.3824831165582791,0.0,0.0,0.0,0.0,0.0,0.0
0.3877226113056528,0.0,0.0,0.0,0.0,0.0,0.0
0.39296210605302645,0.0,0.0,0.0,0.0,0.0,0.0
0.3982016008004002,0.0,0.0,0.0,0.0,0.0,0.0
0.40344109554777385,0.0,0.0,0.0,0.0,0.0,0.0
0.40868059029514753,0.0,0.0,0.0,0.0,0.0,0.0
0.4139200850425212,0.0,0.0,0.0,0.0,0.0,0.0
0.41915957978989493,0.0,0.0,0.0,0.0,0.0,0.0
0.4243990745372686,0.0,0.0,0.0,0.0,0.0,0.0
0.4296385692846423,0.0,0.0,0.0,0.0,0.0,0.0
0.43487806403201595,0.0,0.0,0.0,0.0,0.0,0.0
0.44011755877938963,0.0,0.0,0.0,0.0,0.0,0.0
0.44535705352676336,0.0,0.0,0.0,0.0,0.0,0.0
0.45059654827413703,0.0,0.0,0.0,0.0,0.0,0.0
0.4558360430215107,0.0,0.0,0.0,0.0,0.0,0.0
0.4610755377688844,0.0,0.0,0.0,0.0,0.0,0.0
0.46631503251625805,0.0,0.0,0.0,0.0,0.0,0.0
0.4715545272636318,0.0,0.0,0.0,0.0,0.0,0.0
0.47679402201100546,0.0,0.0,0.0,0.0,0.0,0.0
0.48203351675837913,0.0,0.0,0.0,0.0,0.0,0.0
0.4872730115057528,0.0,0.0,0.0,0.0,0.0,0.0
0.49251250625312654,0.0,0.0,0.0,0.0,0.0,0.0
0.4977520010005002,0.0,0.0,0.0,0.0,0.0,0.0
0.5029914957478738,0.0,0.0,0.0,0.0,0.0,0.0
0.5082309904952476,0.0,0.0,0.0,0.0,0.0,0.0
0.5134704852426213,0.0,0.0,0.0,0.0,0.0,0.0
0.5187099799899949,0.0,0.0,0.0,0.0,0.0,0.0
0.5239494747373686,0.0,0.0,0.0,0.0,0.0,0.0
0.5291889694847424,0.0,0.0,0.0,0.0,0.0,0.0
0.534428464232116,0.0,0.0,0.0,0.0,0.0,0.0
0.5396679589794897,0.0,0.0,0.0,0.0,0.0,0.0
0.5449074537268633,0.0,0.0,0.0,0.0,0.0,0.0
0.5501469484742371,0.0,0.0,0.0,0.0,0.0,0.0
0.5553864432216108,0.0,0.0,0.0,0.0,0.0,0.0
0.5606259379689844,0.0,0.0,0.0,0.0,0.0,0.0
0.5658654327163581,0.0,0.0,0.0,0.0,0.0,0.0
0.5711049274637318,0.0,0.0,0.0,0.0,0.0,0.0
0.5763444222111055,0.0,0.0,0.0,0.0,0.0,0.0
0.5815839169584792,0.0,0.0,0.0,0.0,0.0,0.0
0.5868234117058528,0.0,0.0,0.0,0.0,0.0,0.0
