# composition,0.4903NaCl-0.5097CaCl2
# source,Wei, 2022
# temperature_K,1023
# raw_file,0.4903NaCl-0.5097CaCl2_Wei_2022_1023.0_RIM.csv
# savgol,True
# grid_points,2000
r (A),Ca-Ca,Ca-Cl,Ca-Na,Cl-Cl,Na-Cl,Na-Na
1.8236671578289145,0.0,0.0,0.0,0.0,0.0,0.0
1.8311106972486244,0.0,0.0,0.0,0.0,0.0,0.0
1.8385542366683343,0.0,0.0,0.0,0.0,0.0,0.0
1.8459977760880442,0.0,0.0,0.0,0.0,0.0,0.0
1.853441315507754,0.0,0.0,0.0,0.0,0.0006780594550907062,0.0
1.860884854927464,0.0,0.0,0.0,0.0,0.0016287619767076434,0.0
1.8683283943471736,0.0,0.0,0.0,0.0,0.0025794644983245523,0.0
1.8757719337668834,0.0,0.0,0.0,0.0,0.0035301670199414897,0.0
1.8832154731865933,0.0,0.0,0.0,0.0,0.004480869541558427,0.0
1.8906590126063032,0.0,0.0,0.0,0.0,0.005431572063175364,0.0
1.898102552026013,0.0,0.0,0.0,0.0,0.006382274584792302,0.0
1.905546091445723,0.0,0.0,0.0,0.0,0.007332977106409239,0.0
1.9129896308654328,0.0,0.0,0.0,0.0,0.008283679628026177,0.0
1.9204331702851427,0.0,0.00059412147890287,0.0,0.0,0.009234382149643113,0.0
1.9278767097048526,0.0,0.001985965623974896,0.0,0.0,0.010185084671260052,0.0
1.9353202491245625,0.0,0.0033778097690469228,0.0,0.0,0.011135787192876988,0.0
1.9427637885442723,0.0,0.004769653914118949,0.0,0.0,0.012086489714493926,0.0
1.950207327963982,0.0,0.006161498059190934,0.0,0.0,0.013037192236110835,0.0
1.9576508673836919,0.0,0.00755334220426296,0.0,0.0,0.013987894757727772,0.0
1.9650944068034017,0.0,0.008945186349334987,0.0,0.0,0.01493859727934471,0.0
1.9725379462231116,0.0,0.010337030494407012,0.0,0.0,0.015889299800961647,0.0
1.9799814856428215,0.0,0.01172887463947904,0.0,0.0,0.016840002322578585,0.0
1.9874250250625314,0.0,0.013120718784551065,0.0,0.0,0.01779070484419552,0.0
1.9948685644822413,0.0,0.014512562929623092,0.0,0.0,0.01874140736581246,0.0
2.002312103901951,0.0,0.015904407074695075,0.0,0.0,0.0198212227315612,0.0
2.009755643321661,0.0,0.017296251219767144,0.0,0.0,0.02099216134485701,0.0
2.0171991827413707,0.0,0.01868809536483913,0.0,0.0,0.022163099958152754,0.0
2.0246427221610808,0.0,0.020079939509911198,0.0,0.0,0.023334038571448567,0.0
2.0320862615807904,0.0,0.021471783654983184,0.0,0.0,0.024504977184744307,0.0
2.0395298010005005,0.0,0.02286362780005525,0.0,0.0,0.02567591579804012,0.0
2.04697334042021,0.0,0.024255471945127234,0.0,0.0,0.026846854411335865,0.0
2.0544168798399203,0.0,0.025647316090199303,0.0,0.0,0.028017793024631678,0.0
2.06186041925963,0.0,0.027039160235271288,0.0,0.0,0.029188731637927418,0.0
2.0693039586793396,0.0,0.028431004380343274,0.0,0.0,0.03035967025122316,0.0
