# composition,1.0UCl3
# source,Okamoto, 2005
# temperature_K,1200
# raw_file,UCl3_Okamoto_2005_1200.0_PIM.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,U-Cl,U-U
2.6786992251325663,0.0327186542199881,4.303414526746924,0.0
2.68607856184092,0.0345615074138238,4.5255849317743655,0.0
2.6934578985492745,0.036404360607659614,4.720976279205896,0.0
2.700837235257629,0.038247213801495435,4.864338421719439,0.0
2.7082165719659828,0.04009006699533114,5.007700564232973,0.0
2.715595908674337,0.04322992058819006,5.151062706746516,0.0
2.7229752453826914,0.04723608052321143,5.358274057894564,0.0
2.7303545820910453,0.05124224045823258,5.534054105254362,0.0
2.7377339187993996,0.05524840039325396,5.606568274283608,0.0
2.7451132555077535,0.0592545603282751,5.672420822182452,0.0
2.752492592216108,0.06326072026329649,5.746933975890414,0.0
2.759871928924462,0.06726688019831786,5.855075625576168,0.0
2.767251265632816,0.071273040133339,5.896426514393007,0.0
2.7746306023411704,0.07527920006836039,5.939528391664127,0.0
2.7820099390495248,0.07928536000338177,5.968816570635056,0.0
2.7893892757578787,0.08329151993840292,5.974419752324453,0.0
2.796768612466233,0.0872976798734243,5.980022934013849,0.0
2.8041479491745873,0.09130383980844567,5.985626115703246,0.0
2.811527285882941,0.09530999974346682,5.9640177647837636,0.0
2.8189066225912955,0.0993161596784882,5.935044778642396,0.0
2.82628595929965,0.10332231961350957,5.906071792501029,0.0
2.8336652960080038,0.10732847954853073,5.877098806359664,0.0
2.841044632716358,0.1113346394835521,5.825687798812073,0.0
2.8484239694247124,0.12077105964491028,5.7738990608081275,0.0
2.8558033061330663,0.1323100236453372,5.722110322804186,0.0
2.8631826428414207,0.14384898764576481,5.6409840085305465,0.0
2.8705619795497745,0.15538795164619174,5.474390673286603,0.0
2.877941316258129,0.16692691564661932,5.258017628164468,0.0
2.885320652966483,0.17846587964704697,5.170509064211719,0.0
2.892699989674837,0.1900048436474739,5.083000500258976,0.0
