# composition,0.66LiF-0.34BeF2
# source,Fayfar, 2024
# temperature_K,973
# raw_file,0.66LiF-0.34BeF2_Fayfar_2024_973.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Be-Be,Be-F,Be-Li,F-F,Li-F,Li-Li
1.2882643231725863,0.0,0.03649822356854067,0.0,0.0,0.0,0.0
1.2932383166983492,0.0,0.05068293248601438,0.0,0.0,0.0,0.0
1.298212310224112,0.0,0.0648676414034881,0.0,0.0,0.0,0.0
1.303186303749875,0.0,0.07905235032096179,0.0,0.0,0.0,0.0
1.3081602972756379,0.0,0.0932370592384355,0.0,0.0,0.0,0.0
1.3131342908014008,0.0,0.10742176815590922,0.0,0.0,0.0,0.0
1.3181082843271636,0.0,0.12160647707338293,0.0,0.0,0.0,0.0
1.3230822778529265,0.0,0.13579118599085663,0.0,0.0,0.0,0.0
1.3280562713786894,0.0,0.14997589490833035,0.0,0.0,0.0,0.0
1.3330302649044523,0.0,0.1773404801294911,0.0,0.0,0.0,0.0
1.3380042584302152,0.0,0.20635715807244703,0.0,0.0,0.0,0.0
1.342978251955978,0.0,0.23537383601540293,0.0,0.0,0.0,0.0
1.347952245481741,0.0,0.2643905139583589,0.0,0.0,0.0,0.0
1.3529262390075039,0.0,0.29340719190131476,0.0,0.0,0.0,0.0
1.3579002325332667,0.0,0.3409152638404954,0.0,0.0,0.0,0.0
1.3628742260590296,0.0,0.4312683987409544,0.0,0.0,0.0,0.0
1.3678482195847923,0.0,0.5216215336414094,0.0,0.0,0.0,0.0
1.3728222131105552,0.0,0.6318593917938664,0.0,0.0,0.0,0.0
1.377796206636318,0.0,0.7774677587585145,0.0,0.0,0.0,0.0
1.382770200162081,0.0,0.9754243514876939,0.0,0.0,0.0,0.0
1.3877441936878439,0.0,1.1288503189313617,0.0,0.0,0.0,0.0
1.3927181872136067,0.0,1.3102695527166481,0.0,0.0,0.0,0.0
1.3976921807393696,0.0,1.5398881451985849,0.0,0.0,0.0,0.0
1.4026661742651325,0.0,1.7896187218354456,0.0,0.0,0.0,0.0
1.4076401677908954,0.0,2.0763432592174405,0.0,0.0,0.0,0.0
1.4126141613166583,0.0,2.412722698354448,0.0,0.0,0.0,0.0
1.4175881548424212,0.0,2.7464037683498903,0.0,0.0,0.0,0.0
1.422562148368184,0.0,3.062324328269172,0.0,0.0,0.0,0.0
1.427536141893947,0.0,3.387236972836808,0.0,0.0,0.0,0.0
1.4325101354197098,0.0,3.741856460525821,0.0,0.0,0.0,0.0
1.4374841289454727,0.0,4.157374818662132,0.0,0.0,0.0,0.0
1.4424581224712356,0.0,4.57782099741384,0.0,0.0,0.0,0.0
1.4474321159969985,0.0,5.003377482873255,0.0,0.0,0.0,0.0
1.4524061095227614,0.0,5.44656361462569,0.0,0.0,0.0,0.0
1.4573801030485243,0.0,5.867149405523032,0.0,0.0,0.0,0.0
1.4623540965742872,0.0,6.3547848423200435,0.0,0.0,0.0,0.0
1.46732809010005,0.0,6.821180182627461,0.0,0.0,0.0,0.0
1.472302083625813,0.0,7.165658009847033,0.0,0.0,0.0062574001162090985,0.0
1.4772760771515758,0.0,7.587924089563774,0.0,0.0,0.018579237922908044,0.0
1.4822500706773387,0.0,8.015556888027408,0.0,0.0,0.030901075729606986,0.0
1.4872240642031016,0.0,8.412408520769095,0.0,0.0,0.04322291353630593,0.0
1.4921980577288645,0.0,8.704701258467258,0.0,0.0,0.05554475134300488,0.0
