# composition,0.5KCl-0.5UCl3
# source,Andersson, 2024
# temperature_K,1250
# raw_file,0.5KCl-0.5UCl3_Andersson_2024_1250.0_AP.csv
# savgol,True
# grid_points,2000
r (A),Cl-Cl,K-Cl,K-K,K-U,U-Cl,U-U
1.2086919072006004,0.0,0.0,0.0,0.0,0.0,0.0
1.212603531495748,0.0,0.0,0.0,0.0,0.0,0.0
1.2165151557908955,0.0,0.0,0.0,0.0,0.0,0.0
1.220426780086043,0.0,0.0,0.0,0.0,0.0,0.0
1.2243384043811907,0.0,0.0,0.0,0.0,0.0,0.0
1.2282500286763383,0.0,0.0,0.0,0.0,0.0,0.0
1.2321616529714858,0.0,0.0,0.0,0.0,0.0,0.0
1.2360732772666334,0.0,0.0,0.0,0.0,0.0,0.0
1.239984901561781,0.0,0.0,0.0,0.0,0.0,0.0
1.2438965258569286,0.0,0.0,0.0,0.0,0.0,0.0
1.2478081501520761,0.0,0.0,0.0,0.0,0.0,0.0
1.2517197744472237,0.0,0.0,0.0,0.0,0.0,0.0
1.255631398742371,0.0,0.0,0.0,0.0,0.0,0.0
1.2595430230375186,0.0,0.0,0.0,0.0,0.0,0.0
1.2634546473326662,0.0,0.0,0.0,0.0,0.0,0.0
1.2673662716278138,0.0,0.0,0.0,0.0,0.0,0.0
1.2712778959229614,0.0,0.0,0.0,0.0,0.0,0.0
1.275189520218109,0.0,0.0,0.0,0.0,0.0,0.0
1.2791011445132565,0.0,0.0,0.0,0.0,0.0,0.0
1.283012768808404,0.0,0.0,0.0,0.0,0.0,0.0
1.2869243931035517,0.0,0.0,0.0,0.0,0.0,0.0
1.2908360173986992,0.0,0.0,0.0,0.0,0.0,0.0
1.2947476416938468,0.0,0.0,0.0,0.0,0.0,0.0
1.2986592659889944,0.0,0.0,0.0,0.0,0.0,0.0
1.302570890284142,0.0,0.0,0.0,0.0,0.0,0.0
1.3064825145792895,0.0,0.0,0.0,0.0,0.0,0.0
1.3103941388744371,0.0,0.0,0.0,0.0,0.0,0.0
1.3143057631695847,0.0,0.0,0.0,0.0,0.0,0.0
1.3182173874647323,0.0,0.0,0.0,0.0,0.0,0.0
1.3221290117598798,0.0,0.0,0.0,0.0,0.0,0.0
1.3260406360550274,0.0,0.0,0.0,0.0,0.0,0.0
1.329952260350175,0.0,0.0,0.0,0.0,0.0,0.0
1.3338638846453226,0.0,0.0,0.0,0.0,0.0,0.0
1.3377755089404701,0.0,0.0,0.0,0.0,0.0,0.0
1.3416871332356177,0.0,0.0,0.0,0.0,0.0,0.0
1.3455987575307653,0.0,0.0,0.0,0.0,0.0,0.0
1.3495103818259129,0.0,0.0,0.0,0.0,0.0,0.0
1.3534220061210605,0.0,0.0,0.0,0.0,0.0,0.0
1.357333630416208,0.0,0.0,0.0,0.0,0.0,0.0
1.3612452547113556,0.0,0.0,0.0,0.0,0.0,0.0
1.3651568790065032,0.0,0.0,0.0,0.0,0.0,0.0
1.3690685033016508,0.0,0.0,0.0,0.0,0.0,0.0
1.3729801275967983,0.0,0.0,0.0,0.0,0.0,0.0
1.376891751891946,0.0,0.0,0.0,0.0,0.0,0.0
1.3808033761870935,0.0,0.0,0.0,0.0,0.0,0.0
1.384715000482241,0.0,0.0,0.0,0.0,0.0,0.0
1.3886266247773886,0.0,0.0,0.0,0.0,0.0,0.0
1.3925382490725362,0.0,0.0,0.0,0.0,0.0,0.0
1.3964498733676838,0.0,0.0,0.0,0.0,0.0,0.0
1.4003614976628314,0.0,0.0,0.0,0.0,0.0,0.0
1.404273121957979,0.0,0.0,0.0,0.0,0.0,0.0
1.4081847462531265,0.0,0.0,0.0,0.0,0.0,0.0
1.412096370548274,0.0,0.0,0.0,0.0,0.0,0.0
1.4160079948434217,0.0,0.0,0.0,0.0,0.0,0.0
1.4199196191385692,0.0,0.0,0.0,0.0,0.0,0.0
1.4238312434337168,0.0,0.0,0.0,0.0,0.0,0.0
1.4277428677288644,0.0,0.0,0.0,0.0,0.0,0.0
1.431654492024012,0.0,0.0,0.0,0.0,0.0,0.0
1.4355661163191595,0.0,0.0,0.0,0.0,0.0,0.0
1.439477740614307,0.0,0.0,0.0,0.0,0.0,0.0
1.4433893649094547,0.0,0.0,0.0,0.0,0.0,0.0
1.4473009892046023,0.0,0.0,0.0,0.0,0.0,0.0
1.4512126134997498,0.0,0.0,0.0,0.0,0.0,0.0
1.4551242377948974,0.0,0.0,0.0,0.0,0.0,0.0
1.459035862090045,0.0,0.0,0.0,0.0,0.0,0.0
1.4629474863851926,0.0,0.0,0.0,0.0,0.0,0.0
1.4668591106803401,0.0,0.0,0.0,0.0,0.0,0.0
1.4707707349754877,0.0,0.0,0.0,0.0,0.0,0.0
1.4746823592706353,0.0,0.0,0.0,0.0,0.0,0.0
