Freq_rad_ps,VDOS_K,VDOS_Mg
2.647535588655874150e+01,1.769454531229403341e-02,1.233428240070554710e-02
2.656510285566572094e+01,1.615959827148691352e-02,1.521248083460434962e-02
2.665484982477270037e+01,1.463116113160216510e-02,1.625085966096309967e-02
2.674459679387967981e+01,1.494133752863873420e-02,1.358681276622156556e-02
2.683434376298665924e+01,1.542520305641712636e-02,1.270986911169831070e-02
2.692409073209363868e+01,1.418652409850171096e-02,1.425023240649693317e-02
2.701383770120061811e+01,1.163343742605221429e-02,1.277514756764824497e-02
2.710358467030759755e+01,1.432464941213627309e-02,1.161520515252148326e-02
2.719333163941457698e+01,1.495766277548819800e-02,1.311730982175848999e-02
2.728307860852155287e+01,1.462535463210207741e-02,1.251199825954679712e-02
2.737282557762853230e+01,1.565438933019520223e-02,1.265576169626037549e-02
2.746257254673551174e+01,1.566804804481424646e-02,1.315959765903641082e-02
2.755231951584249117e+01,1.480619854970756724e-02,1.261218343012332488e-02
2.764206648494947061e+01,1.404632737965445799e-02,1.330304250661589090e-02
2.773181345405645004e+01,1.416641328552934766e-02,1.384909819753911073e-02
2.782156042316342948e+01,1.341103302820598198e-02,1.362171668192431982e-02
2.791130739227040891e+01,1.318330606161084370e-02,1.411061311674972028e-02
2.800105436137738835e+01,1.451535295399685593e-02,1.254195623750388455e-02
2.809080133048436068e+01,1.498928562574895762e-02,1.074136347553058049e-02
2.818054829959134011e+01,1.593082822522527003e-02,1.177253882392085074e-02
2.827029526869831955e+01,1.428569580860580314e-02,1.304571461833643232e-02
2.836004223780529898e+01,1.331592074120850622e-02,1.256848698114338900e-02
2.844978920691227842e+01,1.179594077501682804e-02,1.163327717084731809e-02
2.853953617601925785e+01,9.799181519828125547e-03,1.172971081996235752e-02
2.862928314512623373e+01,1.078440296990294811e-02,1.218267054656969016e-02
2.871903011423321317e+01,1.215051490792649729e-02,1.158501500963364864e-02
2.880877708334019260e+01,1.255672856945528812e-02,1.050626679815873550e-02
2.889852405244717204e+01,1.292072196689037986e-02,1.097236545121176368e-02
2.898827102155415147e+01,1.299238186307924772e-02,1.122832054854260193e-02
2.907801799066113091e+01,1.143205511397832677e-02,1.005044793252589906e-02
2.916776495976811034e+01,1.149182150794221188e-02,1.101621531616942332e-02
2.925751192887508978e+01,1.129779766854416626e-02,1.014524176470537817e-02
2.934725889798206921e+01,1.073183192987972427e-02,1.085959187344090124e-02
2.943700586708904865e+01,1.047192243469769780e-02,1.034412180053417493e-02
2.952675283619602453e+01,9.993086633379919675e-03,1.027479687026188956e-02
2.961649980530300397e+01,1.050288039477018619e-02,1.064412303008104195e-02
2.970624677440998340e+01,9.786772638850605235e-03,1.122808598424752252e-02
2.979599374351695928e+01,9.970858826153438173e-03,1.143638020216090380e-02
2.988574071262393872e+01,1.015189824270159094e-02,1.084733073556661508e-02
2.997548768173091460e+01,8.726954929537001499e-03,9.933565921071129193e-03
3.006523465083789404e+01,8.634837930337219830e-03,1.089985329933982304e-02
3.015498161994487347e+01,1.036526241088937816e-02,1.159669680308223795e-02
3.024472858905185291e+01,9.363690607175338687e-03,1.089866168663518840e-02
3.033447555815883234e+01,7.754507721135570422e-03,1.091875845428496097e-02
3.042422252726581178e+01,9.257957626666857981e-03,1.075588185263778168e-02
3.051396949637279121e+01,8.624069428287552824e-03,1.004730115881376229e-02
