Cl-Cl,,K-Cl,,K-K,,K-Mg,,K-Na,,Mg-Cl,,Mg-Mg,,Mg-Na,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.068750000,1.667695704,4.068750000,0.802547668,4.068750000,0.748810144,4.068750000,2.425053219,4.068750000,1.253800836,4.068750000,0.361884259,4.068750000,0.976925303,4.068750000,2.532741620,4.068750000,0.506331761,4.068750000,1.753782764
4.121250000,1.563046082,4.121250000,0.715949249,4.121250000,0.833389676,4.121250000,2.571276649,4.121250000,1.355649108,4.121250000,0.396869972,4.121250000,0.975746865,4.121250000,2.328187711,4.121250000,0.512433305,4.121250000,1.785721801
4.173750000,1.446693815,4.173750000,0.678458834,4.173750000,0.927721455,4.173750000,2.622935137,4.173750000,1.468621853,4.173750000,0.412598549,4.173750000,0.980059141,4.173750000,2.292094027,4.173750000,0.513752318,4.173750000,1.858039231
4.226250000,1.325967734,4.226250000,0.658105952,4.226250000,1.071218860,4.226250000,2.670885572,4.226250000,1.563931303,4.226250000,0.420341741,4.226250000,0.966259886,4.226250000,2.262628526,4.226250000,0.502790268,4.226250000,1.775868947
4.278750000,1.225145870,4.278750000,0.631806713,4.278750000,1.124235838,4.278750000,2.684847006,4.278750000,1.595343769,4.278750000,0.453979601,4.278750000,0.902894598,4.278750000,2.108371454,4.278750000,0.511627679,4.278750000,1.704735157
4.331250000,1.146690597,4.331250000,0.590959705,4.331250000,1.291227325,4.331250000,2.654425822,4.331250000,1.652551696,4.331250000,0.491904168,4.331250000,0.839252690,4.331250000,2.023133496,4.331250000,0.518798113,4.331250000,1.658722539
4.383750000,1.076927465,4.383750000,0.576889909,4.383750000,1.375192026,4.383750000,2.572642215,4.383750000,1.743323888,4.383750000,0.505339973,4.383750000,0.815554236,4.383750000,1.898682490,4.383750000,0.558923248,4.383750000,1.713204263
4.436250000,1.007264570,4.436250000,0.550423212,4.436250000,1.415829978,4.436250000,2.488353964,4.436250000,1.794656834,4.436250000,0.536422437,4.436250000,0.847182023,4.436250000,1.715132563,4.436250000,0.527186577,4.436250000,1.722305870
4.488750000,0.967862760,4.488750000,0.560770678,4.488750000,1.505830108,4.488750000,2.378597101,4.488750000,1.783373169,4.488750000,0.569537733,4.488750000,0.806918075,4.488750000,1.733822668,4.488750000,0.545975299,4.488750000,1.645483491
4.541250000,0.917277555,4.541250000,0.541381317,4.541250000,1.567294204,4.541250000,2.262199882,4.541250000,1.877659186,4.541250000,0.607589383,4.541250000,0.787676293,4.541250000,1.578906852,4.541250000,0.568069128,4.541250000,1.486410022
