Freq_rad_ps,VDOS_Li,VDOS_K
1.947509229621439886e+01,6.580199370038885068e-03,3.077668286000700623e-02
1.956483926532137829e+01,8.069400600324147174e-03,3.140505416241621411e-02
1.965458623442835773e+01,6.462468035951590521e-03,3.033663590666658624e-02
1.974433320353533716e+01,5.200459384500645890e-03,3.053936398124885293e-02
1.983408017264231660e+01,5.369432783298220060e-03,3.037857105207539613e-02
1.992382714174929248e+01,7.005166827637806549e-03,3.233547829791075245e-02
2.001357411085627191e+01,7.359742937978334607e-03,3.307358894506320923e-02
2.010332107996325135e+01,7.782992230567054893e-03,3.283739655729147472e-02
2.019306804907022723e+01,6.808193796599993144e-03,3.375364626914800770e-02
2.028281501817720667e+01,5.714467600885305039e-03,3.131742639572803605e-02
2.037256198728418610e+01,7.018157282462272883e-03,3.317042564286749179e-02
2.046230895639116554e+01,7.505728746137241975e-03,3.306731468682901076e-02
2.055205592549814497e+01,6.990697723032823427e-03,3.011050318846712759e-02
2.064180289460512441e+01,6.776462685149162689e-03,3.098814707630105983e-02
2.073154986371210384e+01,7.342942833348782214e-03,3.088584819866421055e-02
2.082129683281908328e+01,6.311951767346501117e-03,3.171005498480448243e-02
2.091104380192605916e+01,5.906992398631866030e-03,2.979800846373698714e-02
2.100079077103303860e+01,8.961498148639012590e-03,2.973556982929756454e-02
2.109053774014001803e+01,8.551154597143818814e-03,2.936428219485156393e-02
2.118028470924699747e+01,7.884642580286777697e-03,2.920860632872300175e-02
2.127003167835397335e+01,7.336619640225854055e-03,2.882180011603778513e-02
2.135977864746095278e+01,8.343637382455724311e-03,2.724314958224581182e-02
2.144952561656793222e+01,9.163553810103169939e-03,2.849337362593721071e-02
2.153927258567491165e+01,7.167259665833543292e-03,2.937462928405681212e-02
2.162901955478189109e+01,6.582473306709217195e-03,3.151052316866349151e-02
2.171876652388886697e+01,6.799625526253834026e-03,3.120470164104487479e-02
2.180851349299584641e+01,6.558212821311824002e-03,2.704771797940617312e-02
2.189826046210282584e+01,6.492715669344228946e-03,2.794729607474307626e-02
2.198800743120980528e+01,6.887857038940056742e-03,2.866295858380318515e-02
2.207775440031678471e+01,8.723598566780755084e-03,2.775165177807159544e-02
2.216750136942376415e+01,9.059295300061637191e-03,2.762640262599052460e-02
2.225724833853074358e+01,7.808585484783788465e-03,2.938214436063789001e-02
2.234699530763772302e+01,8.539489015222959112e-03,2.983791911465652827e-02
2.243674227674469890e+01,8.987658433716997144e-03,2.882161068100480214e-02
2.252648924585167833e+01,6.883028722335331542e-03,2.745244287204075609e-02
2.261623621495865422e+01,7.565068475149198945e-03,2.651508312046427923e-02
2.270598318406563365e+01,8.482872059199066464e-03,2.686911352619231544e-02
2.279573015317261309e+01,7.960916478865561960e-03,2.681371005333896620e-02
2.288547712227959252e+01,8.362176213788121565e-03,2.515799643208700004e-02
2.297522409138657196e+01,8.302306221037289782e-03,2.417794348549531444e-02
2.306497106049355139e+01,7.956562557617719716e-03,2.497798261141165321e-02
2.315471802960053083e+01,7.697907255704093676e-03,2.431155647359200048e-02
2.324446499870751026e+01,7.117202771190255309e-03,2.126465680083847870e-02
2.333421196781448970e+01,6.174368653223849535e-03,2.445673323684851089e-02
2.342395893692146558e+01,6.380214512369225544e-03,2.802816519397987455e-02
2.351370590602844501e+01,6.863814898414723024e-03,2.706945791793098285e-02
2.360345287513542445e+01,8.456536660020734855e-03,2.641879731439351550e-02
2.369319984424240033e+01,7.756002712865360180e-03,2.684354116288987027e-02
2.378294681334937977e+01,7.012256720076276081e-03,2.703936223524178520e-02
2.387269378245635920e+01,6.387193036522953275e-03,2.638609691425269216e-02
2.396244075156333864e+01,6.446642481333782551e-03,2.382822280751566504e-02
2.405218772067031807e+01,7.139971052243748555e-03,2.498895008821059097e-02
2.414193468977729751e+01,7.180729349357998538e-03,2.531716768420841368e-02
2.423168165888427694e+01,7.367043541300821209e-03,2.516312569483377531e-02
2.432142862799125282e+01,6.801743484827945871e-03,2.440945471413989709e-02
2.441117559709823226e+01,7.582613886922099332e-03,2.180019591650749280e-02
2.450092256620521169e+01,6.303521486399768850e-03,2.062330832795278984e-02
2.459066953531219113e+01,6.093327895127590051e-03,2.133400330211894166e-02
2.468041650441917056e+01,7.511351254977528119e-03,2.142368334987611658e-02
2.477016347352615000e+01,9.012550829143387010e-03,2.219153411373748358e-02
