r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
1.1600119262931465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1674005372886442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1747891482841422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1821777592796399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1895663702751376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.1969549812706353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.204343592266133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.211732203261631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2191208142571286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2265094252526263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.233898036248124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2412866472436217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2486752582391196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2560638692346173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.263452480230115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2708410912256127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
1.2782297022211104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.7504001932673345,0
