r (A),g(r)_weighted_Na-Cl,g(r)_weighted_K-Na,g(r)_weighted_Na-Na,g(r)_weighted_K-K,g(r)_weighted_K-Cl,S_i_Na-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.803961564024012,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8089242897278639,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8138870154317158,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8188497411355677,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8238124668394197,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8287751925432716,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8337379182471235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8387006439509754,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8436633696548274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8486260953586793,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8535888210625312,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8585515467663831,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.863514272470235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.868476998174087,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.873439723877939,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8784024495817909,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8833651752856428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8883279009894948,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8932906266933467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.8982533523971986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.9032160781010505,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.9081788038049025,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.9131415295087544,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.9181042552126063,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
0.9230669809164582,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8868841842742845,4.32778
