Freq_rad_ps,VDOS_Na,VDOS_K,VDOS_Mg
1.992382714174929248e+01,3.387878048275512477e-02,3.761837966444392389e-02,1.412589160591536282e-02
2.001357411085627191e+01,3.491228394289691561e-02,3.817365220894642502e-02,1.140189997041272767e-02
2.010332107996325135e+01,3.200495766970867795e-02,3.198851762249869946e-02,1.060724846951687818e-02
2.019306804907022723e+01,3.249702425600718703e-02,2.912843026589282888e-02,1.158664839243204146e-02
2.028281501817720667e+01,3.293752636976846060e-02,2.714335195710312204e-02,1.251912130018715749e-02
2.037256198728418610e+01,3.093130089953814027e-02,3.214367302572195689e-02,1.279214006783669505e-02
2.046230895639116554e+01,3.016122615286096972e-02,2.841594800907285001e-02,1.221409011203220332e-02
2.055205592549814497e+01,2.900298162646768388e-02,2.648434036153090795e-02,1.076823265297241657e-02
2.064180289460512441e+01,2.639943711798631298e-02,2.639182615812384405e-02,1.320213273509052154e-02
2.073154986371210384e+01,2.987741789431953843e-02,3.214455179425047826e-02,1.394324456624493856e-02
2.082129683281908328e+01,2.715642010039777746e-02,3.190437495055170602e-02,1.262143709659018127e-02
2.091104380192605916e+01,2.725707044831111522e-02,2.882879871756375070e-02,1.222859707790740526e-02
2.100079077103303860e+01,2.913438743195279068e-02,3.541221615920972510e-02,1.088212485581035310e-02
2.109053774014001803e+01,2.745034076313191546e-02,3.263601683447076018e-02,1.255106920278145806e-02
2.118028470924699747e+01,3.011122784582558748e-02,2.681657690100715599e-02,1.421110339153643445e-02
2.127003167835397335e+01,2.535270878254177601e-02,2.491092159361326525e-02,1.238073660611169538e-02
2.135977864746095278e+01,2.479364048880541849e-02,2.978998930925732050e-02,1.001937689100360768e-02
2.144952561656793222e+01,2.740737024788282919e-02,2.937219018838636495e-02,1.175739880183382033e-02
2.153927258567491165e+01,2.790823893129948038e-02,2.862695657499323212e-02,1.305808968502590595e-02
2.162901955478189109e+01,2.633738375941782964e-02,2.579671488730881160e-02,1.036904481662317794e-02
2.171876652388886697e+01,2.345703663585694404e-02,2.463815789860988870e-02,1.129070247646570511e-02
2.180851349299584641e+01,2.943894886860425747e-02,2.755424497651431243e-02,1.203969084706139718e-02
2.189826046210282584e+01,2.979329844100687616e-02,2.754757389536743178e-02,1.265654154719162566e-02
2.198800743120980528e+01,3.180614413686817799e-02,3.058925918756869380e-02,1.221404497533119630e-02
2.207775440031678471e+01,2.753646916879051026e-02,2.774959508559886670e-02,1.042544197522494477e-02
2.216750136942376415e+01,2.522743683438375892e-02,3.000121181669043041e-02,1.029157853479714495e-02
2.225724833853074358e+01,2.917945724683878791e-02,2.764438266147774270e-02,1.240385241019514688e-02
2.234699530763772302e+01,2.590195304476025293e-02,2.379520310790329482e-02,1.267815389618942405e-02
2.243674227674469890e+01,2.620551484227118949e-02,2.163497164424643682e-02,1.350485351291537753e-02
2.252648924585167833e+01,2.766539796019289177e-02,2.488047096623829252e-02,1.210261468131356745e-02
2.261623621495865422e+01,2.722292441165790819e-02,2.479180480275666384e-02,1.202358535780296417e-02
2.270598318406563365e+01,2.684871493592601299e-02,2.206786686999983801e-02,1.125456000964689118e-02
2.279573015317261309e+01,2.721760866393420700e-02,2.839794784136425582e-02,1.170864615795034515e-02
2.288547712227959252e+01,2.751206664605837862e-02,2.762787275743419993e-02,1.342798307233681460e-02
2.297522409138657196e+01,2.701152317753749768e-02,2.130833665014543118e-02,1.421744442089964248e-02
2.306497106049355139e+01,2.958371305763172684e-02,2.092180645760494118e-02,1.367671046363574949e-02
2.315471802960053083e+01,2.945512992781809669e-02,2.472942882381081245e-02,1.405116776399702345e-02
2.324446499870751026e+01,2.924236906560390842e-02,2.536783447126193802e-02,1.333999455684273770e-02
2.333421196781448970e+01,3.127299282352406090e-02,2.764511175862498574e-02,1.228289227792998990e-02
2.342395893692146558e+01,3.069323724345936547e-02,2.299198345049469072e-02,1.059054325578341615e-02
2.351370590602844501e+01,2.864263733021202296e-02,1.850571819299574872e-02,1.021741854279564765e-02
2.360345287513542445e+01,2.821393862449381520e-02,2.005066089562831250e-02,1.153653014105632257e-02
2.369319984424240033e+01,2.488289935672510084e-02,2.263037066357677721e-02,1.323576160214232945e-02
2.378294681334937977e+01,2.608131023036370719e-02,2.117698293217437633e-02,1.331380981522332224e-02
