Mode_Index,Frequency_cm-1,Type,Participation_Ratio
185,(50.41072175357822+0j),Real,0.5224375888093067
186,(50.681043678080194+0j),Real,0.46232733515812485
187,(51.08314141452677+0j),Real,0.37841329701236365
188,(51.33690175686408+0j),Real,0.39237773207407384
189,(51.76854579983753+0j),Real,0.37844700613300597
190,(52.07361321647958+0j),Real,0.472178777736778
191,(52.31265192903266+0j),Real,0.44575119286517834
192,(52.79732552969466+0j),Real,0.44424607221282064
193,(52.91468459971764+0j),Real,0.45135299156877723
194,(53.21552144706504+0j),Real,0.2525198781488822
195,(53.50378992221821+0j),Real,0.36513262104511085
196,(53.81913988559504+0j),Real,0.26380437561878844
197,(54.25369844411426+0j),Real,0.43080607468365806
198,(54.3751661760927+0j),Real,0.45156722217612616
199,(54.77820360624735+0j),Real,0.3106141135371686
200,(54.94589557162135+0j),Real,0.43886609032741425
201,(55.45501527618515+0j),Real,0.44566158480564766
202,(55.844246684260874+0j),Real,0.40413272823398066
203,(56.078178048163316+0j),Real,0.44296773784098825
204,(56.443146059173436+0j),Real,0.36678412205881256
205,(56.840607583308454+0j),Real,0.40629857397938623
206,(57.08044689771527+0j),Real,0.4365863432540344
207,(57.161956424627796+0j),Real,0.42263903751432
208,(57.257752408076655+0j),Real,0.460961077352647
209,(57.62891008114206+0j),Real,0.39186108106614315
210,(58.30961770688604+0j),Real,0.40847701750300563
211,(58.36754816157236+0j),Real,0.4385328240849813
212,(58.64384360226748+0j),Real,0.4482560396885216
213,(58.990119144567046+0j),Real,0.3733227182093181
214,(59.212563876780536+0j),Real,0.4168048694676076
215,(59.81238374451139+0j),Real,0.29495507903670937
216,(60.10674760345538+0j),Real,0.33358427006495645
217,(60.45724057058393+0j),Real,0.4662285620352153
218,(61.02230841932167+0j),Real,0.4623127914344951
219,(61.1435304274276+0j),Real,0.43905342317926876
220,(61.61228655234262+0j),Real,0.4135906710971101
221,(61.99640553670816+0j),Real,0.26267490642470165
222,(62.23109950317465+0j),Real,0.4744437501110302
