r (A),g(r)_weighted_K-Cl,g(r)_weighted_Li-Cl,S_i_K-Cl,S_i_Li-Cl,Average_SCL,SCL_BC
0.7762001681090547,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7801402704852427,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7840803728614308,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7880204752376189,0.0,0.0,1.0,1.0,2.692709838088354,0
0.791960577613807,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7959006799899951,0.0,0.0,1.0,1.0,2.692709838088354,0
0.7998407823661832,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8037808847423713,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8077209871185594,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8116610894947475,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8156011918709356,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8195412942471236,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8234813966233118,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8274214989994999,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8313616013756879,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8353017037518761,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8392418061280641,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8431819085042522,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8471220108804404,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8510621132566284,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8550022156328165,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8589423180090047,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8628824203851927,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8668225227613808,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8707626251375689,0.0,0.0,1.0,1.0,2.692709838088354,0
0.874702727513757,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8786428298899451,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8825829322661332,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8865230346423213,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8904631370185093,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8944032393946975,0.0,0.0,1.0,1.0,2.692709838088354,0
0.8983433417708856,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9022834441470736,0.0,0.0,1.0,1.0,2.692709838088354,0
0.9062235465232618,0.0,0.0,1.0,1.0,2.692709838088354,0
0.91016364889945,0.0,0.0,1.0,1.0,2.692709838088354,0
0.914103751275638,0.0,0.0,1.0,1.0,2.692709838088354,0
0.918043853651826,0.0,0.0,1.0,1.0,2.692709838088354,0
0.921983956028014,0.0,0.0,1.0,1.0,2.692709838088354,0
