Li-Li,,Be-F,,Be-Be,,F-F,,Li-F,,Th-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
3.461538462,1.401534247,3.929185565,1.294148429,4.342622755,1.251000418,5.484162896,1.106166783,3.232785426,0.737644866,3.802929734,0.395214909
3.50397878,1.350246575,3.981090317,1.293295874,4.370024233,1.286924018,5.552036199,1.084968465,3.286369534,0.768490257,3.864809565,0.448249973
3.533156499,1.314739726,4.06625801,1.286593032,4.433848692,1.27931896,5.728506787,1.025227751,3.339036811,0.804682384,3.924061275,0.553769974
3.578249337,1.255561644,4.115499646,1.26723057,4.480782218,1.289294253,5.864253394,0.992466713,3.392991935,0.840831443,3.975537264,0.63601005
3.615384615,1.216109589,4.164741282,1.239588203,4.539396452,1.324518543,5.955882353,0.965487036,3.441219238,0.866017461,4.034951938,0.654902264
3.631299735,1.190465753,4.24724586,1.172938253,4.570015566,1.305262077,5.979638009,0.961632796,3.506284252,0.906179303,4.081117365,0.708881103
3.670751116,1.15329422,4.301813728,1.137842186,4.618757945,1.36349767,,,3.567280308,0.94740702,4.137740954,0.777587837
3.713527851,1.115506849,4.394970768,1.048663454,4.683791514,1.391656898,,,3.615909248,0.978861409,4.191736422,0.859512896
3.74005305,1.081972603,4.480138461,0.97460597,4.722760103,1.407410677,,,3.668884515,1.015854252,4.245894854,0.95848198
3.779840849,1.065205479,4.537369445,0.932879576,4.766711028,1.396961977,,,3.72833245,1.05541995,4.294797045,0.999994681
3.797541567,1.017936986,4.62786337,0.855943114,4.797700156,1.358882328,,,3.778691449,1.087712197,4.346164392,1.094458424
3.835543767,0.999123288,4.705041715,0.807114385,4.832851978,1.342324532,,,3.837817885,1.118190171,4.397531739,1.171437996
3.888594164,0.947835616,4.767598931,0.768421474,4.86652332,1.365077998,,,3.917949712,1.162665432,4.454155328,1.214070577
3.936339523,0.920219178,4.85542974,0.72092297,4.901219609,1.411414664,,,3.994224141,1.213920804,4.513407038,1.340984651
3.962411852,0.894456866,4.928639418,0.707488975,4.933790521,1.367306182,,,4.040851515,1.230766278,4.572658748,1.389633037
3.982933299,0.869055997,4.997828416,0.700200123,5.002187889,1.422424426,,,4.084498262,1.253174736,4.626654216,1.433325126
4.031856117,0.854400729,5.057722516,0.696903797,5.054432428,1.408727825,,,4.126652215,1.268410299,4.683277805,1.519775063
4.080778935,0.838657467,5.132237746,0.693699803,5.097561278,1.386623739,,,4.174917278,1.274495759,4.737273273,1.614465414
4.121977098,0.821639078,5.194794961,0.697120474,5.146071084,1.40259515,,,4.223609244,1.274089743,4.775500016,1.63147706
4.155450605,0.80148074,5.279962654,0.69582041,5.190767519,1.378933425,,,4.277564368,1.275274048,4.811098637,1.673883215
4.201487999,0.790920098,5.362467231,0.721821691,5.255292677,1.329288429,,,4.329316599,1.275797558,4.854581622,1.676308566
