r (A),g(r)_weighted_U-U,g(r)_weighted_Na-U,g(r)_weighted_K-U,g(r)_weighted_U-F,g(r)_weighted_Na-Na,g(r)_weighted_K-Na,g(r)_weighted_Na-F,g(r)_weighted_K-K,g(r)_weighted_K-F,g(r)_weighted_F-F,S_i_U-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
3.4650525262631313,0.0,0.0377889791499835,0.003521865585296305,0.015502704416917755,0.07461262272377192,0.012730491293146401,0.09535616566348412,0.0022680890570209392,0.03660495089669732,0.5046794194644114,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4690445222611306,0.0,0.03831016329064125,0.0036206394677358233,0.015354649824579663,0.07475491996516741,0.012766198031735619,0.09546719092066497,0.0021941709430431137,0.03642897874360406,0.5033444977514349,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4730365182591294,0.0,0.03883134743129895,0.003719413350175331,0.015206595232241589,0.0748972172065629,0.012801904770324833,0.0955782161778458,0.002120252829065296,0.036253006590510825,0.5020095760384584,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4770285142571282,0.0,0.039352531571956645,0.0038181872326148395,0.015058540639903514,0.07503951444795838,0.012837611508914045,0.09568924143502663,0.0020463347150874787,0.036077034437417596,0.5006746543254821,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4810205102551275,0.0,0.0398737157126144,0.003916961115054358,0.014910486047565423,0.07518181168935387,0.012873318247503263,0.09580026669220748,0.0019724166011096528,0.03590106228432434,0.49933973261250547,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4850125062531263,0.0,0.0403948998532721,0.004015734997493865,0.014762431455227348,0.07532410893074935,0.012909024986092477,0.09591129194938833,0.001898498487131835,0.0357250901312311,0.4980048108995291,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4890045022511256,0.0,0.04091608399392986,0.004114508879933384,0.014614376862889257,0.07546640617214485,0.012944731724681694,0.09602231720656917,0.0018245803731540096,0.03554911797813785,0.4966698891865525,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.4929964982491244,0.0,0.041437268134587556,0.004213282762372892,0.014466322270551182,0.07560870341354034,0.012980438463270906,0.09613334246375001,0.0017506622591761918,0.03537314582504461,0.4953349674735761,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.496988494247123,0.0,0.04195845227524525,0.0043120566448123995,0.014318267678213108,0.07575100065493581,0.01301614520186012,0.09624436772093084,0.0016767441451983744,0.035197173671951375,0.49400004576059964,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5009804902451225,0.0,0.04246986634102683,0.0043965373825423405,0.014179245124402816,0.07586043814050694,0.013051750613960546,0.09636235774789832,0.0016608791634819381,0.03503120509959062,0.49276120415439295,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
3.5049724862431213,0.0,0.04295127231968865,0.0044371177472357064,0.014067963831785076,0.07586894923318889,0.013087044808988263,0.09650173956778195,0.0018233202308540726,0.03489596181090828,0.4918174657332652,0.01577462003535268,0.13736613750448656,0.00023104533779925583,2.4737883634984548,0
