r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_K-Cl,S_i_U-Cl,Average_SCL,lambda_BC
0.6220203708894446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6258131780290145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6296059851685842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.633398792308154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6371915994477239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6409844065872936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6447772137268634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6485700208664331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.652362828006003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6561556351455727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6599484422851425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6637412494247124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6675340565642821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6713268637038519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6751196708434216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6789124779829915,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6827052851225612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.686498092262131,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6902908994017007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6940837065412706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.6978765136808404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7016693208204101,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.70546212795998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7092549350995497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7130477422391195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7168405493786892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7206333565182591,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7244261636578289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7282189707973986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7320117779369685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7358045850765382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.739597392216108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7433901993556777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7471830064952476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7509758136348174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7547686207743871,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7585614279139569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7623542350535267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
0.7661470421930965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.258845618951232,0
