r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-Cl,g(r)_weighted_U-U,S_i_Na-Cl,S_i_U-Cl,Average_SCL,SCL_BC
0.667905214036018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6713658628134067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6748265115907954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6782871603681841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6817478091455728,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6852084579229615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6886691067003502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6921297554777389,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6955904042551275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.6990510530325162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.702511701809905,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7059723505872937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7094329993646824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.712893648142071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7163542969194597,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7198149456968485,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7232755944742372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7267362432516258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7301968920290145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7336575408064032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7371181895837919,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7405788383611807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7440394871385693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.747500135915958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7509607846933467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7544214334707354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.757882082248124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7613427310255128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7648033798029015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7682640285802902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7717246773576788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7751853261350675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7786459749124562,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.782106623689845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7855672724672337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7890279212446223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.792488570022011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7959492187993997,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.7994098675767884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.802870516354177,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8063311651315658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8097918139089545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8132524626863432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8167131114637319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8201737602411205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8236344090185093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.827095057795898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8305557065732867,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8340163553506753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.837477004128064,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8409376529054527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
0.8443983016828415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.8887095937446667,2.5393
