r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Li,g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Ca-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
3.606748429159635,0.0010057095149964357,0.03321801786104544,0.04243868818400654,0.8167581051770868,0.11553050503831012,0.21213060879570664,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.6116959578690446,0.0010536309756688739,0.03283625919655569,0.043102890752299415,0.8202752177541855,0.1155035062101344,0.2133790138435049,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.616643486578455,0.0011015524363413144,0.0324545005320659,0.04371300393345427,0.8237923303312851,0.1154765073819587,0.21434099947036636,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.621591015287864,0.0011494738970137524,0.032072741867576166,0.0443211215199488,0.8273094429083839,0.11544950855378298,0.21530298509722767,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.626538543997274,0.0011973953576861881,0.031690983203086415,0.04492923910644332,0.8308265554854828,0.11542250972560726,0.21626497072408904,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.631486072706684,0.0012453168183586263,0.031309224538596664,0.04553735669293785,0.8343436680625819,0.11539551089743154,0.2172269563509504,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.636433601416093,0.0012932382790310645,0.030927465874106917,0.04614547427943238,0.836165487321206,0.11545097357504659,0.21818894197781175,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.641381130125503,0.0013411597397035,0.03054570720961718,0.046753591865926904,0.8375570358946063,0.11550856054406564,0.21915092760467308,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.646328658834912,0.0013890812003759382,0.030163948545127432,0.04736170945242143,0.8389485844680064,0.11556614751308465,0.22011291323153442,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.651276187544322,0.001466970692373093,0.029885076827813734,0.04798881261788245,0.8403401330414066,0.11562373448210367,0.2210748988583958,0.0024112919714592766,0.270378844217212,2.794731625702527,0
3.656223716253732,0.001553152795203576,0.029634675496276,0.04861669506080525,0.8417316816148067,0.11568132145112267,0.22157434014438135,0.0024112919714592766,0.270378844217212,2.794731625702527,0
