r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Li-F,Average_SCL,SCL_BC
1.3823295310105053,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3874683025012506,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.392607073991996,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.3977458454827414,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4028846169734868,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.408023388464232,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4131621599549775,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.418300931445723,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4234397029364685,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4285784744272136,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.433717245917959,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4388560174087044,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4439947888994498,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4491335603901951,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.4542723318809403,0.0,0.0,0.0,1.0,3.434929909098124,3.28553
1.459411103371686,0.0,0.0006302158046808,0.0,1.0,3.434929909098124,3.28553
1.4645498748624313,0.0,0.0031840170218334334,0.0,1.0,3.434929909098124,3.28553
1.4696886463531766,0.0,0.005737818238986067,0.0,1.0,3.434929909098124,3.28553
1.474827417843922,0.0,0.008291619456138733,0.0,1.0,3.434929909098124,3.28553
1.4799661893346674,0.0,0.010845420673291365,0.0,1.0,3.434929909098124,3.28553
1.4851049608254128,0.0,0.013399221890444,0.0,1.0,3.434929909098124,3.28553
1.490243732316158,0.0,0.015953023107596664,0.0,1.0,3.434929909098124,3.28553
1.4953825038069035,0.0,0.0185068243247493,0.0,1.0,3.434929909098124,3.28553
1.500521275297649,0.0,0.021060625541901933,0.0,1.0,3.434929909098124,3.28553
1.5056600467883945,0.0,0.023614426759054567,0.0,1.0,3.434929909098124,3.28553
1.5107988182791396,0.0,0.026274066894498866,0.0,1.0,3.434929909098124,3.28553
1.515937589769885,0.0,0.029766723518677998,0.0,1.0,3.434929909098124,3.28553
1.5210763612606304,0.0,0.0332593801428571,0.0,1.0,3.434929909098124,3.28553
1.5262151327513758,0.0,0.0367520367670362,0.0,1.0,3.434929909098124,3.28553
1.5313539042421211,0.0,0.04024469339121533,0.0,1.0,3.434929909098124,3.28553
1.5364926757328663,0.0,0.04373735001539429,0.0,1.0,3.434929909098124,3.28553
1.5416314472236117,0.0,0.0472300066395734,0.0,1.0,3.434929909098124,3.28553
1.546770218714357,0.0,0.05072266326375253,0.0,1.0,3.434929909098124,3.28553
1.5519089902051024,0.0,0.05421531988793163,0.0,1.0,3.434929909098124,3.28553
1.5570477616958478,0.0,0.05770797651211074,0.0,1.0,3.434929909098124,3.28553
1.5621865331865932,0.0,0.06333416833713716,0.0,1.0,3.434929909098124,3.28553
1.5673253046773383,0.0,0.08192482797910136,0.0,1.0,3.434929909098124,3.28553
1.572464076168084,0.0,0.10051548762106552,0.0,1.0,3.434929909098124,3.28553
1.5776028476588293,0.0,0.11910614726302973,0.0,1.0,3.434929909098124,3.28553
1.582741619149575,0.0,0.13085907377162137,0.0,1.0,3.434929909098124,3.28553
1.58788039064032,0.0,0.14108559450014352,0.0,1.0,3.434929909098124,3.28553
1.5930191621310654,0.0,0.15131211522866567,0.0,1.0,3.434929909098124,3.28553
1.5981579336218108,0.0,0.1615386359571878,0.0,1.0,3.434929909098124,3.28553
1.6032967051125562,0.0,0.17176515668570994,0.0,1.0,3.434929909098124,3.28553
1.6084354766033016,0.0,0.18199167741423208,0.0,1.0,3.434929909098124,3.28553
1.613574248094047,0.0,0.19759098972225525,0.0,1.0,3.434929909098124,3.28553
1.6187130195847923,0.0,0.23944207930866873,0.0,1.0,3.434929909098124,3.28553
1.6238517910755377,0.0,0.2812931688950822,0.0,1.0,3.434929909098124,3.28553
1.628990562566283,0.0,0.32314425848149575,0.0,1.0,3.434929909098124,3.28553
1.6341293340570284,0.0,0.3493564403322312,0.0,1.0,3.434929909098124,3.28553
1.6392681055477738,0.0,0.3727237127254384,0.0,1.0,3.434929909098124,3.28553
1.6444068770385192,0.0,0.39609098511864566,0.0,1.0,3.434929909098124,3.28553
1.6495456485292646,0.0,0.4194582575118529,0.0,1.0,3.434929909098124,3.28553
1.65468442002001,0.0,0.44282552990506013,0.0,1.0,3.434929909098124,3.28553
1.6598231915107553,0.0,0.4661928022982673,0.0,1.0,3.434929909098124,3.28553
1.664961963001501,0.0,0.4895600746914746,0.0,1.0,3.434929909098124,3.28553
1.670100734492246,0.0,0.5129273470846818,0.0,1.0,3.434929909098124,3.28553
1.6752395059829914,0.0,0.536294619477889,0.0,1.0,3.434929909098124,3.28553
1.6803782774737368,0.0,0.5596618918710963,0.0,1.0,3.434929909098124,3.28553
1.6855170489644822,0.0,0.5879015541976503,0.0,1.0,3.434929909098124,3.28553
1.6906558204552276,0.0,0.6168393933165042,0.0,1.0,3.434929909098124,3.28553
1.695794591945973,0.0,0.6457772324353583,0.0,1.0,3.434929909098124,3.28553
1.7009333634367183,0.0,0.6747150715542124,0.0,1.0,3.434929909098124,3.28553
1.7060721349274637,0.0,0.7036529106730663,0.0,1.0,3.434929909098124,3.28553
