r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
11.81482099452226,0.06857214850962871,0.15516510620522816,0.01762489061616257,0.000709360994266304,0.12870980527458972,0.04106445850966518,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.82227514026013,0.06858238657729498,0.1550298650213591,0.01761324589091783,0.0007099919735591488,0.12875102724094328,0.04106727039646405,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.829729285998,0.06859262464496124,0.15489462383749006,0.01760381110116096,0.0007106229528519937,0.12880726675096754,0.04107008228326292,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.837183431735868,0.06860286271262753,0.15475938265362102,0.017607281105691163,0.0007112539321448384,0.1288779230996847,0.04107289417006178,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.844637577473735,0.0686131007802938,0.15462414146975195,0.017610751110221357,0.0007118849114376833,0.12894857944840196,0.041075706056860645,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.852091723211606,0.06861482478334946,0.15452321517354559,0.01761422111475155,0.0007125158907305281,0.12901923579711919,0.0410785179436595,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.859545868949477,0.0686134296932716,0.15462606194039188,0.01761769111928175,0.000713146870023373,0.12908989214583638,0.041081329830458375,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.867000014687344,0.06861203460319373,0.15472890870723818,0.017621161123811947,0.0007137778493162179,0.1291605484945536,0.04108414171725724,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.874454160425213,0.06861063951311586,0.15483175547408448,0.01762463112834214,0.0007144088286090627,0.12923120484327083,0.041086953604056106,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.881908306163082,0.068609244423038,0.15493460224093078,0.017628101132872342,0.0007150398079019076,0.12930186119198805,0.04108976549085497,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.88936245190095,0.06860784933296012,0.15503744900777708,0.01763157113740254,0.0007156707871947524,0.12937251754070525,0.04109257737765384,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
11.89681659763882,0.06860645424288224,0.15514029577462338,0.017635041141932737,0.0007163130580110801,0.12944317388942247,0.0410953892644527,7.402323236556264e-09,2.6416242149529084e-59,1.9498567556401155e-13,3.4511631483054255,0
