r (A),g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_Ca-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
9.364264547943971,0.004591976824125658,0.057177681628798424,0.10938690581030337,0.021658722861108804,0.19698130045636114,0.06154570208239939,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.371708319444725,0.0045831062001833265,0.057132647550748546,0.10929900662793841,0.021657860979602157,0.1969068922807018,0.06148983511374796,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.379152090945473,0.004576273464956903,0.05708761347269868,0.10921110744557343,0.021656999098095514,0.1968324841050424,0.061433968145096565,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.386595862446224,0.004569440729730481,0.0570425793946488,0.10912320826320845,0.02165613721658887,0.19675807592938305,0.061378101176445175,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.394039633946974,0.004562607994504056,0.05700844068186494,0.10903530908084343,0.02165527533508222,0.1966836677537237,0.06132223420779376,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.401483405447724,0.004555775259277633,0.05697619147542195,0.10894740989847845,0.021656704017841172,0.19658497447124756,0.061266367239142354,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.408927176948474,0.004548942524051211,0.056943942268978955,0.10885951071611344,0.021659756539420125,0.19645939348515376,0.06121050027049095,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.416370948449226,0.004542109788824786,0.05691169306253595,0.10883174955546977,0.02166280906099908,0.19633381249905987,0.061154633301839546,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.423814719949975,0.0045352770535983635,0.05687944385609295,0.10882957371859776,0.02166586158257803,0.19620823151296604,0.06109876633318814,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.431258491450723,0.00452844431837194,0.056847194649649956,0.10882739788172573,0.021668914104156986,0.19608265052687224,0.06104289936453674,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.438702262951477,0.004521611583145517,0.056814945443206956,0.10882522204485369,0.02167196662573594,0.1959570695407783,0.060990439832350064,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.446146034452228,0.004514778847919092,0.056782696236763956,0.10882304620798167,0.02167501914731489,0.19583148855468452,0.0609507632476031,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.453589805952976,0.00450794611269267,0.05675044703032095,0.10882087037110963,0.021678071668893843,0.19570590756859066,0.06091108666285615,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.461033577453726,0.0045033292521068635,0.05671819782387795,0.10881869453423759,0.021681124190472797,0.19558032658249683,0.060871410078109194,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.468477348954478,0.004499705157487806,0.05668594861743494,0.10881651869736558,0.021684176712051747,0.19545474559640297,0.060831733493362225,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.475921120455228,0.004496081062868749,0.056653699410991944,0.10881434286049355,0.0216872292336307,0.19532916461030914,0.06079205690861527,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.483364891955976,0.004492456968249693,0.056621450204548944,0.10881216702362151,0.021690281755209654,0.1952035836242153,0.060752380323868316,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.490808663456727,0.004488832873630635,0.056589200998105944,0.1088099911867495,0.021693334276788608,0.1950780026381214,0.06071270373912135,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.49825243495748,0.004485208779011579,0.05655839707559986,0.10880781534987746,0.021696386798367558,0.19495242165202759,0.06067302715437439,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.505696206458229,0.004481584684392522,0.056528626636525664,0.1088056395130054,0.021700308101715096,0.19482788676239066,0.06063335056962744,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.51313997795898,0.004477960589773465,0.05649885619745148,0.1088034636761334,0.021706103049708443,0.1947074784837042,0.06059367398488048,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.52058374945973,0.0044743364951544086,0.05646908575837727,0.10878688858010714,0.021711897997701787,0.1945870702050178,0.06055399740013353,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.52802752096048,0.004470712400535351,0.05643931531930309,0.1087508504964224,0.021717692945695134,0.19446666192633144,0.060514320815386574,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
9.535471292461231,0.004467088305916294,0.05640954488022889,0.10871481241273764,0.021723487893688477,0.19434625364764502,0.060474644230639606,2.9865227670814053e-13,7.901997778883096e-13,2.337666413550256e-08,2.5640104274946216,3.52027
