r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,SCL_BC
0.4802113954327163,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4831940749074537,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4861767543821911,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4891594338569284,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4921421133316658,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4951247928064032,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.4981074722811405,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5010901517558779,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5040728312306153,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5070555107053527,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.51003819018009,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5130208696548274,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5160035491295648,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5189862286043021,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5219689080790395,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5249515875537769,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5279342670285142,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5309169465032516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.533899625977989,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5368823054527263,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5398649849274637,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5428476644022011,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5458303438769384,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5488130233516758,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5517957028264132,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5547783823011505,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5577610617758879,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5607437412506253,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5637264207253626,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5667091002001,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5696917796748374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5726744591495747,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
0.5756571386243121,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0994622820301663,1.90187
