r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_Th-F,S_i_Be-F,S_i_Li-F,S_i_Th-F,Average_SCL,SCL_BC
0.3193247183426713,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3223090615047523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3252934046668334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3282777478289144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3312620909909954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3342464341530765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3372307773151575,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3402151204772386,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3431994636393196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3461838068014007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3491681499634817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3521524931255628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3551368362876438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3581211794497248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3611055226118059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3640898657738869,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.367074208935968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.370058552098049,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.37304289526013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3760272384222111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3790115815842921,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3819959247463731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3849802679084542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3879646110705352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3909489542326163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3939332973946973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3969176405567783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.3999019837188594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.4028863268809404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.4058706700430215,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
0.4088550132051025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.057810576498803,0
