r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.6451802907253626,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6491628851125563,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6531454794997499,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6571280738869434,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.661110668274137,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6650932626613306,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6690758570485242,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6730584514357179,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6770410458229114,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.681023640210105,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6850062345972986,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6889888289844922,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6929714233716858,0.0,0.0,1.0,1.0,2.8791899179460123,0
0.6969540177588794,0.0,0.0,1.0,1.0,2.8791899179460123,0
