r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.5796461402265017,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5860158780311886,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5923856158358753,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.5987553536405622,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6051250914452491,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6114948292499359,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6178645670546228,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6242343048593095,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6306040426639964,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6369737804686832,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6433435182733701,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6497132560780569,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6560829938827437,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6624527316874306,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6688224694921174,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6751922072968042,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.681561945101491,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6879316829061779,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.6943014207108648,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7006711585155515,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7070408963202384,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7134106341249252,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7197803719296121,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7261501097342988,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7325198475389857,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7388895853436726,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7452593231483594,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7516290609530462,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.757998798757733,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7643685365624199,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7707382743671067,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7771080121717935,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7834777499764803,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7898474877811672,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.7962172255858541,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8025869633905408,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8089567011952277,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8153264389999145,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8216961768046014,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8280659146092882,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.834435652413975,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8408053902186619,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8471751280233487,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8535448658280356,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8599146036327223,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8662843414374092,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.872654079242096,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8790238170467829,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8853935548514696,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8917632926561565,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.8981330304608434,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9045027682655302,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.910872506070217,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9172422438749038,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9236119816795907,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9299817194842775,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9363514572889643,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
0.9427211950936512,0.0,0.0,0.0,1.0,3.883435398016441,5.22361
