r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Li,g(r)_weighted_K-Na,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_weighted_Li-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Li-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
4.102524387193596,0.7552727066424255,0.0955803823847679,0.06568191476797147,0.1450478220621934,0.021233737865664706,0.09974388431816436,0.1369679017361167,0.027692641140991542,0.014192179941703824,0.0034480338442299347,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.10776388194097,0.7509369555544038,0.0949735146215724,0.06623531178117295,0.14483379383443049,0.021322453660927523,0.10024270642023296,0.13662329107506882,0.027578848484548297,0.014192250366293908,0.0034367057271505316,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.113003376688344,0.7466012044663827,0.09436664685837699,0.06678870879437432,0.14461976560666764,0.021411169456190322,0.10074152852230148,0.136278680414021,0.02746505582810507,0.01419232079088399,0.0034253776100711306,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.118242871435718,0.7422654533783608,0.09375977909518148,0.0673421058075758,0.14440573737890472,0.021499885251453132,0.10124035062437008,0.13593406975297315,0.027351263171661824,0.014192391215474073,0.0034140494929917275,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.123482366183091,0.7378479135174225,0.09318555922424543,0.06787860494364588,0.1441675551461116,0.021574617666647665,0.10176516215135288,0.13560068637049053,0.027237300153612094,0.014200448773387529,0.00341200662436522,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.128721860930465,0.7333201993682593,0.0926553179846469,0.06839234164522742,0.14389683604771877,0.02163051364633849,0.10232498296248499,0.13528242679266328,0.027123107648457115,0.014219265469718943,0.0034224715315958497,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.133961355677839,0.7287924852190972,0.09212507674504844,0.0689060783468089,0.14362611694932606,0.0216864096260293,0.10288480377361703,0.13496416721483612,0.027008915143302156,0.014238082166050351,0.003432936438826477,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.139200850425212,0.7242647710699349,0.09159483550545,0.06941981504839034,0.14335539785093332,0.02174230560572011,0.10344462458474905,0.13464590763700893,0.026894722638147198,0.014256898862381764,0.003443401346057105,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.144440345172586,0.7197370569207721,0.09106459426585146,0.06993355174997189,0.1430846787525405,0.02179820158541093,0.10400444539588119,0.1343276480591817,0.026780530132992218,0.014275715558713174,0.003453866253287734,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
4.149679839919959,0.7152093427716096,0.09053435302625303,0.07044728845155335,0.1428139596541478,0.021854097565101743,0.10456426620701322,0.13400938848135455,0.026666337627837256,0.014294532255044587,0.003464331160518362,0.002902991546248379,0.11512054440946393,2.3396923346200543e-13,2.8104708327839134,0
