r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
12.661006171329461,0.3464210875348091,0.3325508401275069,0.3329636822058309,5.470879796684016e-06,4.362346357215834,4.63533
12.66845820556803,0.3463922746786921,0.33250976404674015,0.33291090315592126,5.470879796684016e-06,4.362346357215834,4.63533
12.6759102398066,0.34636346182257516,0.3324686879659734,0.3328581241060116,5.470879796684016e-06,4.362346357215834,4.63533
12.68336227404517,0.34633464896645816,0.33242761188520664,0.332805345056102,5.470879796684016e-06,4.362346357215834,4.63533
12.690814308283738,0.34630583611034116,0.3323865358044399,0.33275256600619235,5.470879796684016e-06,4.362346357215834,4.63533
12.698266342522308,0.34627702325422427,0.3323454597236731,0.3326997869562827,5.470879796684016e-06,4.362346357215834,4.63533
12.705718376760878,0.34624821039810727,0.3323043836429063,0.33264700790637314,5.470879796684016e-06,4.362346357215834,4.63533
12.713170410999448,0.34621939754199027,0.3322633075621395,0.3325942288564635,5.470879796684016e-06,4.362346357215834,4.63533
12.720622445238016,0.34619058468587327,0.33222223148137275,0.33254144980655387,5.470879796684016e-06,4.362346357215834,4.63533
12.728074479476586,0.3461617718297563,0.332181155400606,0.33248867075664423,5.470879796684016e-06,4.362346357215834,4.63533
12.735526513715156,0.3461329589736393,0.33214007931983924,0.3324358917067346,5.470879796684016e-06,4.362346357215834,4.63533
12.742978547953724,0.3461041461175223,0.3320990032390725,0.33238311265682496,5.470879796684016e-06,4.362346357215834,4.63533
12.750430582192294,0.3460753332614054,0.33205792715830573,0.33233033360691533,5.470879796684016e-06,4.362346357215834,4.63533
12.757882616430864,0.3460465204052884,0.3320168510775389,0.3322775545570057,5.470879796684016e-06,4.362346357215834,4.63533
12.765334650669432,0.3460177075491714,0.33197577499677217,0.3322297080670315,5.470879796684016e-06,4.362346357215834,4.63533
12.772786684908002,0.3459888946930544,0.3319346989160054,0.33218367180811414,5.470879796684016e-06,4.362346357215834,4.63533
12.780238719146572,0.3459600818369375,0.33189362283523866,0.33213763554919684,5.470879796684016e-06,4.362346357215834,4.63533
12.78769075338514,0.3459312689808205,0.33185254675447184,0.3320915992902794,5.470879796684016e-06,4.362346357215834,4.63533
12.79514278762371,0.3459024561247035,0.3318114706737051,0.3320455630313621,5.470879796684016e-06,4.362346357215834,4.63533
12.80259482186228,0.3458736432685865,0.33177039459293833,0.33199952677244476,5.470879796684016e-06,4.362346357215834,4.63533
12.810046856100849,0.34584483041246955,0.3317293185121716,0.3319534905135274,5.470879796684016e-06,4.362346357215834,4.63533
12.817498890339419,0.3457850580527731,0.3316882424314048,0.33190745425461005,5.470879796684016e-06,4.362346357215834,4.63533
12.824950924577989,0.34572394002525525,0.33164716635063807,0.3318614179956927,5.470879796684016e-06,4.362346357215834,4.63533
12.832402958816557,0.3456628219977374,0.33161639593749664,0.3318153817367754,5.470879796684016e-06,4.362346357215834,4.63533
12.839854993055127,0.3456017039702195,0.3316070952621404,0.33176934547785797,5.470879796684016e-06,4.362346357215834,4.63533
12.847307027293697,0.34554058594270165,0.3315977945867842,0.33172330921894067,5.470879796684016e-06,4.362346357215834,4.63533
12.854759061532267,0.3454794679151837,0.3315884939114279,0.33167727296002325,5.470879796684016e-06,4.362346357215834,4.63533
12.862211095770835,0.34541834988766584,0.33157919323607166,0.33163123670110595,5.470879796684016e-06,4.362346357215834,4.63533
12.869663130009405,0.345357231860148,0.33156989256071545,0.3315852004421886,5.470879796684016e-06,4.362346357215834,4.63533
12.877115164247975,0.3452961138326301,0.3315605918853592,0.33153916418327123,5.470879796684016e-06,4.362346357215834,4.63533
12.884567198486543,0.34523499580511224,0.33155129121000293,0.33149312792435387,5.470879796684016e-06,4.362346357215834,4.63533
12.892019232725113,0.34517387777759434,0.3315419905346467,0.3314470916654365,5.470879796684016e-06,4.362346357215834,4.63533
12.899471266963683,0.3451127597500765,0.3315326898592905,0.33140105540651915,5.470879796684016e-06,4.362346357215834,4.63533
12.906923301202252,0.34505164172255864,0.33152338918393426,0.3313550191476018,5.470879796684016e-06,4.362346357215834,4.63533
12.914375335440822,0.3449905236950407,0.331514088508578,0.3313089828886845,5.470879796684016e-06,4.362346357215834,4.63533
12.921827369679391,0.34492940566752284,0.3315047878332218,0.3312629466297671,5.470879796684016e-06,4.362346357215834,4.63533
12.92927940391796,0.34486828764000493,0.33149548715786553,0.33121691037084977,5.470879796684016e-06,4.362346357215834,4.63533
12.93673143815653,0.3448071696124871,0.33148618648250927,0.3311708741119324,5.470879796684016e-06,4.362346357215834,4.63533
12.9441834723951,0.3447460515849692,0.33147688580715307,0.33112483785301505,5.470879796684016e-06,4.362346357215834,4.63533
12.951635506633668,0.34468493355745133,0.3314675851317968,0.3310896813735066,5.470879796684016e-06,4.362346357215834,4.63533
12.959087540872238,0.3446238155299335,0.33145828445644054,0.3310557807311842,5.470879796684016e-06,4.362346357215834,4.63533
12.966539575110808,0.3445626975024155,0.33144898378108434,0.3310218800888618,5.470879796684016e-06,4.362346357215834,4.63533
12.973991609349376,0.3445015794748977,0.3314396831057281,0.33098797944653935,5.470879796684016e-06,4.362346357215834,4.63533
12.981443643587946,0.3444404614473798,0.3314303824303718,0.3309540788042169,5.470879796684016e-06,4.362346357215834,4.63533
12.988895677826516,0.3443793434198619,0.3314210817550156,0.3309201781618945,5.470879796684016e-06,4.362346357215834,4.63533
12.996347712065084,0.34431222806727146,0.33141178107965935,0.3308862775195721,5.470879796684016e-06,4.362346357215834,4.63533
13.003799746303654,0.3442024820176402,0.3314024804043031,0.33085237687724967,5.470879796684016e-06,4.362346357215834,4.63533
