r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.868476998174087,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.873439723877939,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8784024495817909,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8833651752856428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8883279009894948,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8932906266933467,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.8982533523971986,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9032160781010504,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9081788038049023,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9131415295087544,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9181042552126064,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9230669809164582,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.92802970662031,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.932992432324162,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.937955158028014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.942917883731866,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9478806094357178,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9528433351395698,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9578060608434216,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9627687865472736,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9677315122511256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9726942379549774,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9776569636588294,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9826196893626812,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9875824150665332,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9925451407703852,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
0.9975078664742372,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.002470592178089,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.007433317881941,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0123960435857928,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0173587692896449,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.022321494993497,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0272842206973487,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0322469464012003,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0372096721050523,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0421723978089044,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
1.0471351235127564,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6538631024994963,4.32778
