r (A),g(r)_weighted_Be-Be,g(r)_weighted_Be-F,g(r)_weighted_Be-Li,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Li-Li,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.5244128649834917,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5293601561625813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5343074473416708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5392547385207603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5442020296998499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5491493208789394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5540966120580291,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5590439032371186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5639911944162082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5689384855952977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5738857767743872,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5788330679534768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5837803591325663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5887276503116559,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5936749414907454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.5986222326698349,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6035695238489245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.608516815028014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6134641062071036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6184113973861931,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6233586885652826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6283059797443722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6332532709234617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6382005621025513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6431478532816408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6480951444607304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6530424356398199,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6579897268189094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.662937017997999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6678843091770885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
0.6728316003561781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0184194299703178,0
