r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Cl-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.7159672427213607,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7214326415207604,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.72689804032016,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7323634391195598,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7378288379189595,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7432942367183591,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7487596355177589,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7542250343171586,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7596904331165583,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7651558319159579,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7706212307153577,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7760866295147574,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.781552028314157,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7870174271135568,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7924828259129565,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.7979482247123562,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8034136235117558,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8088790223111556,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8143444211105553,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8198098199099549,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8252752187093547,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8307406175087544,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.836206016308154,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8416714151075538,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8471368139069535,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8526022127063532,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8580676115057528,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8635330103051526,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8689984091045523,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.874463807903952,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8799292067033517,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8853946055027514,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8908600043021511,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.8963254031015507,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9017908019009505,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9072562007003502,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9127215994997498,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9181869982991496,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9236523970985493,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.929117795897949,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9345831946973486,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9400485934967484,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9455139922961481,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9509793910955477,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9564447898949475,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9619101886943472,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9673755874937469,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9728409862931465,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9783063850925463,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.983771783891946,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9892371826913456,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
0.9947025814907454,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.000167980290145,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0056333790895449,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0110987778889444,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0165641766883442,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.022029575487744,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0274949742871435,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0329603730865433,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0384257718859429,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0438911706853427,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0493565694847424,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.054821968284142,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0602873670835418,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0657527658829415,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.071218164682341,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0766835634817409,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0821489622811407,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.0876143610805402,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
1.09307975987994,0.0,0.0,0.0,1.0,4.537796004285695,4.76796
