r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_Li-Cl,g(r)_weighted_Li-Li,S_i_Li-Cl,Average_SCL,lambda_BC
1.61786363945973,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6248371896298148,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6318107397999,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.638784289969985,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.64575784014007,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.652731390310155,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6597049404802402,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6666784906503251,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6736520408204103,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6806255909904952,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6875991411605804,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.6945726913306651,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7015462415007503,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7085197916708357,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7154933418409204,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7224668920110056,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7294404421810905,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7364139923511757,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7433875425212606,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7503610926913458,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7573346428614307,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.764308193031516,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.7712817432016008,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.778255293371686,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.785228843541771,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.792202393711856,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.799175943881941,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.806149494052026,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8131230442221111,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.820096594392196,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8270701445622808,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8340436947323664,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8410172449024516,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8479907950725365,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8549643452426212,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8619378954127064,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8689114455827915,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8758849957528765,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8828585459229612,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8898320960930464,0.0,0.0,0.0,1.0,4.268759634248405,4.10511
1.8968056462631315,0.0,0.0012023855777258,0.0,1.0,4.268759634248405,4.10511
1.9037791964332167,0.0,0.0035295572562153996,0.0,1.0,4.268759634248405,4.10511
1.9107527466033016,0.0,0.0058567289347049,0.0,1.0,4.268759634248405,4.10511
1.9177262967733868,0.0,0.008183900613194467,0.0,1.0,4.268759634248405,4.10511
1.924699846943472,0.0,0.010511072291683967,0.0,1.0,4.268759634248405,4.10511
1.931673397113557,0.0,0.012838243970173566,0.0,1.0,4.268759634248405,4.10511
1.9386469472836416,0.0,0.015165415648663066,0.0,1.0,4.268759634248405,4.10511
1.945620497453727,0.0,0.017492587327152632,0.0,1.0,4.268759634248405,4.10511
1.952594047623812,0.0,0.019589797434008398,0.0,1.0,4.268759634248405,4.10511
1.9595675977938969,0.0,0.021681224476104367,0.0,1.0,4.268759634248405,4.10511
1.966541147963982,0.0,0.023772651518200398,0.0,1.0,4.268759634248405,4.10511
1.973514698134067,0.0,0.02586407856029633,0.0,1.0,4.268759634248405,4.10511
1.980488248304152,0.0,0.027955505602392367,0.0,1.0,4.268759634248405,4.10511
1.987461798474237,0.0,0.03004693264448833,0.0,1.0,4.268759634248405,4.10511
1.9944353486443225,0.0,0.03213835968658433,0.0,1.0,4.268759634248405,4.10511
2.0014088988144074,0.0,0.034229786728680364,0.0,1.0,4.268759634248405,4.10511
