r (A),g(r)_weighted_F-F,g(r)_weighted_Th-F,g(r)_weighted_Th-Th,S_i_Th-F,Average_SCL,lambda_BC
0.2904602158934467,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2944391229604802,0.0,0.0,0.0,1.0,4.218217014653536,0
0.2984180300275137,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3023969370945473,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3063758441615808,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3103547512286143,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3143336582956478,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3183125653626814,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3222914724297149,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3262703794967484,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3302492865637819,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3342281936308154,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3382071006978489,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3421860077648824,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3461649148319159,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3501438218989495,0.0,0.0,0.0,1.0,4.218217014653536,0
0.354122728965983,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3581016360330165,0.0,0.0,0.0,1.0,4.218217014653536,0
0.36208054310005,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3660594501670836,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3700383572341171,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3740172643011506,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3779961713681841,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3819750784352176,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3859539855022511,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3899328925692846,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3939117996363181,0.0,0.0,0.0,1.0,4.218217014653536,0
0.3978907067033517,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4018696137703852,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4058485208374187,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4098274279044522,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4138063349714858,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4177852420385193,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4217641491055528,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4257430561725863,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4297219632396198,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4337008703066533,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4376797773736868,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4416586844407204,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4456375915077539,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4496164985747874,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4535954056418209,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4575743127088544,0.0,0.0,0.0,1.0,4.218217014653536,0
0.461553219775888,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4655321268429215,0.0,0.0,0.0,1.0,4.218217014653536,0
0.469511033909955,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4734899409769885,0.0,0.0,0.0,1.0,4.218217014653536,0
0.477468848044022,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4814477551110556,0.0,0.0,0.0,1.0,4.218217014653536,0
0.485426662178089,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4894055692451226,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4933844763121561,0.0,0.0,0.0,1.0,4.218217014653536,0
0.4973633833791896,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5013422904462231,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5053211975132567,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5093001045802902,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5132790116473237,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5172579187143572,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5212368257813907,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5252157328484243,0.0,0.0,0.0,1.0,4.218217014653536,0
0.5291946399154578,0.0,0.0,0.0,1.0,4.218217014653536,0
