r (A),g(r)_weighted_Cl-Cl,g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-Cl,g(r)_weighted_Na-Na,S_i_K-Cl,S_i_Mg-Cl,S_i_Na-Cl,Average_SCL,SCL_BC
0.9256860667833916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9330915553176587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.940497043851926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.947902532386193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9553080209204602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9627135094547272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9701189979889944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9775244865232616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9849299750575288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.9923354635917958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
0.999740952126063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.00714644066033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0145519291945972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0219574177288644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0293629062631315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.036768394797399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0441738833316658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.051579371865933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0589848604002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0663903489344673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0737958374687344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0812013260030011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0886068145372685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.0960123030715356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1034177916058028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.11082328014007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.118228768674337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1256342572086042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1330397457428714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1404452342771385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1478507228114057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1552562113456728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.16266169987994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.170067188414207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
1.1774726769484742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.634928986565485,0
