r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,SCL_BC
0.2759947913566783,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2788110647378689,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2816273381190595,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2844436115002501,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2872598848814407,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2900761582626313,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2928924316438219,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2957087050250125,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.2985249784062031,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3013412517873937,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3041575251685843,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3069737985497749,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3097900719309654,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3126063453121561,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3154226186933467,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3182388920745372,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3210551654557279,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3238714388369185,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.326687712218109,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3295039855992996,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3323202589804903,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3351365323616808,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3379528057428714,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.340769079124062,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3435853525052526,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3464016258864432,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3492178992676338,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
0.3520341726488244,0.0,0.0,0.0,1.0,1.0,2.3080421759231067,2.63857
