r (A),g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,g(r)_weighted_U-F,S_i_Li-F,S_i_Na-F,S_i_U-F,Average_SCL,SCL_BC
0.3683405743571786,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3711739633906953,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3740073524242121,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3768407414577288,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3796741304912456,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3825075195247623,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3853409085582791,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3881742975917959,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3910076866253126,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3938410756588294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3966744646923462,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.3995078537258629,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4023412427593796,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4051746317928964,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4080080208264132,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4108414098599299,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4136747988934467,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4165081879269635,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4193415769604802,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.422174965993997,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4250083550275138,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4278417440610305,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4306751330945472,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.433508522128064,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4363419111615808,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4391753001950975,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4420086892286143,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.444842078262131,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4476754672956478,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4505088563291646,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4533422453626813,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.456175634396198,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4590090234297148,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4618424124632316,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4646758014967483,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
0.4675091905302651,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.207830837251906,0
