Li-F,,Na-F,,K-F,,Li-Li,,F-F,,Li-Na,,Li-K,,Na-Na,,Na-K,,K-K,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
6.75,0.994447793,6.75,0.937148149,6.75,0.893623402,6.75,1.002629665,6.75,1.001619133,6.75,1.069215183,6.75,1.198329605,6.75,1.107452187,6.75,1.241750595,6.75,1.168827585
6.85,1.014280916,6.85,0.933446791,6.85,0.902438325,6.85,0.973096709,6.85,0.993673497,6.85,1.014493606,6.85,1.178995389,6.85,1.153867045,6.85,1.232487713,6.85,1.201014956
6.95,1.033213658,6.95,0.949883704,6.95,0.906265364,6.95,0.954542521,6.95,0.980436655,6.95,0.956129241,6.95,1.14893609,6.95,1.131330636,6.95,1.242001574,6.95,1.19506778
7.05,1.045859376,7.05,0.995259185,7.05,0.926556124,7.05,0.909470107,7.05,0.974688704,7.05,0.950251885,7.05,1.112808604,7.05,1.098593348,7.05,1.209580833,7.05,1.196740993
7.15,1.050653168,7.15,1.00554581,7.15,0.946279682,7.15,0.891902998,7.15,0.981534376,7.15,0.917625584,7.15,1.062489132,7.15,1.061551911,7.15,1.194415787,7.15,1.179645849
7.25,1.059423251,7.25,1.023342308,7.25,0.963236536,7.25,0.880302293,7.25,0.973295513,7.25,0.892816579,7.25,1.035748755,7.25,1.114740152,7.25,1.123185256,7.25,1.169154906
7.35,1.070341516,7.35,1.034914359,7.35,0.990275978,7.35,0.869475508,7.35,0.959967421,7.35,0.86748751,7.35,1.001654031,7.35,1.024241449,7.35,1.076278943,7.35,1.147138124
7.45,1.062565173,7.45,1.030626127,7.45,1.013726431,7.45,0.878737148,7.45,0.973483151,7.45,0.851745371,7.45,0.961205531,7.45,1.081141018,7.45,1.055488022,7.45,1.109540482
7.55,1.051321008,7.55,1.040583339,7.55,1.030402849,7.55,0.884051491,7.55,0.976089587,7.55,0.831664302,7.55,0.935035174,7.55,1.091095286,7.55,1.030779288,7.55,1.076644275
7.65,1.04763489,7.65,1.048027582,7.65,1.051177368,7.65,0.887746024,7.65,0.985246222,7.65,0.811808481,7.65,0.906435324,7.65,1.039159814,7.65,0.968790941,7.65,1.042503194
7.75,1.03901579,7.75,1.050285444,7.75,1.058995081,7.75,0.919377225,7.75,0.998510985,7.75,0.809726787,7.75,0.891945764,7.75,0.960820514,7.75,0.928760637,7.75,1.007893202
7.85,1.029190345,7.85,1.02114623,7.85,1.07730584,7.85,0.950193137,7.85,1.008581437,7.85,0.810351837,7.85,0.88301677,7.85,1.046580082,7.85,0.917517525,7.85,0.989209857
7.95,1.010722561,7.95,1.039185291,7.95,1.085036945,7.95,0.974475483,7.95,1.002738526,7.95,0.818714657,7.95,0.881763145,7.95,0.942158797,7.95,0.921505485,7.95,0.953560313
8.05,0.993465547,8.05,1.025241549,8.05,1.090041978,8.05,1.011232917,8.05,1.003204447,8.05,0.829408218,8.05,0.912792819,8.05,0.981884461,8.05,0.92829612,8.05,0.94452728
8.15,0.98237095,8.15,1.015307156,8.15,1.083586888,8.15,1.044276358,8.15,1.015626393,8.15,0.820295011,8.15,0.929722599,8.15,1.090697943,8.15,0.890172754,8.15,0.950602476
