Cl-Cl,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF
8.58375,0.878511104,8.58375,1.105744677,8.58375,0.910561108
8.63625,0.877428372,8.63625,1.106882277,8.63625,0.896561449
8.68875,0.888167926,8.68875,1.107401558,8.68875,0.898081928
8.74125,0.895388622,8.74125,1.105025283,8.74125,0.900393882
8.79375,0.903058806,8.79375,1.101700434,8.79375,0.913099604
8.84625,0.91417975,8.84625,1.092220095,8.84625,0.911741009
8.89875,0.914423377,8.89875,1.09270743,8.89875,0.918825606
8.95125,0.925349721,8.95125,1.081546518,8.95125,0.934125521
9.00375,0.940138291,9.00375,1.077438886,9.00375,0.931979469
9.05625,0.944482796,9.05625,1.067627685,9.05625,0.937038216
9.10875,0.950636784,9.10875,1.057424797,9.10875,0.933369902
9.16125,0.965331537,9.16125,1.051233306,9.16125,0.953517123
9.21375,0.974273008,9.21375,1.039661693,9.21375,0.969546724
9.26625,0.989828696,9.26625,1.032454896,9.26625,0.96411983
9.31875,0.998508141,9.31875,1.025414081,9.31875,0.97373828
9.37125,1.010641841,9.37125,1.017150104,9.37125,0.98569065
9.42375,1.021969998,9.42375,1.004167054,9.42375,0.986442513
9.47625,1.026613096,9.47625,0.998210648,9.47625,0.999025969
9.52875,1.038082583,9.52875,0.98918373,9.52875,1.004182231
9.58125,1.048840411,9.58125,0.971984169,9.58125,1.006788424
9.63375,1.055945425,9.63375,0.971255184,9.63375,1.017596868
9.68625,1.060946784,9.68625,0.968706011,9.68625,1.003339372
9.73875,1.068584951,9.73875,0.960177872,9.73875,1.018323205
9.79125,1.072352047,9.79125,0.954962219,9.79125,1.032445085
9.84375,1.075999218,9.84375,0.949998162,9.84375,1.03353954
9.89625,1.076805565,9.89625,0.945113009,9.89625,1.045444214
9.94875,1.078406041,9.94875,0.93375823,9.94875,1.053733231
10.00125,1.08264191,10.00125,0.940747357,10.00125,1.051836154
10.05375,1.079873675,10.05375,0.933896042,10.05375,1.037478942
10.10625,1.079663249,10.10625,0.931766898,10.10625,1.048362968
10.15875,1.075965819,10.15875,0.931445409,10.15875,1.048155444
10.21125,1.074435596,10.21125,0.938041084,10.21125,1.050408439
10.26375,1.07190081,10.26375,0.934652573,10.26375,1.048210006
10.31625,1.071683641,10.31625,0.930217636,10.31625,1.046796443
10.36875,1.065992047,10.36875,0.936703556,10.36875,1.064439395
10.42125,1.062160657,10.42125,0.941145365,10.42125,1.049722468
10.47375,1.060140712,10.47375,0.944859954,10.47375,1.05148545
