Cl-Cl,,K-Cl,,K-K,,K-Li,,Li-Cl,,Li-Li,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
5.48625,0.636718287281614,5.48625,0.8623162062761068,5.48625,1.023701897039584,5.48625,0.9836354537689869,5.48625,1.2969746256527435,5.48625,0.6429626427567809
5.53875,0.6543729001337304,5.53875,0.9039736009121784,5.53875,0.9450108957686253,5.53875,0.9587067058522286,5.53875,1.3032135427872413,5.53875,0.6583544056466966
5.59125,0.6681983791909407,5.59125,0.9458520130639169,5.59125,0.9602645290154148,5.59125,0.9451632366997238,5.59125,1.3132794751408619,5.59125,0.652143880083986
5.64375,0.6859228116779035,5.64375,0.9917066655415017,5.64375,0.9357980933838678,5.64375,0.8971886183324765,5.64375,1.313109496285666,5.64375,0.6658719333346697
5.69625,0.7128410128391987,5.69625,1.0316135424072885,5.69625,0.911701809067538,5.69625,0.8887572422172907,5.69625,1.3192472887222282,5.69625,0.7042012664353666
5.748749999999999,0.7330203056513109,5.748749999999999,1.0528403262488366,5.748749999999999,0.8815254002798105,5.748749999999999,0.8661924489289358,5.748749999999999,1.2835172713305993,5.748749999999999,0.7128769709961278
5.80125,0.774801945583552,5.80125,1.1145597814818802,5.80125,0.8881358427385847,5.80125,0.8216490470579256,5.80125,1.2931025817055164,5.80125,0.742549742101601
5.85375,0.7914672053886836,5.85375,1.1329759384310083,5.85375,0.9081757008186405,5.85375,0.8036503751701315,5.85375,1.274302548693613,5.85375,0.7524042798306398
5.90625,0.8220309136764785,5.90625,1.167087637395011,5.90625,0.9022744211217061,5.90625,0.7790629959694285,5.90625,1.2465568143801342,5.90625,0.7988487838760601
5.95875,0.8451620045546914,5.95875,1.1965446720171975,5.95875,0.9274198220387935,5.95875,0.7670467187545781,5.95875,1.2137236728471539,5.95875,0.8230290316481915
6.0112499999999995,0.8765145029588062,6.0112499999999995,1.2235322047519006,6.0112499999999995,0.9256937824142221,6.0112499999999995,0.7425304010159218,6.0112499999999995,1.2071977777866587,6.0112499999999995,0.8470735024399643
6.06375,0.9011310417615186,6.06375,1.2328279385811698,6.06375,0.9296786057124368,6.06375,0.7322973152553512,6.06375,1.1826100175731242,6.06375,0.8813422949802963
6.11625,0.9385637520302911,6.11625,1.2688266415129439,6.11625,0.9264346257189966,6.11625,0.7065455941360415,6.11625,1.1528055377890642,6.11625,0.9110189825618853
6.168749999999999,0.9655482724790685,6.168749999999999,1.2599534216840131,6.168749999999999,0.9592222468556542,6.168749999999999,0.7140852701063134,6.168749999999999,1.1157730940805095,6.168749999999999,0.9212027747350507
6.2212499999999995,0.9827913584084278,6.2212499999999995,1.278778714345649,6.2212499999999995,0.9809964366957273,6.2212499999999995,0.7093212349688808,6.2212499999999995,1.0869321031912647,6.2212499999999995,0.9541777194246337
6.27375,1.007918727968438,6.27375,1.3032499523303431,6.27375,0.9330930078943255,6.27375,0.7272067292778421,6.27375,1.0658586795944835,6.27375,0.9745342180859213
6.32625,1.0277971303273965,6.32625,1.2841528529063448,6.32625,0.9327431831416605,6.32625,0.7295917144267865,6.32625,1.0248193265519667,6.32625,0.9947398151252965
6.37875,1.04233896398672,6.37875,1.2962415669965417,6.37875,0.9386738365066178,6.37875,0.7256362773538598,6.37875,1.0050131371683122,6.37875,1.0114881412734003
6.4312499999999995,1.0673467108775072,6.4312499999999995,1.2896039934519818,6.4312499999999995,0.9362800322213618,6.4312499999999995,0.7258070528569472,6.4312499999999995,0.9762451783275293,6.4312499999999995,1.0272882616952703
6.48375,1.0790345281552993,6.48375,1.2845945212678165,6.48375,0.9231486051621783,6.48375,0.740830129947366,6.48375,0.9579256915408276,6.48375,1.0492002044003392
6.53625,1.0970277692136308,6.53625,1.2773384344410412,6.53625,0.9161306326688352,6.53625,0.7775399990767364,6.53625,0.9406996410047748,6.53625,1.0675675355727583
6.588749999999999,1.113613943217732,6.588749999999999,1.2688074289123887,6.588749999999999,0.9337401434778949,6.588749999999999,0.7697749904618516,6.588749999999999,0.9126551989199512,6.588749999999999,1.0830670563683458
6.641249999999999,1.1273051322042236,6.641249999999999,1.2616592983170278,6.641249999999999,0.9107224541823422,6.641249999999999,0.8034368896424343,6.641249999999999,0.9041762408659575,6.641249999999999,1.103196691115429
6.69375,1.1500123708444103,6.69375,1.2351193332680246,6.69375,0.883029477912165,6.69375,0.8235946175782664,6.69375,0.8896550312016127,6.69375,1.1428257237749364
6.74625,1.1628132518239247,6.74625,1.2249777723832473,6.74625,0.8446496167483614,6.74625,0.8363744987639861,6.74625,0.8794285067648759,6.74625,1.1265854499480088
6.79875,1.1479761662242016,6.79875,1.2175670026409477,6.79875,0.8580123401151851,6.79875,0.8563434666726186,6.79875,0.8632273635894466,6.79875,1.1431197339724468
6.85125,1.1684862275401229,6.85125,1.1886937452799435,6.85125,0.8398734269332,6.85125,0.8998902107777591,6.85125,0.8528048149212084,6.85125,1.1339454207206294
6.90375,1.1709284003202507,6.90375,1.169330139268372,6.90375,0.8410457987566649,6.90375,0.9297861094494996,6.90375,0.8501000822707621,6.90375,1.1459243375060466
6.95625,1.1942298053533524,6.95625,1.1433609965534566,6.95625,0.8239988583952077,6.95625,0.9443435942648528,6.95625,0.8379731266856257,6.95625,1.1634359801624787
7.00875,1.1841875820903227,7.00875,1.1323962208288603,7.00875,0.8102558624271018,7.00875,0.9744078339700888,7.00875,0.8450039628964435,7.00875,1.1634121105650546
7.061249999999999,1.1847762322240531,7.061249999999999,1.1047278425506155,7.061249999999999,0.820076724247046,7.061249999999999,0.9915229647452233,7.061249999999999,0.8393262835905214,7.061249999999999,1.1651335280742758
