Mg-Cl,,K-Cl,,Mg-Mg,,K-K,,Na-Cl,,Cl-Cl,,Na-Na,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.566129576,2.722032143,4.341288342,0.642475735,4.39727571,0.79104537,7.58404597,0.849398047,3.366425722,1.030211913,4.524951578,0.875563885,6.128600823,0.738875578
2.59515231,2.435097549,4.458338853,0.60496476,4.453219912,0.751263995,7.650073076,0.885940958,3.421033298,0.904925544,4.6144393,0.830569975,6.323893395,0.7264298
2.614581251,2.223672059,4.605563717,0.600796874,4.497975274,0.702302303,7.756153711,0.926169393,3.488774341,0.815435281,4.782072928,0.781116217,6.491287029,0.739146138
2.643785,1.891432003,4.767975673,0.609132646,4.553919475,0.665581033,7.875264861,0.9810025,3.569925347,0.725945017,4.99430965,0.740696954,6.649381016,0.766965297
2.673531794,1.42327556,4.922144634,0.638307849,4.609863677,0.63191987,7.968052622,1.017570398,3.650938105,0.654352806,5.206465933,0.718295664,6.760976771,0.812377818
2.702192498,1.22695189,5.029953001,0.663315165,4.654619039,0.586018283,8.034342087,1.043169175,3.772111625,0.591709622,5.396200012,0.718404083,6.872572527,0.857790339
2.749920113,0.909813655,5.137261792,0.709161911,4.710563241,0.552357119,8.127129848,1.079737073,3.906487736,0.555913517,5.630456746,0.745564971,6.984168282,0.913276032
2.788174611,0.637980881,5.259957505,0.759176543,4.777696283,0.518695956,8.233297936,1.116317464,4.080955484,0.538015464,5.775406745,0.777179331,7.123662977,0.958709365
2.854003724,0.441657212,5.351779459,0.805023289,4.867207006,0.491155004,8.379607007,1.152935335,4.268556701,0.555913517,5.920296415,0.822307171,7.207359793,1.001582781
2.919651821,0.290639004,5.443401584,0.859205807,5.001473091,0.475854475,8.512623203,1.185892668,4.442609709,0.591709622,6.042924758,0.853908775,7.300356256,1.04949972
3.041052531,0.139620797,5.542966956,0.905052553,5.169305696,0.469734263,8.672749866,1.20428281,4.616593593,0.636454754,6.1766536,0.899030237,7.421251658,1.097437472
3.18984684,0.109417156,5.611258911,0.963402957,5.27000526,0.488094898,8.873542231,1.200822165,4.763619307,0.699097938,6.288040676,0.948643436,7.551446706,1.130272403
3.301412403,0.094315335,5.718467787,1.013417589,5.404271344,0.500335321,9.021250551,1.179071324,4.923985859,0.770690149,6.377045767,1.011757359,7.709540693,1.160609855
3.385041321,0.094315335,5.794503159,1.071767994,5.516159748,0.524816167,9.168958872,1.157320484,5.057532488,0.84228236,6.533015827,1.074909548,7.858335034,1.18338549
3.580235802,0.079213514,5.87828195,1.130118398,5.616859312,0.558477331,9.276613663,1.131884119,5.164120946,0.931772623,6.700247263,1.11554565,7.960631143,1.188498387
3.793833472,0.109417156,5.977847323,1.175965144,5.661614673,0.598258706,9.411116562,1.102824697,5.270847652,1.003364834,6.800553949,1.147134499,8.109425484,1.178536215
3.960729279,0.20002808,6.046538937,1.217644004,5.762314237,0.644160293,9.558999789,1.073777767,5.390846072,1.092855097,6.967845714,1.174257121,8.230320886,1.158480059
4.081285252,0.260435363,6.161591147,1.26349075,5.829447279,0.683941668,9.693502688,1.044718345,5.510913615,1.173396334,7.157620012,1.165356555,8.379115226,1.128371543
4.081285252,0.260435363,6.292729684,1.28433018,5.918958002,0.723723043,9.801157479,1.01928198,5.644598491,1.227090493,7.314032484,1.129409897,8.527909567,1.095744735
4.229657192,0.335944467,6.432211129,1.280162294,5.997279885,0.76962463,9.882051616,0.993820629,5.818444128,1.289733677,7.436942361,1.0979486,8.658104615,1.063104052
4.405845101,0.426555391,6.57259181,1.238483434,6.086790608,0.818586322,10.00326164,0.961100668,5.979225422,1.30763173,7.582214113,1.057491072,8.881296126,1.025496157
