Cl-Cl,,Na-Cl,,Na-Na,
R (A),RDF,R (A),RDF,R (A),RDF
8.373750000,1.148945385,8.373750000,0.867297172,8.373750000,1.124880471
8.426250000,1.141376180,8.426250000,0.884852842,8.426250000,1.120868066
8.478750000,1.103210864,8.478750000,0.895142965,8.478750000,1.102747894
8.531250000,1.088394295,8.531250000,0.899914747,8.531250000,1.098363202
8.583750000,1.078983503,8.583750000,0.910432949,8.583750000,1.076566840
8.636250000,1.067980080,8.636250000,0.924619659,8.636250000,1.082750540
8.688750000,1.054341500,8.688750000,0.936585413,8.688750000,1.056435591
8.741250000,1.037816354,8.741250000,0.951628668,8.741250000,1.057700647
8.793750000,1.023266524,8.793750000,0.961194022,8.793750000,1.036953117
8.846250000,1.005989576,8.846250000,0.970529149,8.846250000,1.024064938
8.898750000,0.996760397,8.898750000,0.986136136,8.898750000,1.011050567
8.951250000,0.976711769,8.951250000,1.008317701,8.951250000,1.005518608
9.003750000,0.972765274,9.003750000,1.011744721,9.003750000,1.004336832
9.056250000,0.957075970,9.056250000,1.027739555,9.056250000,0.982215725
9.108750000,0.949785789,9.108750000,1.042802689,9.108750000,0.982218184
9.161250000,0.931555228,9.161250000,1.057876377,9.161250000,0.965817869
9.213750000,0.919656113,9.213750000,1.061333799,9.213750000,0.952333652
9.266250000,0.915544108,9.266250000,1.077183850,9.266250000,0.947968700
9.318750000,0.890079836,9.318750000,1.061103241,9.318750000,0.924727162
9.371250000,0.879263250,9.371250000,1.054513507,9.371250000,0.900960119
9.423750000,0.851766962,9.423750000,1.042453356,9.423750000,0.886939476
9.476250000,0.835795072,9.476250000,1.030998912,9.476250000,0.854159918
9.528750000,0.810646926,9.528750000,1.015620071,9.528750000,0.837589069
9.581250000,0.800047227,9.581250000,1.000515466,9.581250000,0.820894064
9.633750000,0.792140096,9.633750000,0.981761796,9.633750000,0.810501078
9.686250000,0.767294118,9.686250000,0.965331737,9.686250000,0.791114645
9.738750000,0.758955993,9.738750000,0.950936310,9.738750000,0.769834567
9.791250000,0.742784583,9.791250000,0.932158515,9.791250000,0.758025284
9.843750000,0.728494053,9.843750000,0.912467054,9.843750000,0.750579518
9.896250000,0.721634795,9.896250000,0.899789580,9.896250000,0.737522349
9.948750000,0.707263000,9.948750000,0.871311995,9.948750000,0.724446065
10.001250000,0.710155552,10.001250000,0.856427559,10.001250000,0.719272694
10.053750000,0.691628623,10.053750000,0.830811825,10.053750000,0.704322228
10.106250000,0.686253804,10.106250000,0.815519521,10.106250000,0.697561294
10.158750000,0.675518656,10.158750000,0.789139253,10.158750000,0.691450395
10.211250000,0.669404273,10.211250000,0.775408582,10.211250000,0.675469019
10.263750000,0.665843656,10.263750000,0.749724910,10.263750000,0.666238582
10.316250000,0.657129302,10.316250000,0.729332784,10.316250000,0.656222378
10.368750000,0.647163772,10.368750000,0.707320578,10.368750000,0.645290851
10.421250000,0.646773594,10.421250000,0.690260587,10.421250000,0.645256605
10.473750000,0.640366592,10.473750000,0.666359755,10.473750000,0.640260402
