Na-Na,,Na-Cl,,Ca-Ca,,Ca-Cl,,Mg-Mg,,Mg-Cl,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
7.439971238,1.099565557,3.45080962,0.818733703,4.632045462,2.455813684,2.747794854,5.049865991,4.19281377,1.275623821,2.094279733,7.824154046
7.593540756,1.148510682,3.549317338,0.750909848,4.67185762,2.551702747,2.770039206,4.773285568,4.212768467,1.126151692,2.10314071,7.371926497
7.747121695,1.185150996,3.660990079,0.710972927,4.704450316,2.653169518,2.785459543,4.534983986,4.254501679,0.955480497,2.113021581,6.981319973
7.900720909,1.202103614,3.767230093,0.678792967,4.794040668,2.757181139,2.806499489,4.319645634,4.317047854,0.801201516,2.125681425,6.631677957
8.05434525,1.191985648,3.873470106,0.66083925,4.84705228,2.820708907,2.815475066,4.095303824,4.356957248,0.626333493,2.135886416,6.258123283
8.207965023,1.186789607,3.97971012,0.653555215,4.895962835,2.777957466,2.834906688,3.878300615,4.423741115,0.508165689,2.148646035,5.716284051
8.361609922,1.154522983,4.085950133,0.666594384,4.955506118,2.762877556,2.847439152,3.665566551,4.489340901,0.391110098,2.160153599,5.276552638
8.515268528,1.107490586,4.192190147,0.683698193,5.007752889,2.758139927,2.859288839,3.440416188,4.601930266,0.338048439,2.174529892,4.899428901
8.668920281,1.067841075,4.29843016,0.712995925,5.040875867,2.652172533,2.881149731,3.195717862,4.717181624,0.346522103,2.179636351,4.532733463
8.822569749,1.030652526,4.404670174,0.744325977,5.091480419,2.483374908,2.898813729,2.974124794,4.837586519,0.383683232,2.193406404,4.096953133
8.976219218,0.993463978,4.510910188,0.78276915,5.131446513,2.286582876,2.92186441,2.687899399,4.936287172,0.440991678,2.212659395,3.502435415
9.129864118,0.961197353,4.617150201,0.828833525,5.180268404,2.145108697,2.937685383,2.416568278,5.042497658,0.507507713,2.235115783,3.01991906
9.283502165,0.936313615,4.723390215,0.873373659,5.205853782,1.991116278,2.971292217,2.178081739,5.146409216,0.576197032,2.262105915,2.550444097
