Cl-Cl,,Li-Cl,,Li-Li,,Li-Mg,,Mg-Cl,,Mg-Mg,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
6.588749999999999,1.2132060480213325,6.588749999999999,0.8801035754805345,6.588749999999999,1.0541447017810561,6.588749999999999,1.0356228967764292,6.588749999999999,0.8276602848196811,6.588749999999999,1.2306506998291713
6.641249999999999,1.2373796837372535,6.641249999999999,0.8718520026362605,6.641249999999999,1.0624700041067614,6.641249999999999,1.0504476693457738,6.641249999999999,0.816455655648205,6.641249999999999,1.242380885216864
6.69375,1.2667432469095936,6.69375,0.8607034726707465,6.69375,1.0734319479799326,6.69375,1.0521333858190831,6.69375,0.7960811277360031,6.69375,1.2608134020540607
6.74625,1.2686420658846875,6.74625,0.8527492272738573,6.74625,1.087330529240927,6.74625,1.0798519054275788,6.74625,0.7869433950604641,6.74625,1.2853871421728353
6.79875,1.2729677720068122,6.79875,0.8457142246676342,6.79875,1.077727477941399,6.79875,1.079769394537257,6.79875,0.7705741209126298,6.79875,1.285643970267317
6.85125,1.2779220054059182,6.85125,0.8397559523866668,6.85125,1.0991397375060614,6.85125,1.094228054056973,6.85125,0.7777487078173908,6.85125,1.291683510253172
6.90375,1.2889988705303699,6.90375,0.8404052013431927,6.90375,1.1176446260326507,6.90375,1.1092579845878896,6.90375,0.7735167674428667,6.90375,1.294582629156774
6.95625,1.2809943249842453,6.95625,0.8397727030386624,6.95625,1.1100461069978218,6.95625,1.1211788513972627,6.95625,0.7716319521256967,6.95625,1.2806485458309738
7.00875,1.274478364184959,7.00875,0.8422405979589678,7.00875,1.1149715162037137,7.00875,1.1255024663914086,7.00875,0.7735065917721403,7.00875,1.2983247781193872
7.061249999999999,1.2642318692949368,7.061249999999999,0.8312658242190419,7.061249999999999,1.1258446472047718,7.061249999999999,1.1122259868207176,7.061249999999999,0.7794720742288157,7.061249999999999,1.295870786156105
7.11375,1.2436719198279764,7.11375,0.8425070566620566,7.11375,1.1214426343739188,7.11375,1.1263523984249095,7.11375,0.7815908792071832,7.11375,1.2880568753588018
7.16625,1.2347136692524427,7.16625,0.8387016413382715,7.16625,1.1426993846227238,7.16625,1.1124361012318909,7.16625,0.7944398561004058,7.16625,1.295103395340521
7.21875,1.2196019195733945,7.21875,0.8487043418221467,7.21875,1.1256741222141993,7.21875,1.1277144519494036,7.21875,0.8092750670223714,7.21875,1.2791171281840206
7.27125,1.20880039711173,7.27125,0.8505862694755851,7.27125,1.1389733443024206,7.27125,1.1178283042293542,7.27125,0.8179958214761031,7.27125,1.2391910918231455
7.3237499999999995,1.1786466536720315,7.3237499999999995,0.8597132877923571,7.3237499999999995,1.1491584104042856,7.3237499999999995,1.1020611862517191,7.3237499999999995,0.8262685444476328,7.3237499999999995,1.2865875843225403
7.37625,1.1672744645937623,7.37625,0.8667031763126213,7.37625,1.1254705518134156,7.37625,1.1237234281740565,7.37625,0.8445174862681615,7.37625,1.253781031016615
7.42875,1.1376496251643384,7.42875,0.8866333576563104,7.42875,1.112076357226512,7.42875,1.1203705607364818,7.42875,0.8712503500827014,7.42875,1.241176085800141
7.481249999999999,1.1157789394772422,7.481249999999999,0.8898385056629218,7.481249999999999,1.113310145732053,7.481249999999999,1.0983261653382244,7.481249999999999,0.8783582317343804,7.481249999999999,1.2389654913876311
7.5337499999999995,1.0927126972968522,7.5337499999999995,0.9091070861358073,7.5337499999999995,1.109879197171149,7.5337499999999995,1.0915175060398536,7.5337499999999995,0.8960906568519684,7.5337499999999995,1.2154682998478525
7.58625,1.0732361322001565,7.58625,0.9152753553408022,7.58625,1.111906165235263,7.58625,1.0714523268879375,7.58625,0.9143011414996459,7.58625,1.1667199694674821
7.63875,1.0533819957917334,7.63875,0.9251639386492279,7.63875,1.1022357925292572,7.63875,1.0778995133330382,7.63875,0.9293489736520268,7.63875,1.1631647293856353
7.69125,1.0267655127477717,7.69125,0.9407186180767236,7.69125,1.0751227930077196,7.69125,1.0756635187924424,7.69125,0.9388403764739738,7.69125,1.1386647819192455
7.7437499999999995,1.0098793157905452,7.7437499999999995,0.9530293676511318,7.7437499999999995,1.0807045932985013,7.7437499999999995,1.0688811028324743,7.7437499999999995,0.9678856855118619,7.7437499999999995,1.1269983502087038
7.79625,0.9819531199384988,7.79625,0.9665115841295319,7.79625,1.0625334284748895,7.79625,1.0502645542412639,7.79625,0.9874131097775922,7.79625,1.1122381595357296
7.84875,0.9718206573768102,7.84875,0.9852969395453781,7.84875,1.0552848816702807,7.84875,1.0263151872546463,7.84875,1.0029836251490496,7.84875,1.0644500643201422
7.901249999999999,0.9596899472990127,7.901249999999999,0.9921063953468856,7.901249999999999,1.0475914912803328,7.901249999999999,1.0237484798233296,7.901249999999999,1.0305298003854075,7.901249999999999,1.0603583476398764
7.953749999999999,0.9383450883033132,7.953749999999999,1.012100261686356,7.953749999999999,1.0240850244490454,7.953749999999999,1.0196786232579844,7.953749999999999,1.0277610518942197,7.953749999999999,1.0405872194550834
8.00625,0.9186830032836799,8.00625,1.0226316618301414,8.00625,1.0382004835394896,8.00625,1.0053938240800788,8.00625,1.0498574139942607,8.00625,0.9761665277914986
8.05875,0.9066289550893493,8.05875,1.026482133361438,8.05875,1.0272530577605026,8.05875,0.9846783980467262,8.05875,1.0704564889408579,8.05875,1.0297945930624766
8.111249999999998,0.8896038729350155,8.111249999999998,1.041488602444946,8.111249999999998,1.0101705668718783,8.111249999999998,0.9706035315397341,8.111249999999998,1.0691187281171202,8.111249999999998,0.9861560185318159
8.16375,0.8839912277095603,8.16375,1.0480329008650124,8.16375,1.0097186975541022,8.16375,0.9872001378498276,8.16375,1.0933566399641923,8.16375,0.9756891764271547
8.216249999999999,0.874377405031826,8.216249999999999,1.0592970054178632,8.216249999999999,0.9833687028351054,8.216249999999999,0.9560983699923722,8.216249999999999,1.0952175018265253,8.216249999999999,0.9402900064394704
8.26875,0.8651828795426526,8.26875,1.068029840699729,8.26875,0.9855129618924522,8.26875,0.9490565318853117,8.26875,1.1017990419143455,8.26875,0.8957555024895881
8.32125,0.8549039843196248,8.32125,1.0768143903285923,8.32125,0.9689201578727735,8.32125,0.9307166493590308,8.32125,1.1180088150956782,8.32125,0.9171934096368918
8.373750000000001,0.8581210962943614,8.373750000000001,1.087651935018753,8.373750000000001,0.9726946174752523,8.373750000000001,0.9360448334094681,8.373750000000001,1.126469463840276,8.373750000000001,0.9027058345420373
8.42625,0.8503803421655673,8.42625,1.0864134150950313,8.42625,0.961566560999721,8.42625,0.941879042810023,8.42625,1.1322513570657673,8.42625,0.918202443704855
8.47875,0.852180936518017,8.47875,1.0889339783320031,8.47875,0.9574429125920291,8.47875,0.9237335322005321,8.47875,1.1280062458216076,8.47875,0.8758309326693471
8.53125,0.8488621615085371,8.53125,1.1074567606063652,8.53125,0.947159219693509,8.53125,0.922650088720657,8.53125,1.1303663208508807,8.53125,0.8696829295760122
8.583749999999998,0.85443376353238,8.583749999999998,1.1041617943162148,8.583749999999998,0.9515154345096125,8.583749999999998,0.8988270489272576,8.583749999999998,1.1385644735139535,8.583749999999998,0.8752776055462284
8.63625,0.8514116303076992,8.63625,1.102240935147719,8.63625,0.9358262913388296,8.63625,0.9206951999369373,8.63625,1.1442546102546691,8.63625,0.8553949263047124
