LiCl,,KCl,,CeCl,
X,Y,X,Y,X,Y
0.475271223,1.439722557,,,,
0.477999991,1.449239837,,,,
0.480728759,1.476298769,,,,
0.483457526,1.497945915,,,,
0.486186294,1.510635621,,,,
0.488915061,1.5425465,,,,
0.491643829,1.563260579,,,,
0.494372596,1.569232206,,,,
0.497101364,1.601143085,,,,
0.499830132,1.598343885,,,,
0.502558899,1.635853163,,,,
0.505287667,1.639772043,,,,
0.508016434,1.677467935,,,,
0.510745202,1.686425375,,,,
0.513473969,1.693330068,,,,
0.516202737,1.711431561,,,,
0.518931504,1.720762227,,,,
0.521660272,1.72542756,,,,
0.52438904,1.758084892,,,,
0.527117807,1.750620359,,,,
0.529846575,1.764616359,,,,
0.532575342,1.795780784,,,,
0.53525863,1.808694426,,,,
0.538942467,1.789435931,,,,
0.541671234,1.793914651,,,,
0.544400002,1.799513051,,,,
0.547128769,1.80735081,,,,
0.549857537,1.80735081,,,,
0.552586305,1.80735081,,,,
0.561227402,1.787196571,,,,
0.564410964,1.804364997,,,,
0.567139732,1.787756411,,,,
0.569868499,1.765922652,,,,
0.572597267,1.746888093,,,,
0.575326034,1.756405372,,,,
0.578054802,1.719455934,,,,
0.581693159,1.734571613,,,,
0.583512337,1.720015774,,,,
0.600339737,1.590506125,,,,
0.603068505,1.596104525,,,,
0.605797272,1.569792046,,,,
0.60852604,1.565499939,,,,
0.611254807,1.55206378,,,,
0.613983575,1.525751301,,,,
0.616712342,1.508769488,,,,
0.61944111,1.500558502,,,,
0.622169878,1.468087783,,,,
0.624898645,1.472566503,,,,
0.627627413,1.446254024,,,,
0.63035618,1.442335144,,,,
0.633084948,1.435617064,,,,
0.635813715,1.421434451,,,,
0.638542483,1.411917172,,,,
0.641271251,1.388590506,,,,
0.644000018,1.391203092,,,,
0.646728786,1.386351146,,,,
0.649457553,1.358732374,,,,
0.652186321,1.343803307,,,,
0.654915088,1.347162347,,,,
0.657643856,1.360971734,,,,
0.660372624,1.343430081,,,,
0.663101391,1.333352961,,,,
0.665830159,1.312452269,,,,
0.668558926,1.303494829,,,,
0.671287694,1.303494829,,,,
0.674016461,1.324395522,,,,
0.676745229,1.323649068,,,,
0.679473997,1.314691629,,,,
0.681065778,1.303494829,,,,
0.688569888,1.296776749,,,,
0.691298656,1.299762562,,,,
0.694027424,1.294910616,,,,
0.696756191,1.299016109,,,,
0.698802767,1.297523203,,,,
0.703512881,1.300738007,,,,
0.708580851,1.295657069,,,,
