U-Cl,,U-U,,Cl-Cl,,,
X,Y,X,Y,X,Y,,
2.755283683,5.828226517,5.665388849,0.998149475,4.106438794,1.170039398,,
2.765667575,5.881944444,5.808850511,0.85921084,4.178891812,1.088268067,,
2.779291553,5.951388889,6.067081502,0.679942332,4.316849231,0.948225088,,
2.805719729,6.015755996,6.30481797,0.645057307,4.575080221,0.771394099,,
2.833787466,5.875,6.495075459,0.662381109,4.686648501,0.736111111,,
2.833787466,5.9375,6.696187455,0.720813877,4.787637704,0.721784464,,
2.861035422,5.666666667,6.901071961,0.791935291,4.904632153,0.736111111,,
2.870053012,5.509411812,7.119133687,0.877159851,4.995901095,0.766962244,,
2.87411288,5.30344138,7.356870155,0.960542025,5.282824419,0.944236419,,
2.893475325,5.071633238,7.539954561,1.022081488,5.45002069,1.037019551,,
2.910924947,4.837143824,7.743191915,1.055431192,5.674055105,0.96514844,,
2.925802453,4.59777937,7.960775435,1.088559304,5.911713498,0.887655205,,
2.944930674,4.350777353,8.247698758,1.143957483,6.142930756,0.913264088,,
2.953432106,4.121650483,8.485435226,1.140222063,6.422397976,0.996086703,,
2.968309612,3.882123528,8.654173466,1.124291129,6.654825387,1.080884055,,
2.987437833,3.64227157,8.869365958,1.097600287,6.87597105,1.098495702,,
3.002315339,3.405561304,9.14672517,1.004354071,7.15739013,1.067885155,,
3.02144356,3.15964263,9.371481774,0.954883496,7.300851791,1.051819683,,
3.054386609,2.875671562,9.538853712,0.935383337,7.597339225,1.001850525,,
3.059700004,2.687847112,9.816212924,0.927239805,7.740800887,0.989662926,,
3.078828225,2.448970162,10.04301898,0.945220471,8.018160099,0.981907181,,
3.097956447,2.206301514,10.22746969,0.944036533,8.171185872,0.989175422,,
3.117084668,1.970674591,10.54308534,0.973774276,8.477237416,1.007611936,,
3.145928812,1.754934734,10.75896099,0.984917224,8.630263189,1.011600605,,
3.159591827,1.692255651,10.93521388,0.991446295,8.917186512,1.000520969,,
3.188284159,1.499204075,11.23170132,1.013660965,9.079776395,0.995350472,,
3.222441698,1.288323782,11.44757696,1.020435371,9.357135607,0.977475326,,
