Ca-Ca,,Ca-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
7.901249999999999,1.1288391377855387,7.901249999999999,0.8748841628121903,7.901249999999999,1.042924609924827
7.953749999999999,1.1532573302868407,7.953749999999999,0.87815339314179,7.953749999999999,1.0363660175086409
8.00625,1.1799744869721145,8.00625,0.8827650766119715,8.00625,1.0305413105903645
8.05875,1.167373095860638,8.05875,0.8869126864877424,8.05875,1.030674331614865
8.111249999999998,1.1730049821646262,8.111249999999998,0.891511695226986,8.111249999999998,1.019013994899087
8.16375,1.179191852085661,8.16375,0.8862593841053026,8.16375,1.0092509033549093
8.216249999999999,1.1675756604291554,8.216249999999999,0.9025100830417978,8.216249999999999,0.9942108758377466
8.26875,1.1918479647545728,8.26875,0.8985486077651603,8.26875,1.0066920403673538
8.32125,1.1652371911028023,8.32125,0.9034700104073982,8.32125,0.9891047027903113
8.373750000000001,1.1700893480501573,8.373750000000001,0.9185348483943669,8.373750000000001,0.9808512059607083
8.42625,1.1802094096016267,8.42625,0.934203892933626,8.42625,0.9885905155702973
8.47875,1.1829798050342462,8.47875,0.9391806456365533,8.47875,0.9745802786659893
8.53125,1.1472068305078078,8.53125,0.9400531428746882,8.53125,0.9825724860071333
8.583749999999998,1.1566153702763864,8.583749999999998,0.9501663507451786,8.583749999999998,0.9768902502234338
8.63625,1.1339426267700372,8.63625,0.9695950985237423,8.63625,0.9631615020580782
8.688749999999999,1.1114975321345435,8.688749999999999,0.9885153162997993,8.688749999999999,0.9617276701401206
8.74125,1.1198237743199368,8.74125,0.9928407419062603,8.74125,0.9623893398263373
8.79375,1.1023767914183,8.79375,0.9918388353467509,8.79375,0.9641615877109307
8.846250000000001,1.0810836926711478,8.846250000000001,1.0134848407048678,8.846250000000001,0.9528358645384063
8.89875,1.1040927523681319,8.89875,1.0316765049100514,8.89875,0.957267606875577
8.951249999999998,1.0655800150330237,8.951249999999998,1.0328654306389005,8.951249999999998,0.9521397047566698
9.00375,1.0397753449340728,9.00375,1.038521663090985,9.00375,0.9512723698194524
9.056249999999999,1.0274315585938654,9.056249999999999,1.047235119525913,9.056249999999999,0.9366270083819881
9.10875,1.0223354030981109,9.10875,1.0510604416776301,9.10875,0.9332062487940468
9.161249999999999,1.0013815967771058,9.161249999999999,1.064487829136282,9.161249999999999,0.9465260678319747
9.213750000000001,1.0104148038822032,9.213750000000001,1.0604911920702083,9.213750000000001,0.9419380122553462
9.26625,0.9918930014487066,9.26625,1.0683247486774536,9.26625,0.94805176133557
9.31875,0.9834971592788765,9.31875,1.061087268300603,9.31875,0.9496868103572375
9.37125,0.9747233017876401,9.37125,1.0878316644587878,9.37125,0.9499481929077798
9.423749999999998,0.951548313855647,9.423749999999998,1.0808983642147902,9.423749999999998,0.9533653114680548
9.47625,0.9583621772479366,9.47625,1.0790506105869133,9.47625,0.9517732397966956
9.528749999999999,0.9633131717897617,9.528749999999999,1.0736083934014493,9.528749999999999,0.9591960965788869
