Mode_Index,Frequency_cm-1,Type,Participation_Ratio
481,(136.95671039950764+0j),Real,0.3850610727562755
482,(137.30558539563845+0j),Real,0.34829454166136914
483,(137.7857175183268+0j),Real,0.16818599622255803
484,(137.90570170588384+0j),Real,0.32489763636836333
485,(138.20181940019557+0j),Real,0.30289012689453154
486,(138.8240328833578+0j),Real,0.3924772695353393
487,(139.0239909992961+0j),Real,0.3291229470274167
488,(139.4208439589188+0j),Real,0.42134669790102236
489,(139.50459489080552+0j),Real,0.3042929538202613
490,(139.77873524450456+0j),Real,0.33188560909373543
491,(140.23667525006465+0j),Real,0.322616782196717
492,(140.25443129484222+0j),Real,0.3501592773010021
493,(140.78970903360292+0j),Real,0.1798030406767756
494,(141.04325118419356+0j),Real,0.4156795743162355
495,(141.43739752090096+0j),Real,0.33462524102004665
496,(141.4946102461204+0j),Real,0.4456984242498377
497,(142.03359555035038+0j),Real,0.386021749617976
498,(142.28468748900997+0j),Real,0.33741342110229267
499,(142.78973917958785+0j),Real,0.32800220169821487
500,(143.1761822356901+0j),Real,0.33654655375905945
501,(143.341218486072+0j),Real,0.4456962472650693
502,(143.84646875442292+0j),Real,0.3155140998322736
503,(143.86414976736916+0j),Real,0.15385563745360475
504,(144.40684003907518+0j),Real,0.3792731665342237
505,(144.69226343614667+0j),Real,0.3462493799193438
506,(145.1143825188411+0j),Real,0.3857588954762209
507,(145.4919687573199+0j),Real,0.3993901338982692
508,(145.88182605665997+0j),Real,0.14304338651113083
509,(146.33263279068413+0j),Real,0.21507067074770309
510,(147.13711261873937+0j),Real,0.3181433401048752
511,(147.43954167863424+0j),Real,0.3379669792244941
512,(147.7755363454939+0j),Real,0.31740310548259304
513,(148.04337851588173+0j),Real,0.26962917324351915
514,(148.3259467762106+0j),Real,0.3380312879921128
515,(148.52737478948202+0j),Real,0.33691364640297844
516,(148.88223093907408+0j),Real,0.31258563849915905
517,(149.26788372852678+0j),Real,0.3285036407705319
518,(149.33612307678348+0j),Real,0.32180201240481154
519,(149.62885100432172+0j),Real,0.2884445190596851
520,(150.3715809438555+0j),Real,0.28831935975720474
521,(150.60574846624374+0j),Real,0.3564868744256899
522,(150.90006157144376+0j),Real,0.33415779026118186
523,(151.14701804201266+0j),Real,0.32799404333587223
524,(151.5209037914881+0j),Real,0.3363671697372538
525,(151.8803443049+0j),Real,0.3810849459208366
526,(152.3029043744873+0j),Real,0.3695711929125813
527,(152.5487986750336+0j),Real,0.2951994590945118
528,(152.71885205816454+0j),Real,0.3247893904066757
529,(153.02425138329932+0j),Real,0.3236580575994732
530,(153.1435042633601+0j),Real,0.3407687008733358
531,(153.96178047226414+0j),Real,0.27945036507219445
532,(154.7405973967046+0j),Real,0.17033358141345806
533,(154.89053306458683+0j),Real,0.32550191694454506
534,(155.2298442350111+0j),Real,0.42908781684610525
535,(155.69007314262225+0j),Real,0.29692992766800475
536,(156.21717985607654+0j),Real,0.26574409963805534
537,(156.72183237778813+0j),Real,0.32108765502139375
538,(157.1877788643321+0j),Real,0.4196366206447233
539,(157.74761690791584+0j),Real,0.26220236930722285
540,(157.92188875673853+0j),Real,0.2699173458392933
541,(158.78745548731231+0j),Real,0.37461110892988575
