Freq_rad_ps,VDOS_K,VDOS_Mg
1.794939382139575912e+01,3.832198199242631276e-02,7.895952343224937539e-03
1.803914079050273855e+01,4.051538859534643128e-02,8.179753629564898154e-03
1.812888775960971799e+01,4.880471062857801023e-02,7.266993856816660394e-03
1.821863472871669742e+01,4.616652399294295106e-02,8.581163404067882611e-03
1.830838169782367331e+01,4.362015007221939356e-02,9.614600536277736684e-03
1.839812866693065274e+01,4.587538004283692877e-02,7.880012975698394082e-03
1.848787563603763218e+01,4.146499308944826684e-02,8.949154247432295969e-03
1.857762260514461161e+01,4.091863113344124114e-02,8.272481617886948135e-03
1.866736957425159105e+01,3.931049621254802812e-02,7.895467161635357639e-03
1.875711654335857048e+01,3.980079050140959002e-02,7.743864666123305429e-03
1.884686351246554636e+01,3.614563321676808605e-02,8.671794492113174893e-03
1.893661048157252580e+01,3.582274165485889450e-02,7.867723132118044013e-03
1.902635745067950523e+01,3.827425724593510464e-02,7.763166795120300494e-03
1.911610441978648467e+01,3.660825503931368352e-02,8.909046942666302982e-03
1.920585138889346055e+01,3.911866754682247205e-02,9.187491970260730154e-03
1.929559835800043999e+01,4.378571270641564567e-02,9.273118070559161277e-03
1.938534532710741942e+01,4.574314232269385827e-02,8.426355066949619416e-03
1.947509229621439886e+01,4.059475432840851244e-02,9.251497458593006470e-03
1.956483926532137829e+01,3.761963698119415861e-02,9.088372442557604222e-03
1.965458623442835773e+01,3.576990829652697962e-02,8.911244592042434631e-03
1.974433320353533716e+01,3.634554667979343623e-02,9.385826007194781120e-03
1.983408017264231660e+01,3.957059813854151009e-02,9.873432951058335946e-03
1.992382714174929248e+01,4.228959076297970909e-02,6.952689054955957064e-03
2.001357411085627191e+01,4.201192945304479259e-02,7.474682726812609951e-03
2.010332107996325135e+01,3.834897334949893127e-02,9.223053054390183483e-03
2.019306804907022723e+01,3.694985764186325961e-02,9.529910882226169666e-03
2.028281501817720667e+01,3.678680830514398370e-02,1.107440850536891945e-02
2.037256198728418610e+01,3.924063067020163581e-02,1.132068554094773846e-02
2.046230895639116554e+01,3.698116327120625629e-02,9.733608881629149390e-03
2.055205592549814497e+01,3.773053237533656457e-02,1.027638572433130226e-02
2.064180289460512441e+01,3.794823627258811505e-02,9.094957993506404617e-03
2.073154986371210384e+01,3.642409125799972447e-02,8.157239310526131007e-03
2.082129683281908328e+01,3.440922352104096305e-02,1.005771518561250806e-02
2.091104380192605916e+01,3.288620540976151113e-02,1.067290411989134033e-02
2.100079077103303860e+01,2.908622389197555377e-02,1.040189129586697667e-02
2.109053774014001803e+01,3.239468030077888305e-02,1.058123153708075657e-02
2.118028470924699747e+01,3.438965966840473037e-02,1.027312312459630582e-02
2.127003167835397335e+01,2.858008910344618861e-02,9.993393906219999803e-03
2.135977864746095278e+01,3.057563474845635329e-02,1.014594794101747639e-02
2.144952561656793222e+01,2.933063585557156572e-02,9.441809967947368751e-03
2.153927258567491165e+01,3.019608023573196534e-02,1.019953309786668198e-02
2.162901955478189109e+01,3.208010164398422681e-02,1.122882405819733594e-02
2.171876652388886697e+01,3.381759348410939142e-02,1.243770100829798449e-02
2.180851349299584641e+01,3.547341635643598556e-02,1.099123399827581921e-02
2.189826046210282584e+01,3.110712106490451032e-02,1.129846456366128196e-02
2.198800743120980528e+01,2.820500808590980027e-02,1.037935471973384059e-02
2.207775440031678471e+01,3.174986835672456709e-02,1.051382147745574119e-02
2.216750136942376415e+01,3.178995571394842984e-02,1.083310850653820823e-02
2.225724833853074358e+01,3.065788370104722757e-02,1.024725108253401150e-02
2.234699530763772302e+01,3.067745922108643455e-02,1.105888318338039966e-02
2.243674227674469890e+01,3.209369992162721535e-02,1.045246939630521156e-02
2.252648924585167833e+01,3.179055040153940664e-02,9.456631249714197301e-03
2.261623621495865422e+01,3.096004621624187311e-02,9.936107592286368834e-03
2.270598318406563365e+01,3.098316142323782538e-02,9.798299574180687269e-03
2.279573015317261309e+01,3.160364418188122554e-02,1.153759388689878755e-02
2.288547712227959252e+01,3.035032105562669377e-02,1.109195487615358133e-02
2.297522409138657196e+01,2.905713663297874311e-02,1.122538152768116568e-02
2.306497106049355139e+01,3.016560341292347583e-02,1.146678020832563559e-02
2.315471802960053083e+01,2.669704111012471265e-02,9.985497779052207590e-03
2.324446499870751026e+01,2.775626382149927115e-02,1.154369172057120342e-02
2.333421196781448970e+01,3.244265584864022833e-02,1.179600728365889743e-02
2.342395893692146558e+01,2.582325345740489261e-02,1.236963669094368924e-02
2.351370590602844501e+01,2.410407563546615103e-02,1.182545557426423199e-02
2.360345287513542445e+01,2.560952143109091958e-02,9.982988704847260350e-03
2.369319984424240033e+01,2.792011426688819492e-02,1.073785542984131633e-02
2.378294681334937977e+01,2.831525277072318575e-02,9.946125892094731524e-03
