U-U,,U-Na,,U-F,,Na-Na,,Na-F,,F-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
4.86E+00,3.98E-01,4.86E+00,7.19E-01,4.86E+00,1.32E+00,4.86E+00,6.93E-01,4.86E+00,1.21E+00,4.86E+00,7.33E-01
4.90E+00,3.56E-01,4.90E+00,5.82E-01,4.90E+00,1.40E+00,4.90E+00,6.42E-01,4.90E+00,1.27E+00,4.90E+00,7.49E-01
4.94E+00,5.25E-01,4.94E+00,6.66E-01,4.94E+00,1.23E+00,4.94E+00,6.79E-01,4.94E+00,1.24E+00,4.94E+00,7.77E-01
4.98E+00,3.79E-01,4.98E+00,6.02E-01,4.98E+00,1.39E+00,4.98E+00,6.35E-01,4.98E+00,1.28E+00,4.98E+00,7.03E-01
5.02E+00,4.40E-01,5.02E+00,5.25E-01,5.02E+00,1.40E+00,5.02E+00,6.93E-01,5.02E+00,1.21E+00,5.02E+00,7.66E-01
5.06E+00,2.67E-01,5.06E+00,5.36E-01,5.06E+00,1.32E+00,5.06E+00,7.00E-01,5.06E+00,1.17E+00,5.06E+00,7.86E-01
5.10E+00,1.64E-01,5.10E+00,4.58E-01,5.10E+00,1.40E+00,5.10E+00,6.55E-01,5.10E+00,1.18E+00,5.10E+00,8.12E-01
5.14E+00,4.52E-01,5.14E+00,4.74E-01,5.14E+00,1.31E+00,5.14E+00,6.66E-01,5.14E+00,1.17E+00,5.14E+00,8.15E-01
5.18E+00,5.09E-01,5.18E+00,4.44E-01,5.18E+00,1.32E+00,5.18E+00,6.07E-01,5.18E+00,1.20E+00,5.18E+00,8.24E-01
5.22E+00,5.01E-01,5.22E+00,4.02E-01,5.22E+00,1.25E+00,5.22E+00,6.78E-01,5.22E+00,1.18E+00,5.22E+00,8.36E-01
5.26E+00,5.55E-01,5.26E+00,5.40E-01,5.26E+00,1.29E+00,5.26E+00,6.48E-01,5.26E+00,1.11E+00,5.26E+00,8.50E-01
5.30E+00,6.69E-01,5.30E+00,4.24E-01,5.30E+00,1.27E+00,5.30E+00,6.53E-01,5.30E+00,1.16E+00,5.30E+00,8.82E-01
5.34E+00,6.29E-01,5.34E+00,4.56E-01,5.34E+00,1.31E+00,5.34E+00,6.98E-01,5.34E+00,1.09E+00,5.34E+00,9.29E-01
5.38E+00,7.37E-01,5.38E+00,4.78E-01,5.38E+00,1.31E+00,5.38E+00,6.87E-01,5.38E+00,1.07E+00,5.38E+00,8.71E-01
5.42E+00,6.10E-01,5.42E+00,4.59E-01,5.42E+00,1.20E+00,5.42E+00,6.73E-01,5.42E+00,1.08E+00,5.42E+00,9.46E-01
5.46E+00,8.59E-01,5.46E+00,4.56E-01,5.46E+00,1.25E+00,5.46E+00,7.08E-01,5.46E+00,1.15E+00,5.46E+00,9.20E-01
5.50E+00,5.36E-01,5.50E+00,4.86E-01,5.50E+00,1.15E+00,5.50E+00,7.36E-01,5.50E+00,1.05E+00,5.50E+00,9.38E-01
5.54E+00,7.79E-01,5.54E+00,4.39E-01,5.54E+00,1.13E+00,5.54E+00,7.15E-01,5.54E+00,1.02E+00,5.54E+00,9.58E-01
5.58E+00,6.85E-01,5.58E+00,4.37E-01,5.58E+00,1.16E+00,5.58E+00,7.22E-01,5.58E+00,1.03E+00,5.58E+00,9.60E-01
5.62E+00,8.11E-01,5.62E+00,4.88E-01,5.62E+00,1.08E+00,5.62E+00,8.17E-01,5.62E+00,1.04E+00,5.62E+00,1.03E+00
5.66E+00,8.26E-01,5.66E+00,4.51E-01,5.66E+00,1.12E+00,5.66E+00,8.39E-01,5.66E+00,1.05E+00,5.66E+00,9.98E-01
5.70E+00,1.16E+00,5.70E+00,6.08E-01,5.70E+00,1.08E+00,5.70E+00,8.21E-01,5.70E+00,1.02E+00,5.70E+00,9.92E-01
5.74E+00,1.32E+00,5.74E+00,5.85E-01,5.74E+00,1.06E+00,5.74E+00,8.02E-01,5.74E+00,9.81E-01,5.74E+00,1.03E+00
5.78E+00,9.45E-01,5.78E+00,5.26E-01,5.78E+00,1.05E+00,5.78E+00,8.27E-01,5.78E+00,9.46E-01,5.78E+00,1.02E+00
5.82E+00,1.34E+00,5.82E+00,5.62E-01,5.82E+00,9.54E-01,5.82E+00,8.40E-01,5.82E+00,9.91E-01,5.82E+00,1.06E+00
5.86E+00,1.37E+00,5.86E+00,5.82E-01,5.86E+00,9.29E-01,5.86E+00,9.12E-01,5.86E+00,9.50E-01,5.86E+00,1.03E+00
5.90E+00,1.10E+00,5.90E+00,6.36E-01,5.90E+00,1.03E+00,5.90E+00,8.17E-01,5.90E+00,9.65E-01,5.90E+00,1.04E+00
5.94E+00,1.38E+00,5.94E+00,5.77E-01,5.94E+00,1.02E+00,5.94E+00,9.43E-01,5.94E+00,9.64E-01,5.94E+00,1.04E+00
5.98E+00,1.29E+00,5.98E+00,6.36E-01,5.98E+00,9.60E-01,5.98E+00,9.25E-01,5.98E+00,9.44E-01,5.98E+00,1.07E+00
6.02E+00,1.41E+00,6.02E+00,6.08E-01,6.02E+00,9.47E-01,6.02E+00,9.84E-01,6.02E+00,9.31E-01,6.02E+00,1.03E+00
6.06E+00,1.88E+00,6.06E+00,6.59E-01,6.06E+00,9.63E-01,6.06E+00,9.67E-01,6.06E+00,9.25E-01,6.06E+00,1.05E+00
6.10E+00,1.67E+00,6.10E+00,7.02E-01,6.10E+00,9.01E-01,6.10E+00,1.05E+00,6.10E+00,9.19E-01,6.10E+00,1.06E+00
6.14E+00,1.74E+00,6.14E+00,7.22E-01,6.14E+00,8.84E-01,6.14E+00,1.06E+00,6.14E+00,9.56E-01,6.14E+00,1.03E+00
6.18E+00,1.88E+00,6.18E+00,7.79E-01,6.18E+00,8.92E-01,6.18E+00,9.76E-01,6.18E+00,9.22E-01,6.18E+00,1.04E+00
6.22E+00,1.96E+00,6.22E+00,8.40E-01,6.22E+00,8.57E-01,6.22E+00,1.12E+00,6.22E+00,9.00E-01,6.22E+00,1.04E+00
6.26E+00,1.87E+00,6.26E+00,8.05E-01,6.26E+00,9.27E-01,6.26E+00,1.03E+00,6.26E+00,8.99E-01,6.26E+00,1.04E+00
6.30E+00,1.59E+00,6.30E+00,8.34E-01,6.30E+00,9.16E-01,6.30E+00,1.12E+00,6.30E+00,8.73E-01,6.30E+00,1.01E+00
6.34E+00,2.19E+00,6.34E+00,9.49E-01,6.34E+00,9.12E-01,6.34E+00,1.13E+00,6.34E+00,8.94E-01,6.34E+00,1.05E+00
6.38E+00,2.14E+00,6.38E+00,8.72E-01,6.38E+00,8.42E-01,6.38E+00,1.15E+00,6.38E+00,8.46E-01,6.38E+00,1.02E+00
6.42E+00,2.20E+00,6.42E+00,9.40E-01,6.42E+00,8.29E-01,6.42E+00,1.09E+00,6.42E+00,8.28E-01,6.42E+00,1.05E+00
6.46E+00,2.03E+00,6.46E+00,9.58E-01,6.46E+00,9.64E-01,6.46E+00,1.12E+00,6.46E+00,8.67E-01,6.46E+00,1.06E+00
