Zn-Cl,,Zn-Zn,,Cl-Cl,
X,Y,X,Y,X,Y
5.802518242,1.28473623,7.728629853,0.960595545,7.703574128,0.951476344
5.91265424,1.122918045,7.844231945,0.913064537,7.802700595,0.90429003
6.022789199,0.964074993,7.96531789,0.881324952,7.912827765,0.863328358
6.143924986,0.825622483,8.086386507,0.864475543,8.033949886,0.83353295
6.265040932,0.743987748,8.207435745,0.864279619,8.155052622,0.820391031
6.386140457,0.709374621,8.328461729,0.884067879,8.276141447,0.819200439
6.507230177,0.702843842,8.449480873,0.90973384,8.397218868,0.827806016
6.628311002,0.7217831,8.570495229,0.939514191,8.518287624,0.843856682
6.749385441,0.759008539,8.699124734,0.97214852,8.639342463,0.871862773
6.866961654,0.813880741,8.81252303,0.999858587,8.760398907,0.898489205
6.991526803,0.854983667,8.933549242,1.019450923,8.881438248,0.93980989
7.112597812,0.902032594,9.054580013,1.035124792,9.002480544,0.978591768
7.233662673,0.966687304,9.175615345,1.046880194,9.123523528,1.016781777
7.354731182,1.020892768,9.29665478,1.055108975,9.244571758,1.050465549
7.475803113,1.065302063,9.417704702,1.054325281,9.365621357,1.08297378
7.596876868,1.104486736,9.538758272,1.050406814,9.486683726,1.104510301
7.717955413,1.129956773,9.659821646,1.038063642,9.607761148,1.113115878
7.839038746,1.141712175,9.780874532,1.034732945,9.728845639,1.115647831
7.960125501,1.143671409,9.901939957,1.020626463,9.853435422,1.106815792
8.081214764,1.138446786,10.02300173,1.009654755,9.971045141,1.094493087
8.2023095,1.117548294,10.14406351,0.998683046,10.09215432,1.075817933
8.323406289,1.090772101,10.26513031,0.983401024,10.21326206,1.058377993
8.444495096,1.086853633,10.38618616,0.977523323,10.33437346,1.037790985
8.565585956,1.077057465,10.51751469,0.970050868,10.45548532,1.01681213
8.68667978,1.058771285,10.62830099,0.963077241,10.57659352,0.998972148
8.807774517,1.037872793,10.74935247,0.960948207,10.69769533,0.986630314
8.928865376,1.028076625,10.86009103,0.955598274,10.79544278,0.978144737
9.049962393,1.000647354,10.95624735,0.951400208,10.90846786,0.964098649
9.171057358,0.979095784,,,10.99399157,0.960841854
9.292152094,0.958197292,,,,
9.413247059,0.936645722,,,,
9.534339743,0.921624931,,,,
9.655430602,0.911828762,,,,
9.776516217,0.917053385,,,,
9.897600462,0.926196476,,,,
10.01868197,0.943176501,,,,
10.13976736,0.949054201,,,,
10.26085229,0.956238058,,,,
10.38193174,0.979095784,,,,
10.50301029,1.004565821,,,,
10.62409294,1.018280456,,,,
10.74517901,1.022198924,,,,
10.86626896,1.015015067,,,,
10.95799457,1.035913559,,,,
