Na-Na,,Na-Cl,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
6.195405405,0.775374194,2.931081081,2.371147633,,
6.248918919,0.772489894,2.942972973,2.321599476,,
6.302432432,0.777777778,2.951467181,2.271330243,,
6.355945946,0.782777232,2.962297297,2.214429695,,
6.409459459,0.790276412,2.975345345,2.154598492,,
6.466216216,0.801179941,2.987567568,2.096340778,,
6.516486486,0.811668305,2.995495495,2.045067191,,
6.57,0.826330165,3.008378378,1.992428712,,
6.623513514,0.836345096,3.02027027,1.935103245,,
6.677027027,0.849805164,3.034144144,1.878275663,,
6.730540541,0.869594668,3.043204633,1.821997472,,
6.784054054,0.888376957,3.055945946,1.773788453,,
6.839945946,0.900896193,3.067837838,1.731760079,,
6.889099099,0.916404458,3.078738739,1.688135038,,
6.944594595,0.93308361,3.093851351,1.636713373,,
6.98027027,0.945788266,3.103513514,1.588987217,,
,,3.118378378,1.542369715,,
,,3.135472973,1.487624666,,
,,3.148108108,1.440806293,,
,,3.157027027,1.402949853,,
,,3.171891892,1.358333333,,
,,3.192702703,1.306145526,,
,,3.213513514,1.255850541,,
,,3.228378378,1.217159713,,
,,3.248764479,1.176650011,,
,,3.267027027,1.131104556,,
,,3.285289575,1.087118977,,
,,3.308223938,1.044472538,,
,,3.329459459,1.003062228,,
,,3.345598456,0.964477354,,
,,3.392882883,0.888720326,,
,,3.418648649,0.846460177,,
,,3.454324324,0.807792527,,
,,3.484648649,0.771720747,,
,,3.519135135,0.731917404,,
,,3.567297297,0.693798286,,
,,3.614864865,0.661524455,,
,,3.668378378,0.629476674,,
,,3.721891892,0.607363706,,
,,3.775405405,0.585971813,,
,,3.828918919,0.566502786,,
,,3.882432432,0.547033759,,
,,3.935945946,0.53669835,,
,,3.989459459,0.531650825,,
,,4.042972973,0.53092975,,
,,4.096486486,0.526843658,,
,,4.15,0.526122583,,
,,4.203513514,0.527084016,,
,,4.257027027,0.535111985,,
