Li-Cl,,K-Cl,,Eu-Cl,
X,Y,X,Y,X,Y
5.534134008,1.27711655,,,2.813385501,5.948019588
5.581280788,1.271145158,,,2.815183748,5.875826405
5.642388509,1.291804359,,,2.845394307,5.818528675
5.765748289,1.323747587,,,2.8504294,5.719840341
5.795958847,1.309684286,,,2.852227647,5.622105134
5.818616766,1.294227721,,,2.860499586,5.40619579
5.87400279,1.277803848,,,2.860499586,5.161774859
5.889108069,1.271633441,,,2.862010114,5.062976049
5.999880117,1.222249818,,,2.870569772,4.983001054
6.270096778,1.111179093,,,2.870569772,4.770618384
6.304503248,1.087478348,,,2.873087319,4.547905883
6.344783992,1.095827744,,,2.878961594,4.366023116
6.374155369,1.086585709,,,2.879381185,4.459038272
6.526047343,1.00111301,,,2.888192598,4.140740459
6.556257901,0.962934888,,,2.888192598,4.32883606
6.596538646,0.970250792,,,2.890206635,3.903454698
6.626749204,0.950675531,,,2.891549326,3.841034478
6.65192467,0.925922627,,,2.894906055,3.734936056
6.682135228,0.944586581,,,2.90078033,3.507235129
6.818082741,0.872000293,,,2.90833297,3.283395968
6.8482933,0.857075747,,,2.910850517,3.20805947
6.878503858,0.86127081,,,2.913368063,3.073538312
6.89864423,0.864412015,,,2.91588561,3.116605583
,,,,2.923438249,2.871683179
,,,,2.928636819,2.665243537
,,,,2.932249662,2.566304021
,,,,2.939550547,2.475102754
,,,,2.956166354,2.237701832
,,,,2.96623654,1.999502219
,,,,2.969593269,1.908561684
,,,,2.98134182,1.851743365
,,,,3.003999738,1.440459246
,,,,3.016587471,1.35728857
,,,,3.03169275,1.271280882
,,,,3.041762936,1.056593219
,,,,3.056508566,0.838039415
,,,,3.07521034,0.743291226
,,,,3.096070012,0.655634205
,,,,3.109736693,0.441286009
,,,,3.137429705,0.298720072
,,,,3.167640263,0.246073058
,,,,3.190298182,0.205812677
,,,,3.240649113,0.127369084
,,,,3.29387724,0.186533427
,,,,3.318333406,0.107742185
,,,,3.381631719,0.057376708
,,,,3.463054187,0.004980898
,,,,3.502463054,0.005060593
,,,,3.522167488,0.00510044
,,,,3.561576355,0.005180134
,,,,3.620689655,0.005299676
,,,,3.709359606,0.005478988
,,,,3.778325123,0.005618453
,,,,3.827586207,0.005718071
,,,,3.973758664,0.0362507
,,,,4.003465713,0.034863885
,,,,4.028641179,0.052484166
,,,,4.086544749,0.054668246
,,,,4.179693971,0.060024078
,,,,4.209904529,0.074554063
,,,,4.240115088,0.097351987
,,,,4.300536205,0.090239727
,,,,4.355922229,0.210236839
,,,,4.386132787,0.207197455
,,,,4.411308252,0.20673162
,,,,4.45662409,0.29415336
,,,,4.486834648,0.322118745
,,,,4.51452766,0.348632151
,,,,4.557325951,0.434911958
,,,,4.612711975,0.469129208
,,,,4.642922534,0.462989347
,,,,4.673133092,0.459949964
