Freq_rad_ps,VDOS_Na,VDOS_K
1.355179233515379877e+01,2.693484090717452456e-02,3.553693002329395834e-02
1.364153930426077643e+01,2.564030579706486762e-02,3.426998300600842678e-02
1.373128627336775587e+01,2.443691108535683831e-02,3.610347093877413344e-02
1.382103324247473530e+01,2.606162693667489830e-02,4.113816083395736845e-02
1.391078021158171474e+01,2.680652656003901235e-02,4.224120743348825507e-02
1.400052718068869417e+01,2.874100345232698597e-02,4.166168868134537129e-02
1.409027414979567006e+01,2.885483971059937813e-02,3.785830315551203668e-02
1.418002111890264949e+01,2.723746736267705637e-02,3.667226027967090962e-02
1.426976808800962893e+01,2.691643569729382235e-02,3.739451946108916791e-02
1.435951505711660658e+01,2.618609855635822825e-02,3.456789318444298403e-02
1.444926202622358602e+01,2.814661179229889162e-02,3.776579651731817172e-02
1.453900899533056545e+01,2.578948017821595939e-02,3.272883338836229256e-02
1.462875596443754489e+01,2.684425266247826916e-02,3.234606029186343906e-02
1.471850293354452432e+01,2.583020535971147086e-02,3.755365178290902273e-02
1.480824990265150198e+01,2.575229020029777202e-02,3.841526805229872332e-02
1.489799687175847964e+01,2.680774916927664356e-02,3.370393624374274505e-02
1.498774384086545730e+01,2.571802103501897793e-02,2.948696177821786765e-02
1.507749080997243674e+01,2.470725500525525545e-02,3.306986419544639955e-02
1.516723777907941617e+01,2.401796602090514043e-02,3.789734685297593830e-02
1.525698474818639561e+01,2.412691442411940210e-02,3.600958281474977984e-02
1.534673171729337504e+01,2.245766320743333364e-02,3.324651759903470005e-02
1.543647868640035270e+01,2.415617529539998767e-02,3.450547581187933532e-02
1.552622565550733214e+01,2.462175234351452607e-02,3.730897746526528475e-02
1.561597262461431157e+01,2.367589304635032976e-02,3.793175777751704725e-02
1.570571959372129101e+01,2.428328628161927419e-02,3.587278559001366718e-02
1.579546656282826689e+01,2.752058485618028363e-02,3.423601869798487130e-02
1.588521353193524632e+01,2.912589098897117729e-02,3.581906412317879818e-02
1.597496050104222576e+01,2.724540766822993940e-02,3.582059593117586233e-02
1.606470747014920519e+01,2.581397007966609175e-02,3.541661208096942570e-02
1.615445443925618463e+01,2.853119569210254766e-02,3.890983043692512050e-02
1.624420140836316406e+01,2.666406181617134857e-02,3.435125106439124859e-02
1.633394837747013995e+01,2.462087192276735809e-02,3.680777495086562379e-02
1.642369534657711938e+01,2.357640152587056614e-02,3.553747958032380666e-02
1.651344231568409882e+01,2.437175703236137483e-02,3.383337436476072796e-02
1.660318928479107470e+01,2.672290099361157925e-02,4.206850241628747045e-02
1.669293625389805413e+01,2.466162913925227379e-02,3.743834306572352277e-02
1.678268322300503357e+01,2.715724647206655545e-02,3.249840959566097781e-02
1.687243019211201300e+01,2.924774831778409120e-02,3.619194096366205871e-02
1.696217716121899244e+01,2.535051831523088897e-02,3.783810890980274927e-02
1.705192413032597187e+01,2.532067247860712161e-02,3.960502729576828584e-02
1.714167109943295131e+01,2.607217495263508544e-02,4.013678131946356309e-02
1.723141806853993074e+01,2.891777709055245310e-02,3.887614669021943747e-02
1.732116503764691018e+01,2.529914205504070826e-02,4.072625918053768973e-02
1.741091200675388961e+01,2.952739195500556427e-02,3.015194912441523239e-02
1.750065897586086550e+01,2.916577699968313578e-02,2.981120341797578385e-02
1.759040594496784493e+01,2.649433349068379406e-02,3.454725982381950250e-02
1.768015291407482081e+01,2.473723519794275225e-02,3.425369273091786321e-02
1.776989988318180025e+01,2.372028110962197400e-02,3.220698553313044304e-02
1.785964685228877968e+01,2.575698276019469657e-02,3.264261037359306172e-02
1.794939382139575912e+01,2.689246335591471623e-02,3.286933411870832794e-02
1.803914079050273855e+01,2.358616286676170140e-02,3.703602087766174472e-02
1.812888775960971799e+01,2.687128684104655302e-02,3.287016618676727453e-02
1.821863472871669742e+01,2.588100220391407677e-02,3.003686897469783068e-02
1.830838169782367331e+01,2.588455908462752864e-02,2.882964732923811585e-02
1.839812866693065274e+01,2.572776482398920692e-02,2.961928395526080421e-02
1.848787563603763218e+01,2.988636054814267085e-02,2.591602892547049258e-02
1.857762260514461161e+01,3.242697623035135229e-02,2.965022252264365790e-02
1.866736957425159105e+01,2.449994898442908742e-02,3.177929805728112872e-02
1.875711654335857048e+01,2.587534520408130145e-02,3.291257455640860669e-02
1.884686351246554636e+01,3.225292826067537033e-02,2.834117117946204079e-02
1.893661048157252580e+01,2.825449431566830899e-02,2.736534998053566717e-02
1.902635745067950523e+01,2.431812104921734358e-02,3.055789433864303933e-02
1.911610441978648467e+01,2.789210671917720721e-02,2.998557360769514221e-02
1.920585138889346055e+01,3.036260799654101616e-02,2.804774093372858559e-02
1.929559835800043999e+01,2.850942058134246435e-02,2.858424867102109940e-02
1.938534532710741942e+01,2.705504007660250801e-02,3.093464531800075787e-02
1.947509229621439886e+01,2.868664851105970359e-02,2.862955316888341969e-02
1.956483926532137829e+01,2.537756237137289705e-02,2.700446509649324922e-02
1.965458623442835773e+01,2.875398447427337731e-02,3.138307090495626867e-02
